"Title","Artist","Spins"
"Wide Awake","KATY PERRY",13747
"Payphone f/Wiz Khali...","MAROON 5",13280
"Lights","ELLIE GOULDING",12934
"Where Have You Been","RIHANNA",12927
"Call Me Maybe","CARLY RAE JEPSEN",11592
"Scream","USHER",9533
"Titanium f/Sia","DAVID GUETTA",9369
"Somebody That I Used...","GOTYE",8567
"Let's Go f/Ne-Yo","CALVIN HARRIS",7778
"Give Your Heart A Br...","DEMI LOVATO",7260
"Blow Me (One Last Ki...","PINK",6103
"Want U Back","CHER LLOYD",6037
"Whistle","FLO RIDA",5565
"We Run The Night f/P...","HAVANA BROWN",5408
"One Thing","ONE DIRECTION",5393
"Good Time","OWL CITY & CARLY RAE...",4843
"Chasing The Sun","THE WANTED",4109
"Everybody Talks","NEON TREES",3255
"Fighter f/Ryan Tedde...","GYM CLASS HEROES",2821
"As Long As You Love ...","JUSTIN BIEBER",2669
"Back In Time","PITBULL",2595
"Dark Side","KELLY CLARKSON",2571
"Tongue Tied","GROUPLOVE",2564
"I Won't Give Up","JASON MRAZ",2293
"Now Or Never","OUTASIGHT",2095
"How We Do (Party)","RITA ORA",2082
"Boyfriend","JUSTIN BIEBER",1935
"Some Nights","FUN.",1833
"Too Close","ALEX CLARE",1760
"Settle Down","NO DOUBT",1535
"Both Of Us f/Taylor ...","B.O.B",1500
"One More Night","MAROON 5",1443
"Pound The Alarm","NICKI MINAJ",1351
"Rumour Has It","ADELE",1292
"Only One","SAMMY ADAMS",1162
"Don't Wake Me Up","CHRIS BROWN",1025
"Burn It Down","LINKIN PARK",1017
"She's So Mean","MATCHBOX TWENTY",1015
"Heart Skips A Beat","OLLY MURS",916
"Hurt Me Tomorrow","K'NAAN",868
"Back 2 Life (Live It...","SEAN KINGSTON",753
"Get It Started f/Sha...","PITBULL",613
"Goin' In f/Flo Rida","JENNIFER LOPEZ",592
"Can't Stop Me","AFROJACK & SHERMANOL...",550
"Primadonna","MARINA AND THE DIAMO...",536
"Cashin' Out","CA$H OUT",529
"Home","PHILLIP PHILLIPS",473
"Trouble","CHRIS RENE",438
"Say Somethin","AUSTIN MAHONE",413
"Work Hard, Play Hard","WIZ KHALIFA",390
