"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","RIHANNA We Found Love f/Calvin Harris",13972,"-3",457,"+63",95.504,"-0.089",107,"6",1,14238,2184,95.593
2,"=","BRUNO MARS It Will Rain",13297,"-1",831,"+23",85.168,"+0.663",99,"8",2,13298,2024,85.168
3,"=","KATY PERRY The One That Got Away",13183,"+48",693,"+45",78.126,"+0.789",95,"10",2,13183,1631,78.126
4,"=","FLO RIDA Good Feeling",11202,"+103",1008,"+57",73.761,"+0.936",107,"3",4,11202,1207,73.761
5,"=","LMFAO Sexy And I Know It",10131,"-129",-447,"-84",64.385,"-0.938",136,"4",2,12000,1530,74.768
6,"=","DAVID GUETTA Without You f/Usher",9330,"-90",-35,"-97",58.429,"-0.809",136,"29",1,13428,1586,84.476
7,"=","SELENA GOMEZ & THE SCENE Love You Like A...",7899,"-7",607,"-11",41.741,"+0.085",140,"30",7,7906,1048,41.741
8,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",7587,"-143",-654,"-90",50.093,"-1.770",195,"21",1,13951,1685,86.013
9,"=","ADELE Set Fire To The Rain",6998,"+235",1680,"+179",46.212,"+1.579",46,"2",9,6998,1680,46.212
10,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",6344,"-61",-246,"-39",39.532,"-0.522",185,"19",1,14127,1893,93.336
11,"+1","JESSIE J Domino",5969,"+66",876,"-2",36.412,"+0.251",116,"14",11,5969,878,36.412
12,"-1","T-PAIN 5 O'clock f/Wiz Khalifa",5872,"-117",-205,"-72",28.598,"-0.979",94,"26",10,6640,1264,34.118
13,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",5645,"-99",-301,"-86",35.559,"-0.949",210,"51",4,11548,1097,70.438
14,"=","GAVIN DEGRAW Not Over You",5439,"-16",395,"-4",26.972,"+0.094",138,"15",14,5455,547,26.972
15,"=","ADELE Someone Like You",5291,"-152",-551,"-98",38.078,"-1.346",156,"16",2,13563,2614,91.686
16,"=","LADY GAGA Marry The Night",5118,"-54",-17,"+30",27.558,"-0.620",62,"46",14,5499,1570,30.701
17,"=","J. COLE Workout",5101,"+7",451,"-6",33.595,"-0.316",78,"20",17,5101,659,33.911
18,"+1","DRAKE Headlines",4753,"-25",178,"-27",29.532,"-0.746",86,"32",17,4778,754,30.781
19,"-1","KELLY CLARKSON Mr. Know It All",4639,"-187",-867,"-180",24.667,"-0.762",128,"39",11,6408,1093,34.137
20,"=","RIHANNA You Da One",4258,"-34",334,"-34",25.189,"-0.164",60,"25",19,4292,3394,36.963
21,"=","BREATHE CAROLINA Blackout",4242,"-8",418,"-11",21.943,"+0.067",138,"40",21,4250,498,21.943
22,"=","JAY Z & KANYE WEST N***** In Paris",4236,"+6",371,"-8",32.346,"-0.118",65,"9",21,4236,785,32.464
23,"=","HOT CHELLE RAE I Like It Like That f/New...",3886,"+45",347,"+36",18.772,"-0.008",102,"31",23,3886,535,18.78
24,"=","PITBULL F/CHRIS BROWN International Love",3548,"+78",743,"+30",24.251,"+0.382",68,"17",24,3548,743,24.251
25,"=","GYM CLASS HEROES Ass Back Home",3484,"+123",1093,"+82",22.058,"+0.851",47,"42",25,3484,1093,22.058
26,"+1","DAVID GUETTA Turn Me On f/Nicki Minaj",3370,"+171",1337,"+127",22.281,"+1.125",30,"11",26,3370,1337,22.281
27,"-1","OUTASIGHT Tonight Is The Night",3266,"+12",373,"-20",16.938,"-0.025",70,"37",25,3266,500,16.963
28,"=","FRAY Heartbeat",2493,"+13",153,"+31",11.528,"-0.100",75,"87",27,2515,677,12.362
29,"=","JASON DERULO It Girl",2188,"-45",-45,"-54",8.935,"-0.258",145,"45",10,6647,1048,29.647
30,"=","AVRIL LAVIGNE Wish You Were Here",1827,"-70",27,"-47",6.573,"-0.286",65,"90",30,1965,503,7.725
31,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",1677,"+4",254,"-13",9.067,"-0.100",47,"5",31,1677,307,9.167
32,"+1","BIG TIME RUSH Music Sounds Better With U",1307,"-20",121,"-33",4.773,"-0.108",44,"805",32,1327,221,4.881
