"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY E.T.",13486,-30,-711,77,91.168,0.019,14,1,14624,0,96.745
2,"=","BLACK EYED PEAS Just Can't Get Enough",13298,7,40,-64,83.969,0.002,14,2,13366,715,84.474
3,"=","ADELE Rolling In The Deep",12928,265,1520,46,85.787,1.849,14,3,12928,2273,85.787
4,"=","BRITNEY SPEARS Till The World Ends",11837,-20,232,-91,75.327,-0.246,14,3,11896,966,75.819
5,"=","JENNIFER LOPEZ F/PITBULL On The Floor",10118,7,322,-67,64.957,-0.161,14,5,10118,668,65.118
6,"=","BRUNO MARS Lazy Song",9992,174,1054,73,57.129,1.424,14,6,9992,1054,57.129
7,"=","TINIE TEMPAH Written In The Stars",8626,-69,-133,-146,49.84,-0.881,14,7,8819,756,54.175
8,"+1","PITBULL Give Me Everything f/Ne-Yo",7565,241,1808,-1,53.03,1.043,14,8,7565,1809,53.03
9,"-1","KE$HA Blow",7452,-178,-1132,109,43.164,-1.044,14,4,10135,0,56.264
10,"=","RIHANNA S&M",6970,-190,-1260,-19,43.973,-0.918,14,5,10081,0,64.524
11,"=","JEREMIH Down On Me f/50 Cent",6218,-239,-1589,-114,35.775,-1.205,14,10,8052,153,44.2
12,"=","THE SCRIPT For The First Time",6198,-3,84,-31,33.086,0.027,14,11,6229,433,33.625
13,"=","JESSIE J Price Tag f/B.O.B",5895,15,74,-12,30.316,-0.074,14,12,5895,582,30.453
14,"=","LUPE FIASCO The Show Goes On",5619,58,848,-128,35.695,0.538,14,14,5619,1005,35.695
15,"=","CEE LO GREEN F**k You (Forget You)",4933,-81,-522,-45,28.914,-0.475,14,11,5830,0,32.865
16,"+1","LADY GAGA The Edge Of Glory",4380,299,2193,15,26.524,1.164,14,16,4380,2193,26.524
17,"+1","NEW BOYZ Back Seat f/Cataracs & Dev",4039,19,228,-20,20.865,0.134,14,17,4039,331,20.865
18,"-2","PINK F**kin' Perfect (Perfect)",3975,-112,-850,7,20.923,-0.161,14,14,5394,0,27.986
19,"=","SELENA GOMEZ & THE SCENE Who Says",3949,58,527,1,23.464,0.901,14,18,3949,707,23.464
20,"=","WIZ KHALIFA Roll Up",3862,72,568,18,21.009,0.446,14,19,3862,725,21.009
21,"=","HOT CHELLE RAE Tonight Tonight",3600,63,521,-2,17.227,0.378,14,20,3600,643,17.227
22,"=","ONEREPUBLIC Good Life",3340,46,452,-56,17.209,0.161,14,21,3340,580,17.209
23,"=","MARTIN SOLVEIG & DRAGONETTE Hello",3204,14,414,-93,20.382,-0.206,14,23,3204,605,20.588
24,"=","LMFAO Party Rock Anthem",3135,100,450,47,21.169,1.017,14,24,3135,464,21.169
25,"+1","JASON DERULO Don't Wanna Go Home",2892,241,1463,74,17.058,0.821,12,25,2892,1463,17.058
26,"-1","LADY GAGA Born This Way",2752,-75,-510,-15,14.489,-0.253,14,19,3651,0,20.436
27,"=","TAYLOR SWIFT The Story Of Us",2588,-10,410,-82,12.62,0.045,14,26,2598,587,12.62
28,"=","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",1895,-200,-1178,-159,9.186,-0.618,14,21,3233,127,13.744
29,"+1","CHRIS BROWN Look At Me Now",1839,-9,160,-22,12.675,-0.071,14,29,1861,229,12.746
30,"-1","AVRIL LAVIGNE What The Hell",1776,-89,-478,-23,8.513,-0.34,14,24,2903,0,13.876
31,"+2","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",1752,139,693,33,12.3,0.707,12,31,1752,855,12.3
32,"+2","NICKI MINAJ Super Bass",1731,139,522,81,10.156,0.608,14,32,1731,680,10.156
33,"-2","BIG TIME RUSH Boyfriend",1608,-105,-294,-103,6.232,-0.415,14,30,1912,197,7.455
34,"-2","DR. DRE I Need A Doctor f/Eminem",1530,-113,-1087,87,11.167,-0.374,14,20,3521,0,21.933
35,"=","SHONTELLE Say Hello To Goodbye",1512,1,62,-19,4.436,0.068,14,33,1512,142,4.436
36,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1421,48,449,-34,6.012,0.272,14,36,1421,525,6.012
37,"=","MAROON 5 Never Gonna Leave This Bed",1288,27,249,24,4.595,0.058,14,37,1288,312,4.595
38,"+1","RIHANNA California King Bed",1210,86,598,-18,6.617,0.363,9,38,1210,616,6.617
39,"+1","BRITNEY SPEARS Hold It Against Me",1106,-3,50,-8,8.511,-0.323,14,37,1171,58,8.927
40,"+1","NICKI MINAJ Moment 4 Life f/Drake",1061,-36,-502,61,7.431,-0.237,14,29,2036,0,13.564
41,"-3","MY CHEMICAL ROMANCE Sing",1050,-95,-740,-14,5.443,-0.269,14,29,2009,0,7.995
42,"+1","THE READY SET Young Forever",995,11,71,-4,2.473,-0.021,14,41,995,107,2.494
43,"+2","NEON TREES Your Surrender",917,16,123,-7,2.166,0.072,14,43,917,173,2.166
44,"=","BEYONCE Run The World (Girls)",901,-70,-289,-48,3.055,-0.253,14,35,1285,242,5.356
45,"-3","LADY GAGA Judas",883,-188,-2175,220,3.847,-0.621,14,15,4801,0,27.232
46,"=","THE BAND PERRY If I Die Young",725,21,135,4,2.706,0.101,14,46,725,135,2.706
47,"=","T-PAIN Best Love Song f/Chris Brown",654,21,151,15,2.919,0.169,12,47,654,151,2.919
48,"=","FAR EAST MOVEMENT If I Was You (OMG) f/S...",600,-25,-54,-33,1.848,-0.094,14,45,655,108,2.201
49,"+1","STEVEN TYLER (It) Feels So Good",584,53,306,50,2.818,0.105,3,49,584,306,2.818
50,"-1","CHRIS BROWN She Ain't You",568,22,197,-4,4.644,0.189,3,49,568,201,4.644
