"Title","Artist","Spins"
"Love Yourself","JUSTIN BIEBER",18724
"Stressed Out","TWENTY ONE PILOTS",16043
"In The Night","THE WEEKND",15588
"Here","ALESSIA CARA",15501
"Sorry","JUSTIN BIEBER",14232
"Same Old Love","SELENA GOMEZ",13027
"Roses f/Rozes","THE CHAINSMOKERS",12724
"Hide Away","DAYA",10002
"Hello","ADELE",9801
"I Know What You Did Last...","SHAWN MENDES & CAMILA CABELLO",8417
"Cake By The Ocean","DNCE",8360
"My House","FLO RIDA",8347
"When We Were Young","ADELE",7878
"Out Of The Woods","TAYLOR SWIFT",7804
"Hands To Myself","SELENA GOMEZ",7134
"One Call Away","CHARLIE PUTH",6001
"On My Mind","ELLIE GOULDING",5365
"Something In The Way You Move","ELLIE GOULDING",4842
"Get Ugly","JASON DERULO",4622
"Sugar f/Francesco Yates","ROBIN SCHULZ",4588
"Me Myself And I f/Bebe Rexha","G-EAZY",4548
"Hotline Bling","DRAKE",4524
"Confident","DEMI LOVATO",4262
"Perfect","ONE DIRECTION",4233
"Hollow","TORI KELLY",3759
"Antidote","TRAVI$ SCOTT",3308
"Work f/Drake","RIHANNA",3065
"Stand By You","RACHEL PLATTEN",2921
"Irresistible f/Demi Lovato","FALL OUT BOY",2737
"Bang My Head f/Sia","DAVID GUETTA",2483
"I Took A Pill In Ibiza","MIKE POSNER",2412
"White Iverson","POST MALONE",1973
"Make Up f/Chloe Angelides","R. CITY",1864
"Electric Love","BORNS",1835
"Drink You Away","JUSTIN TIMBERLAKE",1769
"Be Right There","DIPLO & SLEEPY TOM",1711
"Youth","TROYE SIVAN",1685
"Sound Of Your Heart","SHAWN HOOK",1496
"Middle f/Bipolar Sunshine","DJ SNAKE",1348
"679 f/Remy Boyz...","FETTY WAP",1207
"7 Years","LUKAS GRAHAM",1164
"Pillowtalk","ZAYN",1057
"El Taxi f/Sensato & O. Garcia","PITBULL",898
"Jumpman","DRAKE & FUTURE",863
"Dessert","DAWIN",767
"Wild Things","ALESSIA CARA",480
"Adventure Of A Lifetime","COLDPLAY",457
"History","ONE DIRECTION",453
"Over And Over Again f/A.Grande","NATHAN SYKES",441
"Radar","AUDIODAMN!",441
