"Title","Artist","Spins"
"Blank Space","TAYLOR SWIFT",17928
"Jealous","NICK JONAS",14361
"Love Me Harder","ARIANA GRANDE & THE WEEKND",12946
"Blame f/John Newman","CALVIN HARRIS",12919
"Animals","MAROON 5",12897
"Waves","MR PROBZ",11578
"I'm Not The Only One","SAM SMITH",11548
"Don't","ED SHEERAN",10570
"Take Me To Church","HOZIER",9732
"The Heart Wants What It Wants","SELENA GOMEZ",8712
"Habits (Stay High)","TOVE LO",8586
"Uptown Funk f/Bruno Mars","MARK RONSON",8531
"Lips Are Movin","MEGHAN TRAINOR",7668
"Beg For It f/MØ","IGGY AZALEA",7058
"Heroes","ALESSO",6981
"Shake It Off","TAYLOR SWIFT",5805
"Centuries","FALL OUT BOY",4906
"The Hanging Tree f/J. Lawrence","JAMES NEWTON HOWARD",4361
"Bang Bang","JESSIE J/A. GRANDE/N. MINAJ",4216
"Don't Tell 'Em f/YG","JEREMIH",3975
"Ghost","ELLA HENDERSON",3926
"In Your Arms","NICO & VINZ",3798
"Night Changes","ONE DIRECTION",3623
"Sledgehammer","FIFTH HARMONY",3402
"I Lived","ONEREPUBLIC",3179
"Prayer In C","LILLYWOOD & ROBIN SCHULZ",2931
"Thinking Out Loud","ED SHEERAN",2920
"Dangerous f/Sam Martin","DAVID GUETTA",2712
"Stuck On A Feeling f/Snoop...","PRINCE ROYCE",2434
"Break The Rules","CHARLI XCX",2381
"Trumpets","JASON DERULO",2254
"Time Of Our Lives f/Ne-Yo","PITBULL",2112
"I Don't F**k With You f/E-40","BIG SEAN",1955
"Stolen Dance","MILKY CHANCE",1906
"Too Cool To Dance","EDEN XO",1899
"Tuesday f/Drake","I LOVE MAKONNEN",1865
"Riptide","VANCE JOY",1676
"All About It f/Ed Sheeran","HOODIE ALLEN",1593
"New Flame f/Usher & Rick Ross","CHRIS BROWN",1509
"Burnin' Up f/2 Chainz","JESSIE J",1348
"Santa Tell Me","ARIANA GRANDE",1155
"What I Like About You","5 SECONDS OF SUMMER",997
"I Don't Mind f/Juicy J","USHER",879
"Superheroes","THE SCRIPT",851
"Can't Stop Dancin'","BECKY G",744
"Young Blood","BEA MILLER",729
"Weekend","PRIORY",598
"Something Big","SHAWN MENDES",529
"Outside f/Ellie Goulding","CALVIN HARRIS",468
"L.A.LOVE (la la)","FERGIE",409
