"Title","Artist","Spins"
"Stay With Me","SAM SMITH",15953
"Boom Clap","CHARLI XCX",15578
"Rude","MAGIC!",14843
"Maps","MAROON 5",12137
"Am I Wrong","NICO & VINZ",11405
"Latch f/Sam Smith","DISCLOSURE",11160
"All About That Bass","MEGHAN TRAINOR",9686
"Break Free f/Zedd","ARIANA GRANDE",9613
"Rather Be f/Jess Glynne","CLEAN BANDIT",9550
"Really Don't Care f/Cher Lloyd","DEMI LOVATO",9318
"Chandelier","SIA",9160
"Shake It Off","TAYLOR SWIFT",8721
"Black Widow f/Rita Ora","IGGY AZALEA",8265
"Bailando f/Gente De Zona","ENRIQUE IGLESIAS",8052
"Problem f/Iggy Azalea","ARIANA GRANDE",7839
"Bang Bang","JESSIE J/A. GRANDE/N. MINAJ",7344
"Hideaway","KIESZA",4867
"Cool Kids","ECHOSMITH",4247
"Amnesia","5 SECONDS OF SUMMER",4204
"Don't Tell 'Em f/YG","JEREMIH",4195
"This Is How We Do","KATY PERRY",3903
"Don't","ED SHEERAN",3847
"Shower","BECKY G",3836
"Habits (Stay High)","TOVE LO",3711
"Love Runs Out","ONEREPUBLIC",3641
"I Will Never Let You Down","RITA ORA",3479
"Girls Chase Boys","INGRID MICHAELSON",3110
"A Sky Full Of Stars","COLDPLAY",2843
"2 On f/Schoolboy Q","TINASHE",2744
"This Is How We Roll f/J.Derulo","FLORIDA-GEORGIA LINE",2144
"Fireball f/John Ryan","PITBULL",1703
"Anaconda","NICKI MINAJ",1636
"Girls","THE 1975",1269
"Delirious (Boneless) f/Kid Ink","STEVE AOKI, C. LAKE & TUJAMO",1172
"BO$$","FIFTH HARMONY",1092
"First Flight Home","JAKE MILLER",1059
"Waves","MR PROBZ",962
"We Are Done","MADDEN BROTHERS",908
"Come Get It Bae","PHARRELL WILLIAMS",825
"American Dream","MKTO",798
"Undressed","KIM CESARION",758
"Ugly Heart","G.R.L.",678
"Wiggle f/Snoop Dogg","JASON DERULO",660
"Bend Ova f/Tyga","LIL JON",647
"Wait On Me","RIXTON",631
"She Came To Give It To You","USHER",594
"V. 3005","CHILDISH GAMBINO",576
"Can't Stop Drinking About You","BEBE REXHA",570
"Trumpets","JASON DERULO",551
"Lovers On The Sun f/Sam Martin","DAVID GUETTA",533
