"Title","Artist","Spins"
"Payphone f/Wiz Khali...","MAROON 5",14062
"Call Me Maybe","CARLY RAE JEPSEN",13631
"Where Have You Been","RIHANNA",12365
"Wide Awake","KATY PERRY",11061
"Lights","ELLIE GOULDING",10950
"Somebody That I Used...","GOTYE",10463
"Scream","USHER",9262
"Titanium f/Sia","DAVID GUETTA",7676
"What Makes You Beaut...","ONE DIRECTION",7467
"Starships","NICKI MINAJ",7417
"We Are Young f/Janel...","FUN.",6874
"Give Your Heart A Br...","DEMI LOVATO",6509
"Let's Go f/Ne-Yo","CALVIN HARRIS",6482
"Fighter f/Ryan Tedde...","GYM CLASS HEROES",5700
"One Thing","ONE DIRECTION",5243
"Want U Back","CHER LLOYD",4775
"We Run The Night f/P...","HAVANA BROWN",4717
"Back In Time","PITBULL",4508
"Boyfriend","JUSTIN BIEBER",4105
"Broken Hearted","KARMIN",3956
"How We Do (Party)","RITA ORA",3403
"Good Time","OWL CITY & CARLY RAE...",3398
"Both Of Us f/Taylor ...","B.O.B",3081
"Chasing The Sun","THE WANTED",3055
"Whistle","FLO RIDA",2855
"Everybody Talks","NEON TREES",2379
"I Won't Give Up","JASON MRAZ",2071
"Tongue Tied","GROUPLOVE",2019
"Now Or Never","OUTASIGHT",1714
"Blow Me (One Last Ki...","PINK",1631
"Rumour Has It","ADELE",1611
"Dark Side","KELLY CLARKSON",1598
"Only One","SAMMY ADAMS",1274
"Too Close","ALEX CLARE",1222
"Some Nights","FUN.",1115
"She's So Mean","MATCHBOX TWENTY",1011
"As Long As You Love ...","JUSTIN BIEBER",872
"Back 2 Life (Live It...","SEAN KINGSTON",861
"The Motto f/Lil Wayn...","DRAKE",811
"Burn It Down","LINKIN PARK",805
"Drank In My Cup","KIRKO BANGZ",781
"Don't Wake Me Up","CHRIS BROWN",658
"Goin' In f/Flo Rida","JENNIFER LOPEZ",630
"Mind Your Manners f/...","CHIDDY BANG",608
"Hit And Run","BREATHE CAROLINA",552
"Hurt Me Tomorrow","K'NAAN",537
"Home","PHILLIP PHILLIPS",512
"Can't Stop Me","AFROJACK & SHERMANOL...",445
"Primadonna","MARINA AND THE DIAMO...",442
"I'm On A Roll f/New ...","STEFANO",430
