"Title","Artist","Spins"
"Payphone f/Wiz Khali...","MAROON 5",13877
"Call Me Maybe","CARLY RAE JEPSEN",12830
"Where Have You Been","RIHANNA",12646
"Wide Awake","KATY PERRY",12208
"Lights","ELLIE GOULDING",11345
"Somebody That I Used...","GOTYE",9670
"Scream","USHER",9233
"Titanium f/Sia","DAVID GUETTA",7970
"Starships","NICKI MINAJ",6952
"Let's Go f/Ne-Yo","CALVIN HARRIS",6855
"Give Your Heart A Br...","DEMI LOVATO",6713
"What Makes You Beaut...","ONE DIRECTION",6692
"We Are Young f/Janel...","FUN.",6233
"One Thing","ONE DIRECTION",5379
"Fighter f/Ryan Tedde...","GYM CLASS HEROES",5238
"Want U Back","CHER LLOYD",5172
"We Run The Night f/P...","HAVANA BROWN",4941
"Good Time","OWL CITY & CARLY RAE...",3905
"Blow Me (One Last Ki...","PINK",3829
"Whistle","FLO RIDA",3715
"Back In Time","PITBULL",3638
"Boyfriend","JUSTIN BIEBER",3410
"How We Do (Party)","RITA ORA",3363
"Chasing The Sun","THE WANTED",3356
"Both Of Us f/Taylor ...","B.O.B",2783
"Everybody Talks","NEON TREES",2741
"Tongue Tied","GROUPLOVE",2227
"I Won't Give Up","JASON MRAZ",2092
"Dark Side","KELLY CLARKSON",1917
"Now Or Never","OUTASIGHT",1839
"Rumour Has It","ADELE",1457
"Too Close","ALEX CLARE",1379
"As Long As You Love ...","JUSTIN BIEBER",1289
"Some Nights","FUN.",1276
"Only One","SAMMY ADAMS",1270
"She's So Mean","MATCHBOX TWENTY",939
"Back 2 Life (Live It...","SEAN KINGSTON",881
"Burn It Down","LINKIN PARK",855
"Hurt Me Tomorrow","K'NAAN",758
"The Motto f/Lil Wayn...","DRAKE",748
"Don't Wake Me Up","CHRIS BROWN",688
"Goin' In f/Flo Rida","JENNIFER LOPEZ",622
"Home","PHILLIP PHILLIPS",524
"Heart Skips A Beat","OLLY MURS",501
"Mind Your Manners f/...","CHIDDY BANG",500
"Can't Stop Me","AFROJACK & SHERMANOL...",461
"Primadonna","MARINA AND THE DIAMO...",428
"Get It Started f/Sha...","PITBULL",384
"Cashin' Out","CA$H OUT",384
"This Is Love f/Eva S...","WILL.I.AM",374
