"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY Last Friday Night (T.G.I.F.)",14486,-80,-331,-51,93.445,-0.82,81,"4",1,14935,2322,96.531
2,"=","LMFAO Party Rock Anthem",12916,-108,-784,-16,85.155,-0.846,98,"5",1,14043,1859,94.193
3,"=","BRITNEY SPEARS I Wanna Go",11759,86,939,-154,76.232,-0.123,64,"10",3,11759,1768,76.355
4,"=","NICKI MINAJ Super Bass",11419,32,350,22,69.308,0.488,98,"15",4,11419,1188,69.308
5,"=","PITBULL Give Me Everything f/Ne-Yo",10619,-151,-894,35,72.287,-1.005,98,"20",1,14233,1811,95.596
6,"=","HOT CHELLE RAE Tonight Tonight",9709,55,346,-7,53.144,0.319,98,"9",6,9709,838,53.144
7,"=","ONEREPUBLIC Good Life",9480,4,11,1,54.683,0.057,98,"11",6,9496,978,54.683
8,"=","BAD MEETS EVIL Lighters f/Bruno Mars",8372,146,1178,-94,53.189,0.431,52,"6/85",8,8372,1599,53.189
9,"=","LIL WAYNE How To Love",7871,26,337,-97,45.022,-0.155,73,"7",9,7871,1328,45.177
10,"=","LADY GAGA The Edge Of Glory",7124,-252,-1783,-69,43.351,-1.381,98,"31",3,11672,2193,68.045
12,"-1","ADELE Rolling In The Deep",5986,-117,-1102,52,37.544,-0.401,98,"18",1,14295,2273,96.15
11,"+1","THE BAND PERRY If I Die Young",5986,36,575,-80,30.956,0.183,98,"14",11,5986,768,30.956
13,"+1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",5438,244,1452,144,32.147,1.604,39,"2",13,5438,1452,32.147
14,"-1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",5391,-13,51,-43,26.779,-0.148,98,"33",12,5432,615,26.947
15,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",4935,121,841,54,27.57,0.748,64,"17",15,4935,1017,27.57
16,"=","BLACK EYED PEAS Just Can't Get Enough",4704,-15,-326,57,30.491,-0.34,98,"58",2,13366,715,84.474
17,"+2","FOSTER THE PEOPLE Pumped Up Kicks",4492,159,1172,13,25.095,0.336,34,"3",17,4492,1172,25.095
18,"=","RIHANNA Cheers (Drink To That)",4488,145,1355,-81,28.099,0.324,20,"16",18,4488,1594,28.099
19,"-2","BEYONCE Best Thing I Never Had",4369,-111,-205,-129,19.221,-0.727,70,"28",15,4574,856,22.192
20,"=","CHRIS BROWN She Ain't You",4276,-16,-52,-34,24.218,-0.028,87,"56",16,4328,635,24.246
21,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",3855,-44,48,-69,18.898,-0.624,73,"45",19,3899,611,20.698
