"Title","Artist","Spins"
"Am I Wrong","NICO & VINZ",17407
"Problem f/Iggy Azalea","ARIANA GRANDE",17162
"Rude","MAGIC!",16259
"Summer","CALVIN HARRIS",14862
"Fancy f/Charlie XCX","IGGY AZALEA",14008
"Stay With Me","SAM SMITH",11624
"Latch f/Sam Smith","DISCLOSURE",11618
"Classic","MKTO",8646
"Maps","MAROON 5",8068
"Love Runs Out","ONEREPUBLIC",7986
"Ain't It Fun","PARAMORE",7756
"Wiggle f/Snoop Dogg","JASON DERULO",7094
"Really Don't Care f/Cher Lloyd","DEMI LOVATO",6478
"Come Get It Bae","PHARRELL WILLIAMS",5797
"Boom Clap","CHARLI XCX",5731
"Come With Me Now","KONGOS",5260
"Not A Bad Thing","JUSTIN TIMBERLAKE",5254
"Birthday","KATY PERRY",4317
"Rather Be f/Jess Glynne","CLEAN BANDIT",4076
"Chandelier","SIA",4064
"Shower","BECKY G",3937
"First Love","JENNIFER LOPEZ",3899
"Me And My Broken Heart","RIXTON",3894
"Ten Feet Tall f/Wrabel","AFROJACK",3857
"Tennis Court","LORDE",3644
"Wasted","TIESTO",3585
"Na Na","TREY SONGZ",2846
"Bailando f/Gente De Zona","ENRIQUE IGLESIAS",2733
"Sing","ED SHEERAN",2730
"I'm Ready","AJR",2502
"I Will Never Let You Down","RITA ORA",2452
"Break Free f/Zedd","ARIANA GRANDE",2209
"Black Widow f/Rita Ora","IGGY AZALEA",2180
"This Is How We Roll f/J.Derulo","FLORIDA-GEORGIA LINE",1552
"We Are Done","MADDEN BROTHERS",1410
"Hideaway","KIESZA",1390
"Cool Kids","ECHOSMITH",1340
"Girls Chase Boys","INGRID MICHAELSON",1049
"2 On f/Schoolboy Q","TINASHE",1027
"Jealous (I Ain't With It)","CHROMEO",922
"Love Never Felt So Good","M. JACKSON & J. TIMBERLAKE",894
"Habits (Stay High)","TOVE LO",889
"A Sky Full Of Stars","COLDPLAY",876
"Addicted To You","AVICII",785
"The Big Bang","KATY TIZ",770
"One Minute More","CAPITAL CITIES",722
"Loyal f/Lil' Wayne","CHRIS BROWN",714
"All About That Bass","MEGHAN TRAINOR",543
"You & I","ONE DIRECTION",524
"Ugly Heart","G.R.L.",439
