"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",14257,-20,202,-99,94.604,-0.766,32,1,14295,2273,96.15
2,"=","KATY PERRY E.T.",11709,-221,-1160,-186,79.743,-1.343,32,1,14624,0,96.745
3,"=","BLACK EYED PEAS Just Can't Get Enough",11628,-136,-1045,-54,76.343,-0.4,32,2,13366,715,84.474
4,"=","BRUNO MARS Lazy Song",11364,-31,492,-227,61.587,0.004,32,4,11422,1054,61.587
5,"=","PITBULL Give Me Everything f/Ne-Yo",11076,247,1636,142,78.546,1.613,32,5,11076,1811,78.546
6,"=","BRITNEY SPEARS Till The World Ends",10221,-137,-941,-83,66.911,-1.215,32,3,11896,966,75.819
7,"=","JENNIFER LOPEZ F/PITBULL On The Floor",8838,-94,-1016,-37,55.899,-0.916,32,5,10169,668,65.118
8,"=","LADY GAGA The Edge Of Glory",7912,224,1732,14,47.416,1.628,32,8,7912,2193,47.416
9,"=","LUPE FIASCO The Show Goes On",7281,25,631,-192,43.543,0.083,32,9,7281,1043,43.543
10,"=","TINIE TEMPAH Written In The Stars",6397,-210,-1285,-13,34.444,-1.196,32,7,8819,756,54.175
11,"=","LMFAO Party Rock Anthem",5921,223,1439,75,43.388,1.611,32,11,5921,1439,43.388
12,"=","JASON DERULO Don't Wanna Go Home",5432,62,815,-155,30.451,0.821,30,12,5432,1463,30.451
13,"+1","RIHANNA S&M",5042,-63,-551,34,32.275,-1.036,32,5,10081,0,64.524
14,"-1","KE$HA Blow",5011,-158,-872,-103,30.805,-1.077,32,4,10135,0,56.264
15,"=","WIZ KHALIFA Roll Up",4833,13,294,-10,26.112,-0.244,32,15,4833,725,26.433
16,"=","HOT CHELLE RAE Tonight Tonight",4816,94,553,10,23.856,0.534,32,16,4816,643,23.856
17,"+1","THE SCRIPT For The First Time",4523,-115,-900,-69,26.938,-0.268,32,11,6229,433,33.625
18,"-1","JESSIE J Price Tag f/B.O.B",4478,-210,-1193,-257,22.661,-0.779,32,12,5959,582,30.453
19,"+1","ONEREPUBLIC Good Life",4473,92,522,69,22.732,0.528,32,19,4473,580,22.732
20,"-1","SELENA GOMEZ & THE SCENE Who Says",4412,-31,56,-106,25.592,-0.27,32,17,4450,707,26.291
21,"+1","MARTIN SOLVEIG & DRAGONETTE Hello",3876,55,186,22,20.951,0.642,32,21,3876,605,21.932
22,"-1","JEREMIH Down On Me f/50 Cent",3789,-63,-849,110,22.633,-0.139,32,10,8052,153,44.2
23,"=","NICKI MINAJ Super Bass",3625,224,832,141,21.613,1.191,32,23,3625,834,21.613
24,"+1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3434,83,575,-20,19.857,0.08,30,24,3434,864,19.857
25,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",3263,-131,-786,-138,18.258,-0.638,32,17,4096,331,21.342
26,"=","TAYLOR SWIFT The Story Of Us",3084,-20,227,-116,15.462,0.064,32,24,3104,587,15.462
27,"=","KATY PERRY Last Friday Night (T.G.I.F.)",2874,258,1581,70,18.094,1.671,15,27,2874,1581,18.094
