"Title","Artist","Spins"
"Locked Out Of Heaven","BRUNO MARS",14715
"I Knew You Were Troubl...","TAYLOR SWIFT",13577
"Ho Hey","LUMINEERS",13498
"Beauty And A Beat f/N....","JUSTIN BIEBER",12207
"I Cry","FLO RIDA",10584
"Diamonds","RIHANNA",9288
"Don't You Worry Child","SWEDISH HOUSE MAFIA",9215
"Try","PINK",9068
"The A Team","ED SHEERAN",8271
"One More Night","MAROON 5",7730
"Scream And Shout","WILL.I.AM & BRITNEY SP...",7223
"Girl On Fire","ALICIA KEYS",6783
"Die Young","KE$HA",6758
"Don't Stop The Party","PITBULL",6247
"Daylight","MAROON 5",5603
"Sweet Nothing f/Floren...","CALVIN HARRIS",5493
"C'mon","KE$HA",5339
"Little Things","ONE DIRECTION",5162
"Thrift Shop f/Wanz","MACKLEMORE & RYAN LEWI...",5141
"Catch My Breath","KELLY CLARKSON",4893
"It's Time","IMAGINE DRAGONS",4258
"Hall Of Fame f/will.i....","THE SCRIPT",4239
"Suit & Tie f/JAY Z","JUSTIN TIMBERLAKE",4231
"Rest Of My Life","LUDACRIS F/USHER/DAVID...",3074
"Wanted","HUNTER HAYES",2563
"Remember When (Push Re...","CHRIS WALLACE",2195
"Little Talks","OF MONSTERS AND MEN",1840
"Va Va Voom","NICKI MINAJ",1736
"Troublemaker f/Flo Rid...","OLLY MURS",1587
"Give Me Your Hand","THE READY SET",1558
"Who Booty f/French Mon...","JONN HART",1289
"Turn Around f/Ne-Yo","CONOR MAYNARD",1283
"Feel Again","ONEREPUBLIC",885
"I Will Wait","MUMFORD & SONS",861
"Adorn","MIGUEL",733
"Gold","BRITT NICOLE",675
"Gangnam Style","PSY",598
"Lessons In Love (All D...","NEON TREES",501
"My Life f/Eminem & Ada...","50 CENT",494
"Feel This Moment","PITBULL",487
"Just A Fool","C. AGUILERA & B. SHELT...",484
"Madness","MUSE",454
"Endlessly","THE CAB",444
"When I Was Your Man","BRUNO MARS",419
"Carry On","FUN.",404
"C'mon Let Me Ride f/Em...","SKYLAR GREY",383
"Shooting Star","OWL CITY",324
"Now Or Never","CAMRYN",314
"Biggest Mistake","SECRET STATE",301
"She Wolf (Falling To P...","DAVID GUETTA",296
