"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"+1","ADELE Rolling In The Deep",13441,"+133",1433,"-40",90.651,"+1.603",17,1,13441,2273,90.651
2,"-1","KATY PERRY E.T.",13380,"-51",-416,"+87",90.989,"-0.301",17,1,14624,0,96.745
3,"=","BLACK EYED PEAS Just Can't Get Enough",13281,"-1",-64,"+20",83.085,"-0.485",17,2,13366,715,84.474
4,"=","BRITNEY SPEARS Till The World Ends",11715,"-89",-86,"-153",74.79,"-0.339",17,3,11896,966,75.819
5,"=","BRUNO MARS Lazy Song",10343,"+96",965,"-35",59.886,"+0.727",17,5,10343,1054,59.886
6,"=","JENNIFER LOPEZ F/PITBULL On The Floor",10149,"-20",213,"-86",63.933,"-0.414",17,5,10169,668,65.118
7,"=","TINIE TEMPAH Written In The Stars",8442,"-63",-313,"-27",47.191,"-0.850",17,7,8819,756,54.175
8,"=","PITBULL Give Me Everything f/Ne-Yo",8128,"+196",1641,"-65",57.232,"+1.429",17,8,8128,1811,57.232
9,"=","KE$HA Blow",6897,"-187",-1202,"-67",41.27,"-0.841",17,4,10135,0,56.264
10,"=","RIHANNA S&M",6534,"-161",-1128,"-10",41.185,"-1.067",17,5,10081,0,64.524
11,"=","THE SCRIPT For The First Time",6118,"-38",-45,"-81",32.467,"-0.310",17,11,6229,433,33.625
12,"=","JESSIE J Price Tag f/B.O.B",5910,"-49",66,"-70",29.744,"-0.279",17,12,5959,582,30.453
13,"+1","LUPE FIASCO The Show Goes On",5773,"+54",574,"-77",36.419,"+0.254",17,13,5773,1005,36.419
14,"-1","JEREMIH Down On Me f/50 Cent",5769,"-166",-1406,"+49",32.625,"-0.996",17,10,8052,153,44.2
15,"+1","LADY GAGA The Edge Of Glory",4993,"+202",1920,"-58",29.848,"+1.297",17,15,4993,2193,29.848
16,"-1","CEE LO GREEN F**k You (Forget You)",4746,"-103",-513,"-46",28.032,"-0.522",17,11,5830,0,32.865
17,"+2","WIZ KHALIFA Roll Up",4114,"+74",571,"-16",22.439,"+0.494",17,17,4114,725,22.439
18,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",4095,"-1",202,"-15",21.092,"-0.026",17,17,4096,331,21.118
19,"-1","SELENA GOMEZ & THE SCENE Who Says",4086,"+14",427,"-84",24.05,"-0.112",17,18,4086,707,24.162
20,"=","PINK F**kin' Perfect (Perfect)",3843,"-16",-661,"+102",21.337,"+0.168",17,14,5394,0,27.986
21,"=","HOT CHELLE RAE Tonight Tonight",3717,"+13",392,"-70",18.022,"+0.183",17,20,3717,643,18.022
22,"=","ONEREPUBLIC Good Life",3482,"+45",371,"-25",17.901,"+0.219",17,21,3482,580,17.901
23,"=","LMFAO Party Rock Anthem",3422,"+107",533,"+46",23.3,"+0.805",17,23,3422,533,23.3
24,"+1","JASON DERULO Don't Wanna Go Home",3394,"+146",1367,"-61",19.03,"+0.352",15,24,3394,1463,19.03
25,"-1","MARTIN SOLVEIG & DRAGONETTE Hello",3287,"+26",260,"-36",20.546,"+0.046",17,23,3287,605,20.588
26,"+1","TAYLOR SWIFT The Story Of Us",2627,"+9",207,"-59",12.806,"-0.028",17,26,2627,587,12.834
27,"-1","LADY GAGA Born This Way",2625,"-29",-457,"+62",14.364,"-0.183",17,19,3651,0,20.436
28,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",2113,"+107",806,"+9",14.599,"+0.739",15,28,2113,855,14.599
29,"=","NICKI MINAJ Super Bass",2071,"+102",678,"+41",11.584,"+0.331",17,29,2071,680,11.584
30,"=","CHRIS BROWN Look At Me Now",1730,"-52",-41,"-90",11.936,"-0.286",17,29,1861,229,12.746
31,"=","AVRIL LAVIGNE What The Hell",1615,"-56",-453,"-10",7.88,"-0.267",17,24,2903,0,13.876
32,"+1","SHONTELLE Say Hello To Goodbye",1558,"+19",104,"+26",4.487,"+0.015",17,32,1558,142,4.554
33,"+1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1508,"+13",295,"-68",6.456,"+0.025",17,33,1508,525,6.456
34,"-2","MIKE POSNER F/LIL WAYNE Bow Chicka Wow W...",1495,"-126",-1125,"+50",7.404,"-0.662",17,21,3233,127,13.744
35,"=","RIHANNA California King Bed",1455,"+73",582,"-16",7.647,"+0.182",12,35,1455,616,7.647
36,"+1","MAROON 5 Never Gonna Leave This Bed",1348,"+20",211,"-4",4.828,"+0.071",17,36,1348,312,4.828
37,"-1","DR. DRE I Need A Doctor f/Eminem",1286,"-51",-872,"+123",10.166,"-0.064",17,20,3521,0,21.933
38,"=","BIG TIME RUSH Boyfriend",1120,"-137",-750,"-101",4.385,"-0.454",17,30,1912,197,7.455
39,"=","BRITNEY SPEARS Hold It Against Me",1015,"-26",-40,"-28",6.997,"-0.490",17,37,1171,58,8.927
40,"=","THE READY SET Young Forever",999,"+8",36,"+11",2.487,"-0.003",17,40,999,107,2.494
41,"=","NICKI MINAJ Moment 4 Life f/Drake",953,"-18",-393,"+62",7.189,"+0.045",17,29,2036,0,13.564
42,"+1","NEON TREES Your Surrender",947,"+8",104,"-8",2.159,"-0.018",17,42,947,173,2.192
43,"-1","MY CHEMICAL ROMANCE Sing",899,"-51",-558,"+50",4.876,"-0.219",17,29,2009,0,7.995
44,"=","THE BAND PERRY If I Die Young",846,"+29",202,"+3",3.168,"+0.123",17,44,846,202,3.168
45,"+2","T-PAIN Best Love Song f/Chris Brown",697,"+17",133,"-1",2.915,"-0.086",15,45,697,151,3.001
46,"+2","STEVEN TYLER (It) Feels So Good",672,"+16",271,"-31",3.087,"+0.059",6,46,672,326,3.087
47,"-2","BEYONCE Run The World (Girls)",664,"-77",-417,"-43",2.377,"-0.200",17,35,1285,242,5.356
48,"-2","LADY GAGA Judas",632,"-76",-1324,"+245",3.15,"-0.274",17,15,4801,0,27.232
49,"=","CHRIS BROWN She Ain't You",607,"+26",156,"-3",4.941,"+0.227",6,49,607,201,4.941
50,"--","NICOLE SCHERZINGER Right There",597,"--",353,"--",5.119,"--",1,50,597,353,5.119
