"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FUN. We Are Young f/Janelle Monae",14191,-42,-217,-42,108.859,-0.55,77,"8",1,14439,2738,110.772
2,"=","FLO RIDA Wild Ones f/Sia",12595,53,540,-6,91.35,0.003,95,"7",2,12595,1940,91.35
3,"=","GOTYE Somebody That I Used To Know",11971,257,1967,-16,91.653,2.012,69,"1",3,11971,2018,91.653
4,"=","WANTED Glad You Came",11537,-109,-1426,48,90.327,-0.222,122,"16",1,13712,1363,101.962
5,"=","NICKI MINAJ Starships",11109,169,1439,11,79.189,0.799,85,"13/52",5,11109,1834,79.189
6,"=","ONE DIRECTION What Makes You Beautiful",10275,106,732,40,70.825,0.618,70,"9",6,10275,1579,70.825
7,"=","KATY PERRY Part Of Me",9416,-339,-1986,-200,63.607,-2.489,86,"34",3,12039,3625,78.553
8,"=","ADELE Rumour Has It",8476,-11,115,-66,55.955,0.496,66,"40",8,8487,1514,55.955
9,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",7619,-118,-896,51,55.09,-2.283,122,"41",1,13549,2321,99.332
10,"=","JUSTIN BIEBER Boyfriend",7377,-135,-469,-99,42.81,-0.956,44,"5",9,7937,4726,51.492
11,"=","CARLY RAE JEPSEN Call Me Maybe",7362,102,605,-3,51.574,1.11,59,"3",11,7362,1298,51.574
12,"=","CALVIN HARRIS Feel So Close",6980,-196,-1134,-177,45.923,-1.273,90,"22",7,8145,1329,55.352
13,"=","MAROON 5 Payphone f/Wiz Khalifa",6812,134,1281,-36,48.756,0.858,23,"2",13,6812,3415,48.756
14,"=","KARMIN Broken Hearted",5850,13,159,-10,36.223,0.433,80,"27",14,5850,936,36.223
15,"=","TRAIN Drive By",5807,50,191,-9,34.817,0.524,115,"17",15,5807,601,34.817
16,"=","DRAKE Take Care f/Rihanna",4948,-95,-938,122,39.842,-0.652,123,"54",8,7620,1220,60.618
17,"=","JENNIFER LOPEZ Dance Again f/Pitbull",4793,1,-12,28,28.764,-0.371,40,"23",17,4851,2243,30.831
18,"=","PITBULL Back In Time",4077,70,520,-60,22.247,0.734,41,"21",18,4077,925,22.247
19,"=","RIHANNA Where Have You Been",3998,278,1884,123,28.783,1.856,24,"18",19,3998,1884,28.783
20,"+1","USHER Scream",3665,336,1951,54,27.021,2.048,13,"37",20,3665,2119,27.021
21,"-1","ELLIE GOULDING Lights",3377,14,616,-110,21.403,0.563,89,"36",20,3377,786,21.403
22,"+1","DEMI LOVATO Give Your Heart A Break",2855,58,616,1,18.655,0.358,70,"56",22,2855,665,18.655
23,"-1","B.O.B So Good",2675,-249,-1638,-132,13.953,-1.579,67,"39",18,4675,1013,31.923
24,"=","TAYLOR SWIFT Eyes Open",2565,-175,-1230,-118,12.414,-1.069,45,"29",20,3925,1442,22.308
25,"=","DAVID GUETTA Titanium f/Sia",2337,114,694,25,15.096,0.595,31,"45",25,2337,694,15.096
26,"=","HAVANA BROWN We Run The Night f/Pitbull",2016,5,153,-40,14.929,-0.179,87,"64",26,2016,267,15.108
27,"=","DRAKE The Motto f/Lil Wayne",1936,4,-55,15,16.358,-0.006,80,"43",25,2047,321,19.147
28,"=","CHRIS RENE Young Homie",1749,7,209,-13,7.815,0.052,59,"132",28,1749,222,7.815
29,"=","NEON HITCH F U Betta",1715,-6,51,-42,7.711,0.06,66,"--",28,1721,247,7.711
30,"=","RITA ORA How We Do (Party)",1279,69,534,-26,7.241,0.251,13,"--",30,1279,620,7.241
31,"=","HOT CHELLE RAE Honestly",1161,11,102,-4,4.792,0.106,38,"189",30,1161,284,4.792
32,"=","CHRIS BROWN Turn Up The Music",1133,-12,-15,-4,10.272,-0.422,98,"66",17,4894,987,33.507
33,"=","NEON TREES Everybody Talks",871,23,162,3,3.299,0.076,30,"--",33,871,211,3.299
34,"=","KIRKO BANGZ Drank In My Cup",797,31,172,-20,4.14,0.081,36,"74",34,797,278,4.14
35,"+3","GYM CLASS HEROES Fighter f/Ryan Tedder",779,83,512,45,4.575,0.583,9,"300",35,779,512,4.575
36,"=","RIHANNA Talk That Talk f/Jay Z",716,-14,-134,13,4.08,-0.341,92,"116",24,2226,339,12.882
37,"=","JASON MRAZ I Won't Give Up",715,9,177,-22,3.309,0.041,24,"--",37,715,210,3.309
38,"+2","COLDPLAY Paradise",680,23,166,1,4.209,0.191,49,"57",38,892,255,4.209
39,"=","GROUPLOVE Tongue Tied",680,22,162,-22,2.098,0.111,15,"175",38,680,284,2.098
40,"-5","K'NAAN F/NELLY FURTADO Is Anybody Out Th...",675,-81,-572,30,2.807,-0.254,66,"--",27,1740,461,9.538
41,"=","CALVIN HARRIS Let's Go f/Ne-Yo",526,25,174,-5,6.176,0.213,11,"146",41,526,218,6.176
42,"=","NELLY FURTADO Big Hoops (Bigger The Bett...",460,38,318,21,1.859,0.159,4,"--",42,460,318,1.859
43,"=","THE WANTED Chasing The Sun",421,17,192,4,4.318,0.258,5,"240",43,421,192,4.318
44,"+1","ONE DIRECTION One Thing",366,33,193,20,2.832,0.288,3,"90",44,366,193,2.832
45,"+1","KEVIN RUDOLF Don't Give Up",337,6,50,-2,0.624,0.015,10,"--",45,337,132,0.624
46,"-2","RIHANNA Birthday Cake",337,-19,-122,-44,1.648,0.019,38,"55",40,479,116,1.742
47,"=","SELENA GOMEZ & THE SCENE Hit The Lights",315,13,29,10,1.111,0.105,13,"--",46,315,72,1.111
48,"=","THE CAB La La",300,-1,17,-11,0.493,0.015,32,"--",46,303,82,0.493
49,"=","NICKI MINAJ Right By My Side f/Chris Bro...",266,-7,8,-9,0.881,0.035,21,"162",46,276,92,1.019
50,"=","VIENNIE V For You",246,3,14,-4,0.221,0.002,4,"--",50,246,26,0.23
