"Pos","Pos.","Artist.and.Title","Spins","Spins.","Bullet","Bullet.","Aud","Aud.","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PITBULL Give Me Everything f/Ne-Yo",13505,"+49",361,"-39",93.049,"+0.495",50,1,13505,1811,93.049
2,"=","ADELE Rolling In The Deep",13309,"-80",-605,"+11",90.787,"-0.600",50,1,14295,2273,96.15
3,"=","LADY GAGA The Edge Of Glory",10951,"+164",805,"-5",62.566,"+1.027",50,3,10951,2193,62.566
4,"=","LMFAO Party Rock Anthem",10146,"+190",1577,"-97",68.649,"+0.730",50,4,10146,1859,68.649
5,"=","KATY PERRY E.T.",9376,"-209",-771,"-81",69.952,"-1.760",50,1,14624,0,96.745
6,"=","BLACK EYED PEAS Just Can't Get Enough",8961,"-136",-1056,"+28",62.494,"-0.439",50,2,13366,715,84.474
7,"=","BRUNO MARS Lazy Song",8726,"-313",-2069,"-153",42.033,"-1.249",50,3,11422,1054,61.587
8,"=","LUPE FIASCO The Show Goes On",8591,"+58",328,"+20",53.398,"-0.061",50,8,8591,1043,53.459
9,"=","KATY PERRY Last Friday Night (T.G.I.F.)",7908,"+310",1972,"+54",51.037,"+2.077",33,9,7908,2124,51.037
10,"=","JASON DERULO Don't Wanna Go Home",6824,"+46",315,"-49",36.191,"+0.055",48,10,6824,1463,37.039
11,"=","BRITNEY SPEARS Till The World Ends",6478,"-154",-1437,"+47",42.515,"-0.731",50,3,11896,966,75.819
12,"+1","NICKI MINAJ Super Bass",6315,"+159",978,"+18",38.186,"+1.005",50,12,6315,1188,38.186
13,"-1","HOT CHELLE RAE Tonight Tonight",6264,"+55",616,"-81",31.772,"+0.411",50,12,6264,838,31.772
14,"=","ONEREPUBLIC Good Life",6119,"+137",761,"+69",34.289,"+1.322",50,14,6119,761,34.289
15,"=","JENNIFER LOPEZ F/PITBULL On The Floor",5057,"-141",-1609,"+121",36.123,"-0.588",50,5,10169,668,65.118
16,"=","WIZ KHALIFA Roll Up",4456,"-142",-467,"-91",20.577,"-0.773",50,14,5043,725,26.478
17,"=","SELENA GOMEZ & THE SCENE Who Says",4178,"-131",-314,"-86",21.012,"-1.029",50,17,4559,707,27.282
18,"=","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",3848,"-21",61,"-32",21.073,"-0.452",48,18,3879,864,21.943
19,"+1","NICOLE SCHERZINGER Right There",3664,"+94",671,"-1",19.054,"+0.173",34,19,3664,720,19.054
20,"-1","MARTIN SOLVEIG & DRAGONETTE Hello",3637,"-55",-351,"-12",21.58,"-0.128",50,18,4031,605,23.761
21,"+5","BRITNEY SPEARS I Wanna Go",3307,"+241",1768,"+24",23.785,"+1.875",16,21,3307,1768,23.785
22,"=","TAYLOR SWIFT The Story Of Us",3290,"+7",73,"-24",16.612,"+0.027",50,21,3295,587,17.303
23,"-2","TINIE TEMPAH Written In The Stars",3228,"-94",-1148,"+144",19.723,"-0.429",50,7,8819,756,54.175
24,"-1","RIHANNA California King Bed",3221,"+51",254,"-14",14.512,"-0.087",45,23,3221,616,14.846
25,"-1","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",3171,"+10",420,"-66",15.45,"+0.285",50,24,3171,525,15.45
26,"-1","THE BAND PERRY If I Die Young",3169,"+41",429,"-38",16.553,"+0.138",50,24,3169,655,16.553
27,"=","JEREMIH Down On Me f/50 Cent",2597,"-83",-410,"-69",16.417,"-0.339",50,10,8052,153,44.2
28,"=","BEYONCE Best Thing I Never Had",2591,"+85",764,"-37",13.539,"+0.240",22,28,2591,856,13.539
29,"=","MAROON 5 Never Gonna Leave This Bed",2265,"+51",235,"+45",9.754,"+0.287",50,28,2265,312,9.754
30,"=","CHRIS BROWN She Ain't You",1849,"+80",383,"+31",9.308,"+0.229",39,30,1849,383,9.308
31,"=","LADY GAGA Born This Way",1769,"+2",-1,"+37",11.748,"+0.225",50,19,3651,0,20.436
32,"=","LIL WAYNE How To Love",1647,"+61",461,"-12",8.945,"+0.192",25,32,1647,473,8.945
33,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",1491,"+25",451,"-51",7.386,"+0.340",25,33,1491,502,7.386
34,"=","T-PAIN Best Love Song f/Chris Brown",1338,"+7",85,"-16",6.425,"-0.134",48,34,1338,260,6.559
35,"+1","AVRIL LAVIGNE Smile",1225,"+24",204,"-15",4.197,"+0.071",32,35,1225,226,4.197
36,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",1166,"-64",-511,"+4",7.111,"-0.184",50,17,4096,331,21.342
37,"=","CHRIS BROWN Look At Me Now",976,"-8",-273,"+32",7.118,"+0.016",50,28,1861,229,12.746
38,"=","IYAZ Pretty Girls",952,"+13",48,"-4",3.512,"+0.094",25,38,952,271,3.512
39,"=","CEE LO GREEN Bright Lights Bigger City",929,"+4",135,"-35",3.278,"-0.042",31,39,929,170,3.32
40,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",890,"+37",257,"+6",3.151,"+0.242",16,40,890,257,3.151
41,"=","ALL TIME LOW I Feel Like Dancin�",795,"+7",200,"-43",2.313,"+0.034",11,41,795,294,2.313
42,"=","BIG SEAN My Last f/Chris Brown",766,"+14",143,"+4",2.937,"+0.238",25,42,766,169,2.937
43,"=","COLDPLAY Every Teardrop Is A Waterfall",663,"+56",446,"+5",2.747,"+0.281",5,43,663,446,2.747
44,"=","TRAIN Save Me San Francisco",541,"+7",45,"+3",2.067,"+0.000",30,44,541,92,2.155
45,"+1","BAD MEETS EVIL Lighters f/Bruno Mars",517,"+62",369,"+34",2.398,"+0.311",4,45,517,369,2.398
46,"-1","AFROJACK Take Over Control f/Eva Simons",514,"+27",195,"+1",5.837,"+0.266",10,45,514,195,5.837
47,"+2","ANDY GRAMMER Keep Your Head Up",402,"+26",134,"+6",1.322,"+0.112",4,47,402,134,1.322
48,"-1","STEVEN TYLER (It) Feels So Good",401,"-46",-347,"-1",1.507,"-0.070",39,40,903,326,3.408
49,"-1","CODY SIMPSON On My Mind",393,"+2",69,"-20",1.313,"+0.028",11,47,393,89,1.313
50,"--","GYM CLASS HEROES Stereo Hearts f/Adam Le...",378,"--",211,"--",1.682,"--",1,50,378,211,1.682
