"Title","Artist","Spins"
"Ho Hey","LUMINEERS",5082
"Locked Out Of Hea...","BRUNO MARS",4781
"Try","PINK",4643
"Home","PHILLIP PHILLIPS",4405
"One More Night","MAROON 5",3996
"The A Team","ED SHEERAN",3590
"Some Nights","FUN.",3551
"Little Talks","OF MONSTERS AND M...",3087
"It's Time","IMAGINE DRAGONS",2966
"Catch My Breath","KELLY CLARKSON",2922
"I Will Wait","MUMFORD & SONS",2817
"I Knew You Were T...","TAYLOR SWIFT",2744
"Too Close","ALEX CLARE",2673
"Feel Again","ONEREPUBLIC",2587
"Daylight","MAROON 5",2014
"Diamonds","RIHANNA",2014
"Wanted","HUNTER HAYES",1811
"Overjoyed","MATCHBOX TWENTY",1534
"Madness","MUSE",1397
"Mermaid","TRAIN",1316
"Let Me Love You","NE-YO",1224
"Girl On Fire","ALICIA KEYS",962
"Lessons In Love (...","NEON TREES",939
"Between The Raind...","LIFEHOUSE F/N. BE...",908
"Die Young","KE$HA",806
"93 Million Miles","JASON MRAZ",801
"Soldier","GAVIN DEGRAW",752
"Stars","GRACE POTTER & TH...",592
"Come Along f/CeeL...","VICCI MARTINEZ",536
"Don't You Worry C...","SWEDISH HOUSE MAF...",524
"Take A Walk","PASSION PIT",498
"Because We Can","BON JOVI",479
"Skyfall","ADELE",429
"Carry On","FUN.",427
"Don't Wake Me Up","CHRIS BROWN",419
"Just A Fool","C. AGUILERA & B. ...",416
"Beauty And A Beat...","JUSTIN BIEBER",409
"Blown Away","CARRIE UNDERWOOD",351
"I Cry","FLO RIDA",337
"Shooting Star","OWL CITY",240
"Next To Me","EMELI SANDE",228
"Heartbeat Slowing...","ALL-AMERICAN REJE...",219
"Don't Stop The Pa...","PITBULL",212
"Little Things","ONE DIRECTION",180
"Anything Could Ha...","ELLIE GOULDING",162
"Sweet Nothing f/F...","CALVIN HARRIS",142
"Back It Up","CARO EMERALD",139
"Watch Me Walk Awa...","KATRINA",111
"Scream And Shout","WILL.I.AM F/BRITN...",103
"Sail","AWOLNATION",103
