"Title","Artist","Spins"
"Love Yourself","JUSTIN BIEBER",6924
"Stressed Out","TWENTY ONE PILOTS",6261
"When We Were Young","ADELE",5986
"One Call Away","CHARLIE PUTH",5192
"Let It Go","JAMES BAY",5025
"7 Years","LUKAS GRAHAM",4929
"Stitches","SHAWN MENDES",4655
"Cake By The Ocean","DNCE",4090
"Stand By You","RACHEL PLATTEN",3935
"Same Old Love","SELENA GOMEZ",3279
"Sorry","JUSTIN BIEBER",3221
"Something In The Way You Move","ELLIE GOULDING",2912
"NO","MEGHAN TRAINOR",2871
"New Romantics","TAYLOR SWIFT",2741
"Hide Away","DAYA",2228
"America's Sweetheart","ELLE KING",2191
"Make Me Like You","GWEN STEFANI",2042
"Piece By Piece","KELLY CLARKSON",1761
"Brand New","BEN RECTOR",1596
"Electric Love","BORNS",1565
"Adventure Of A Lifetime","COLDPLAY",1392
"Die A Happy Man","THOMAS RHETT",1293
"I Took A Pill In Ibiza","MIKE POSNER",1071
"Walking On A Dream","EMPIRE OF THE SUN",1041
"Roses f/Rozes","THE CHAINSMOKERS",993
"Fire And The Flood","VANCE JOY",992
"Here","ALESSIA CARA",942
"Hands To Myself","SELENA GOMEZ",894
"In The Night","THE WEEKND",856
"Oasis","A GREAT BIG WORLD",854
"Lost Boy","RUTH B.",815
"Rise Up","ANDRA DAY",803
"My House","FLO RIDA",672
"Pillowtalk","ZAYN",667
"Can't Help Falling In Love","HALEY REINHART",607
"Pride","AMERICAN AUTHORS",551
"Out Of The Woods","TAYLOR SWIFT",473
"First","COLD WAR KIDS",462
"Unsteady","X AMBASSADORS",448
"Victorious","PANIC! AT THE DISCO",437
"Sugar f/Francesco Yates","ROBIN SCHULZ",437
"Torches","DAUGHTRY",345
"Sound Of Your Heart","SHAWN HOOK",343
"Never Forget You","ZARA LARSSON & MNEK",300
"Burning House","CAM",255
"Work From Home","FIFTH HARMONY",239
"Catch & Release","MATT SIMONS",209
"Over And Over Again f/A.Grande","NATHAN SYKES",198
"Home","BLUE OCTOBER",166
"Work f/Drake","RIHANNA",154
