"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KELLY CLARKSON Mr. Know It All",4126,-4,-199,-28,24.666,-0.056,119,"31",1,4325,947,26.093
2,"=","COLBIE CAILLAT Brighter Than The Sun",3560,-2,-159,-14,20.863,0.128,185,"94",2,3727,357,22.509
3,"+1","ADELE Someone Like You",3519,23,-214,67,21.867,0.431,165,"8",1,5345,683,30.563
4,"-1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",3519,-10,-236,13,21.278,0.191,179,"12",1,5169,599,29.564
5,"=","GAVIN DEGRAW Not Over You",3446,0,-102,-22,17.768,0.072,198,"22",5,3603,348,18.919
6,"=","LADY ANTEBELLUM Just A Kiss",3298,-7,-271,9,19.895,0.109,163,"41",4,3692,414,21.434
7,"=","KATY PERRY The One That Got Away",3167,34,68,6,17.831,0.237,76,"6",7,3179,472,17.969
8,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",2777,3,-94,-13,18.229,0.182,126,"10",7,2884,521,18.841
9,"=","DAUGHTRY Crawling Back To You",2688,14,-106,1,13.561,0.26,99,"525",7,2810,901,14.412
10,"=","BRUNO MARS It Will Rain",2529,29,54,-1,14.465,0.477,89,"2",10,2537,340,14.465
11,"=","FRAY Heartbeat",2376,3,-62,-26,10.072,0.064,78,"111",10,2478,528,11.238
12,"=","ADELE Set Fire To The Rain",2288,18,2,-23,14.097,0.369,47,"4",12,2327,463,14.097
13,"=","THE SCRIPT Nothing",2035,3,-171,28,11.478,-0.073,168,"134",3,4163,439,21.681
14,"=","DAVID GUETTA Without You f/Usher",1980,16,-40,12,11.507,0.101,97,"16",14,2047,313,11.996
15,"=","RIHANNA We Found Love f/Calvin Harris",1972,16,119,-9,11.718,0.251,70,"3",15,1972,361,11.718
16,"=","COLDPLAY Paradise",1930,2,-35,-24,9.797,0.145,87,"35",15,1995,274,9.797
17,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",1689,-13,-184,14,10.05,0.065,144,"32",13,2182,391,14.129
18,"=","LADY GAGA You And I",1680,7,-193,14,9.488,-0.002,135,"54",6,3672,543,19.636
19,"=","NICKELBACK When We Stand Together",1580,-6,-210,9,5.944,-0.003,96,"67",12,2391,725,10.969
20,"=","CHRISTINA PERRI A Thousand Years",1447,13,68,-4,8.005,0.152,53,"44",20,1447,299,8.005
21,"=","ELLIE GOULDING Lights",1039,6,-14,-9,4.099,0.082,106,"228",21,1086,180,4.099
22,"=","AVRIL LAVIGNE Wish You Were Here",851,4,10,-9,2.99,0.075,81,"75",22,861,143,2.99
23,"=","PARACHUTE Kiss Me Slowly",814,3,-65,14,2.798,0.124,125,"368",20,1235,165,4.313
24,"=","SNOW PATROL Called Out In The Dark",723,0,-6,-5,2.176,-0.014,103,"--",24,741,97,2.19
25,"=","RACHEL PLATTEN 1000 Ships",684,6,-21,0,1.927,-0.044,155,"--",24,735,113,2.184
26,"=","FLORENCE + THE MACHINE Shake It Out",570,-3,32,-23,1.847,-0.011,59,"--",26,573,101,1.858
27,"=","KID ROCK Care f/Martina Mcbride",570,-3,-41,-10,1.398,-0.013,98,"--",26,622,111,1.54
28,"=","HOT CHELLE RAE I Like It Like That f/New...",543,18,103,15,1.802,0.094,23,"26",28,543,159,1.802
29,"=","ANDY GRAMMER Fine By Me",513,11,102,0,1.689,0.152,39,"--",29,513,102,1.689
30,"=","LMFAO Sexy And I Know It",497,3,7,6,2.167,-0.045,74,"1",28,497,78,2.261
31,"=","LADY GAGA Marry The Night",484,10,20,14,2.158,0.002,32,"52",29,484,158,2.158
32,"=","SELENA GOMEZ & THE SCENE Love You Like A...",461,11,74,1,1.838,0.078,28,"30",32,461,147,1.838
33,"=","THE CAB Bad",405,4,-16,6,0.582,-0.043,135,"960",30,432,93,0.783
34,"=","FLO RIDA Good Feeling",365,13,11,20,1.589,0.093,46,"5",31,365,99,1.589
35,"=","SCARS ON 45 Heart On Fire",345,-2,1,-9,0.342,0.001,70,"--",34,357,58,0.407
36,"=","DAVID COOK Fade Into Me",311,0,-26,5,0.831,0.015,68,"--",33,342,61,0.846
37,"=","EVANESCENCE My Heart Is Broken",299,-2,-2,-11,0.649,-0.005,49,"--",37,313,95,0.727
38,"=","JESSIE J Domino",296,3,43,-9,1.889,0.034,18,"21",38,296,98,1.889
39,"=","FOSTER THE PEOPLE Don't Stop (Color On T...",254,3,37,0,0.891,0.076,18,"182",39,254,93,0.891
40,"=","RED HOT CHILI PEPPERS Adventures Of Rain...",241,-5,-19,-10,1.101,-0.042,152,"297",17,1499,222,5.7
41,"=","FITZ & THE TANTRUMS Don't Gotta Work It ...",225,3,-8,5,0.672,0.034,56,"--",40,235,49,0.672
42,"=","T-PAIN 5 O'Clock f/Wiz Khalifa",212,1,-27,7,0.443,-0.002,33,"14",39,246,89,0.481
43,"=","OUTASIGHT Tonight Is The Night",195,0,16,-8,1.241,-0.022,12,"58",43,195,69,1.264
44,"=","ADELE Rumour Has It",185,0,31,-4,1.218,-0.006,56,"80",44,192,75,1.327
45,"=","JACK'S MANNEQUIN Release Me",161,-3,-8,-3,0.145,0.003,23,"--",43,171,40,0.161
46,"+2","DEV In The Dark",140,0,0,2,0.461,-0.018,84,"87",45,175,36,0.51
47,"+2","MATT NATHANSON Run f/Sugarland",137,1,24,-2,1.102,0.063,10,"--",47,137,29,1.102
48,"-2","MICHAEL BUBLE All I Want For Christmas I...",137,-18,13,-22,1.647,-0.43,11,"--",43,195,92,2.746
49,"-2","JUSTIN BIEBER Mistletoe",134,-11,51,-16,0.968,-0.149,5,"42",46,164,97,1.254
50,"=","JAVIER COLON As Long As We Got Love",125,-1,-1,0,0.155,-0.001,10,"--",47,127,6,0.156
