"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",4915,"+1",-114,"+9",27.329,"-0.060",67,1,5540,342,29.393
2,"=","BRUNO MARS Lazy Song",4431,"+1",9,"-6",22.124,"+0.008",67,2,4460,564,22.506
3,"=","ONEREPUBLIC Good Life",4385,"+21",198,"-49",21.255,"-0.062",67,3,4385,408,21.317
4,"=","LADY GAGA The Edge Of Glory",3884,"+38",276,"-23",20.098,"+0.308",59,4,3884,631,20.098
5,"=","ANDY GRAMMER Keep Your Head Up",3530,"+12",115,"-20",16.256,"+0.052",67,5,3530,291,16.256
6,"=","MAROON 5 Never Gonna Leave This Bed",3477,"-25",-166,"-17",17.488,"-0.316",67,4,3782,246,18.678
7,"=","PINK F**kin' Perfect (Perfect)",3143,"-5",-69,"-2",18.199,"+0.170",67,2,4534,67,24.858
8,"=","TRAIN Save Me San Francisco",3058,"+3",112,"-44",12.72,"-0.053",67,8,3058,355,12.845
9,"=","KATY PERRY E.T.",2867,"-38",-363,"+4",15.048,"-0.204",67,2,4417,523,23.302
10,"+1","JASON ALDEAN/KELLY CLARKSON Don't You Wa...",2719,"+1",87,"-38",14.68,"+0.135",67,10,2719,328,14.9
11,"-1","THE SCRIPT For The First Time",2689,"-67",-180,"-97",15.546,"-0.459",67,3,4317,123,21.065
12,"=","KATY PERRY Last Friday Night (T.G.I.F.)",2521,"+74",481,"+4",13.709,"+0.311",35,12,2521,703,13.709
13,"=","BLACK EYED PEAS Just Can't Get Enough",2274,"-2",48,"-25",12.535,"+0.080",67,12,2281,292,12.733
14,"=","COLDPLAY Every Teardrop Is A Waterfall",2208,"+21",183,"-31",10.595,"+0.036",39,13,2208,560,10.595
15,"=","PARACHUTE Something To Believe In",1999,"-1",27,"-13",6.864,"+0.095",67,13,2008,189,7.097
16,"=","HOT CHELLE RAE Tonight Tonight",1871,"+36",328,"-23",7.778,"+0.122",56,16,1871,356,7.778
17,"=","THE BAND PERRY If I Die Young",1719,"+26",240,"-6",8.38,"+0.378",50,17,1719,307,8.38
18,"=","STEVEN TYLER (It) Feels So Good",1467,"-7",27,"-12",5.604,"-0.121",63,16,1474,270,5.905
19,"=","CHRISTINA PERRI Arms",1423,"+19",95,"+24",4.048,"+0.131",67,19,1423,179,4.048
20,"=","JESSIE J Price Tag f/B.O.B",1252,"-10",-8,"-25",5.958,"-0.093",67,18,1280,162,6.478
21,"=","MATT NATHANSON Faster",1090,"-1",53,"-29",3.366,"+0.007",67,21,1091,137,3.366
22,"=","BRITNEY SPEARS Till The World Ends",942,"-5",-68,"-11",6.398,"+0.089",67,17,1171,193,6.398
23,"+1","PITBULL Give Me Everything f/Ne-Yo",857,"+3",84,"-27",3.728,"+0.109",36,23,857,229,3.728
24,"-1","NEON TREES Your Surrender",846,"-20",-34,"-34",1.874,"-0.098",67,23,887,110,2.156
25,"=","THREE DAYS GRACE Lost In You",789,"+14",25,"+11",1.813,"+0.065",67,25,789,79,1.813
26,"=","GOO GOO DOLLS All That You Are",769,"+22",141,"-11",2.96,"+0.095",32,26,769,171,2.96
27,"+1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",735,"+42",332,"+8",3.744,"+0.246",14,27,735,332,3.744
28,"-1","LIFEHOUSE Falling In",692,"-25",-104,"-21",3.909,"-0.226",67,10,2169,62,11.084
29,"=","JENNIFER LOPEZ F/PITBULL On The Floor",660,"-16",-59,"-9",3.024,"-0.108",67,24,909,148,4.073
30,"=","MAT KEARNEY Hey Mama",626,"+14",53,"+10",1.137,"-0.004",67,30,626,75,1.141
31,"=","DAVID COOK Last Goodbye",589,"-2",-12,"-1",1.518,"-0.008",65,29,602,102,1.594
32,"=","TAYLOR SWIFT The Story Of Us",551,"-1",-16,"-1",2.68,"+0.041",61,30,581,68,2.893
33,"=","FOSTER THE PEOPLE Pumped Up Kicks",533,"+16",90,"-2",1.442,"+0.047",25,32,533,141,1.442
35,"-1","GAVIN DEGRAW Not Over You",466,"+0",41,"-14",1.342,"-0.011",33,33,466,138,1.36
34,"+1","COLBIE CAILLAT Brighter Than The Sun",466,"+6",68,"-9",0.758,"-0.019",20,34,466,120,0.777
36,"=","MICHELLE BRANCH Loud Music",452,"+19",97,"+13",0.881,"+0.078",21,36,452,119,0.881
37,"=","LMFAO Party Rock Anthem",410,"+9",68,"-6",1.458,"+0.039",23,37,410,125,1.472
38,"+1","JASON DERULO Don't Wanna Go Home",361,"+0",8,"-16",1.124,"-0.004",28,38,368,75,1.128
39,"-1","FITZ & THE TANTRUMS MoneyGrabber",359,"-9",-29,"-8",1.125,"-0.057",67,35,413,29,1.182
40,"=","LENNY KRAVITZ Stand",357,"+12",98,"-4",0.88,"+0.031",14,40,357,102,0.88
41,"=","CEE LO GREEN Bright Lights Bigger City",315,"-7",-17,"-11",0.913,"-0.011",42,38,369,81,1.472
43,"=","O.A.R. Heaven",255,"+9",15,"+5",1.256,"+0.009",13,43,255,92,1.256
42,"=","SELENA GOMEZ & THE SCENE Who Says",255,"+4",51,"-5",0.796,"+0.009",10,42,255,56,0.796
44,"+3","THE SCRIPT Nothing",245,"+46",178,"+45",0.448,"+0.127",3,44,245,178,0.448
45,"-1","REEVE CARNEY Rise Above 1 f/Bono & The E...",236,"-10",-18,"-22",0.204,"-0.005",15,43,254,38,0.213
46,"-1","JAMES BLUNT I'll Be Your Man",232,"-9",-12,"-10",0.288,"-0.011",26,43,251,41,0.321
47,"-1","GRACE POTTER & THE NOCTURNALS Paris (Ooh...",211,"-13",-167,"+14",0.577,"-0.045",67,19,1206,101,4.691
48,"+1","BRITNEY SPEARS I Wanna Go",208,"+16",86,"+7",0.593,"+0.032",4,48,208,86,0.593
49,"-1","MUMFORD & SONS The Cave",192,"-3",10,"-8",0.687,"-0.016",58,40,379,56,1.574
50,"--","LINKIN PARK Iridescent",168,"--",12,"--",0.122,"--",5,49,168,12,0.151
