"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",5209,"-40",-266,"-29",28.251,"-0.080",54,1,5540,342,29.393
2,"=","BRUNO MARS Lazy Song",4277,"-1",296,"-62",21.996,"+0.054",54,2,4278,564,21.996
3,"=","ONEREPUBLIC Good Life",3929,"+12",235,"-22",18.339,"+0.231",54,3,3929,408,18.339
4,"=","MAROON 5 Never Gonna Leave This Bed",3672,"-41",-99,"-47",18.348,"+0.022",54,4,3782,246,18.668
5,"=","KATY PERRY E.T.",3509,"-93",-626,"-39",18.424,"-0.397",54,2,4417,523,23.302
6,"=","PINK F**kin' Perfect (Perfect)",3344,"-57",-382,"+1",18.953,"-0.013",54,2,4534,67,24.858
7,"=","ANDY GRAMMER Keep Your Head Up",3274,"-17",14,"-39",14.886,"-0.116",54,7,3320,291,15.002
8,"=","LADY GAGA The Edge Of Glory",3210,"+54",506,"-40",17.585,"+0.364",46,8,3210,631,17.585
9,"=","THE SCRIPT For The First Time",2949,"-56",-359,"-31",16.391,"-0.161",54,3,4317,123,21.065
10,"=","TRAIN Save Me San Francisco",2797,"-21",122,"-55",12.126,"-0.212",54,9,2836,355,12.45
11,"=","JASON ALDEAN/KELLY CLARKSON Don't You Wa...",2472,"+18",168,"-16",13.047,"+0.036",54,11,2472,328,13.11
12,"+1","BLACK EYED PEAS Just Can't Get Enough",2155,"+18",188,"-9",11.994,"+0.401",54,12,2155,292,11.994
13,"-1","CEE LO GREEN F**k You (Forget You)",2108,"-66",-475,"-16",11.536,"-0.366",54,4,3721,0,19.447
14,"=","PARACHUTE Something To Believe In",1926,"-13",41,"-19",6.887,"-0.027",54,13,1942,189,7.038
15,"=","COLDPLAY Every Teardrop Is A Waterfall",1791,"+47",462,"-43",7.968,"+0.274",26,15,1791,560,7.968
16,"=","KATY PERRY Last Friday Night (T.G.I.F.)",1621,"+91",703,"+12",9.429,"+0.599",22,16,1621,703,9.429
17,"=","STEVEN TYLER (It) Feels So Good",1417,"-3",89,"-49",5.742,"+0.122",50,16,1420,270,5.742
18,"=","THE BAND PERRY If I Die Young",1300,"+52",307,"+16",5.76,"+0.273",37,18,1300,307,5.76
19,"=","HOT CHELLE RAE Tonight Tonight",1255,"+30",284,"-21",5.008,"+0.181",43,19,1255,305,5.008
20,"=","CHRISTINA PERRI Arms",1205,"+20",156,"-3",3.231,"+0.102",54,20,1205,159,3.231
21,"=","JESSIE J Price Tag f/B.O.B",1203,"+24",82,"+21",5.896,"+0.169",54,18,1203,162,5.896
22,"=","BRITNEY SPEARS Till The World Ends",1030,"-17",-72,"+1",6.244,"+0.079",54,17,1171,193,6.244
23,"=","MY CHEMICAL ROMANCE Sing",952,"-65",-424,"+8",4.334,"-0.312",54,10,2156,213,11.397
24,"=","MATT NATHANSON Faster",938,"+22",120,"+16",2.74,"+0.041",54,24,938,129,2.74
25,"=","NEON TREES Your Surrender",853,"+5",33,"-1",2.008,"-0.026",54,25,853,110,2.114
26,"+1","LIFEHOUSE Falling In",798,"-4",-81,"+24",4.488,"-0.167",54,10,2169,62,11.084
27,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",775,"-33",-103,"-42",3.715,"-0.141",54,24,909,148,4.073
28,"=","THREE DAYS GRACE Lost In You",737,"+6",37,"-6",1.535,"+0.049",54,28,737,79,1.56
29,"=","PITBULL Give Me Everything f/Ne-Yo",688,"+7",126,"-26",2.344,"+0.044",23,29,688,229,2.344
30,"+4","DAVID COOK Last Goodbye",568,"+26",89,"+23",1.444,"+0.109",52,30,568,102,1.444
31,"+2","TAYLOR SWIFT The Story Of Us",549,"-1",35,"+3",2.661,"-0.130",48,31,553,68,2.893
32,"+3","GOO GOO DOLLS All That You Are",531,"+3",94,"-23",2.003,"+0.107",19,32,531,171,2.003
33,"+3","MAT KEARNEY Hey Mama",529,"+4",24,"-6",0.936,"-0.006",54,33,529,75,1.018
34,"-3","GRACE POTTER & THE NOCTURNALS Paris (Ooh...",524,"-65",-370,"-19",1.592,"-0.451",54,19,1206,101,4.691
35,"+2","FOSTER THE PEOPLE Pumped Up Kicks",435,"+7",111,"-17",1.131,"+0.020",12,35,435,141,1.131
36,"+2","FITZ & THE TANTRUMS MoneyGrabber",396,"-3",-11,"+2",1.078,"-0.002",54,36,413,29,1.121
37,"+2","GAVIN DEGRAW Not Over You",388,"-1",44,"-11",1.236,"+0.009",20,37,391,138,1.236
38,"+2","KE$HA Blow",364,"-8",-50,"+8",1.984,"-0.112",54,26,752,67,3.047
39,"+2","CEE LO GREEN Bright Lights Bigger City",344,"-13",-9,"-19",1.097,"-0.062",29,39,369,81,1.472
40,"+3","COLBIE CAILLAT Brighter Than The Sun",340,"+21",119,"+4",0.555,"+0.028",7,40,340,119,0.555
41,"+1","MICHELLE BRANCH Loud Music",336,"+7",94,"-10",0.681,"+0.016",8,41,336,119,0.681
42,"+3","JASON DERULO Don't Wanna Go Home",319,"+11",39,"+3",0.966,"+0.012",15,42,319,73,1.03
43,"+1","LMFAO Party Rock Anthem",317,"+6",59,"-4",1.112,"+0.018",10,43,317,125,1.112
44,"+2","HANSON Give A Little",287,"-11",-52,"-2",0.683,"-0.024",54,40,360,53,0.919
45,"+3","BC JEAN I'll Survive You",250,"-1",-54,"+13",0.209,"-0.078",50,43,327,42,0.58
46,"+3","JAMES BLUNT I'll Be Your Man",247,"+0",6,"-1",0.308,"+0.001",13,46,248,41,0.308
47,"+3","REEVE CARNEY Rise Above 1 f/Bono & The E...",240,"+0",29,"-9",0.177,"-0.014",2,47,240,38,0.191
48,"--","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",234,"--",176,"--",1.404,"--",1,48,234,176,1.404
49,"--","LENNY KRAVITZ Stand",214,"--",32,"--",0.778,"--",1,49,214,32,0.778
50,"--","MUMFORD & SONS The Cave",211,"--",-30,"--",0.663,"--",48,40,379,56,1.574
