"Title","Artist","Spins"
"Not A Bad Thing","JUSTIN TIMBERLAKE",5935
"All Of Me","JOHN LEGEND",5874
"Ain't It Fun","PARAMORE",5767
"Happy","PHARRELL WILLIAMS",5385
"Sing","ED SHEERAN",4441
"Pompeii","BASTILLE",4308
"Raging Fire","PHILLIP PHILLIPS",4089
"Dark Horse","KATY PERRY",3806
"Best Day Of My Life","AMERICAN AUTHORS",3774
"Me And My Broken Heart","RIXTON",3673
"Am I Wrong","NICO & VINZ",3222
"Sleeping With A Friend","NEON TREES",3106
"Girls Chase Boys","INGRID MICHAELSON",3016
"Love Runs Out","ONEREPUBLIC",2905
"Birthday","KATY PERRY",2804
"I Choose You","SARA BAREILLES",2724
"Stay With Me","SAM SMITH",2600
"Rude","MAGIC!",1950
"On Top Of The World","IMAGINE DRAGONS",1326
"Peace","O.A.R.",1324
"The Walker","FITZ & THE TANTRUMS",1288
"Talk Dirty f/2 Chainz","JASON DERULO",1268
"Break Your Plans","FRAY",1149
"Tennis Court","LORDE",1146
"Problem f/Iggy Azalea","ARIANA GRANDE",956
"Already Home","A GREAT BIG WORLD",952
"Love Never Felt So Good","M. JACKSON & J. TIMBERLAKE",935
"Neon Lights","DEMI LOVATO",914
"Classic","MKTO",760
"Come With Me Now","KONGOS",622
"Back Home","ANDY GRAMMER",605
"You & I","ONE DIRECTION",582
"Summer","CALVIN HARRIS",577
"Believer","AMERICAN AUTHORS",575
"Let It Go","IDINA MENZEL",545
"Forever","HAIM",497
"A Sky Full Of Stars","COLDPLAY",483
"Be Okay","OH HONEY",385
"Last Love Song","ZZ WARD",334
"She Ain't You","NEW HOLLOW",331
"Fancy f/Charli XCX","IGGY AZALEA",330
"La La La f/Sam Smith","NAUGHTY BOY",312
"Torpedo","JILLETTE JOHNSON",279
"All I Want","KODALINE",276
"Battleships","DAUGHTRY",266
"Scare Away The Dark","PASSENGER",240
"She Looks So Perfect","5 SECONDS OF SUMMER",227
"Crazy Lucky","BETTER THAN EZRA",198
"I Was A Fool","TEGAN & SARA",167
"The Big Bang","KATY TIZ",145
