"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Someone Like You",5148,"+9",198,"-41",27.581,"-0.108",88,"1",1,5148,683,27.689
2,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",5100,"-12",61,"-40",27.778,"-0.043",102,"6",1,5117,599,27.837
3,"=","HOT CHELLE RAE Tonight Tonight",4125,"-12",-248,"+29",22.173,"+0.026",144,"40",2,4609,408,25.013
4,"=","FOSTER THE PEOPLE Pumped Up Kicks",3927,"-12",183,"-39",20.211,"-0.009",113,"5",4,3939,385,20.22
5,"=","ONEREPUBLIC Good Life",3600,"-15",-155,"+7",20.042,"-0.232",155,"35",1,4888,408,25.509
6,"=","THE SCRIPT Nothing",3473,"+20",159,"-12",15.485,"+0.215",91,"28",6,3473,439,15.485
7,"=","KELLY CLARKSON Mr. Know It All",3392,"+10",291,"-38",17.524,"-0.160",42,"20",7,3392,947,17.684
8,"=","KATY PERRY Last Friday Night (T.G.I.F.)",2975,"-49",-448,"+18",15.347,"-0.160",123,"60",1,4794,785,25.04
9,"=","LADY GAGA You And I",2913,"+27",281,"-20",14.805,"+0.272",58,"10",9,2913,543,14.805
10,"=","COLBIE CAILLAT Brighter Than The Sun",2765,"+34",154,"+7",15.379,"+0.033",108,"78",10,2765,357,15.379
11,"=","THE BAND PERRY If I Die Young",2579,"-53",-204,"-24",13.625,"-0.309",138,"39",3,3975,496,19.165
12,"=","GAVIN DEGRAW Not Over You",2482,"+40",320,"+12",10.574,"-0.030",121,"43",12,2482,348,10.604
13,"=","MATT NATHANSON Faster",2200,"+9",34,"+4",8.996,"-0.119",155,"124",12,2200,181,9.198
14,"=","DAUGHTRY Crawling Back To You",2087,"+37",428,"-33",9.812,"+0.118",22,"69",14,2087,901,9.812
15,"=","LADY ANTEBELLUM Just A Kiss",2050,"+26",284,"-6",10.275,"+0.134",86,"30",14,2050,313,10.275
16,"=","LMFAO Party Rock Anthem",1849,"+3",87,"-19",10.122,"+0.009",111,"13",14,1851,181,10.199
