"Title","Artist","Spins"
"Shake It Off","TAYLOR SWIFT",6726
"All About That Bass","MEGHAN TRAINOR",6534
"Boom Clap","CHARLI XCX",5778
"A Sky Full Of Stars","COLDPLAY",4978
"Maps","MAROON 5",4883
"Cool Kids","ECHOSMITH",4354
"Don't","ED SHEERAN",4156
"Rude","MAGIC!",3801
"Stay With Me","SAM SMITH",3696
"Am I Wrong","NICO & VINZ",3245
"Chandelier","SIA",3173
"Rather Be f/Jess Glynne","CLEAN BANDIT",3058
"Superheroes","THE SCRIPT",3024
"Bang Bang","JESSIE J/A. GRANDE/N. MINAJ",2982
"Secrets","MARY LAMBERT",2878
"Try","COLBIE CAILLAT",2662
"Habits (Stay High)","TOVE LO",2266
"Animals","MAROON 5",2233
"Angel In Blue Jeans","TRAIN",1927
"Stolen Dance","MILKY CHANCE",1631
"I'm Not The Only One","SAM SMITH",1624
"Back Home","ANDY GRAMMER",1455
"Riptide","VANCE JOY",1323
"Battleships","DAUGHTRY",1279
"Break Free f/Zedd","ARIANA GRANDE",1269
"Burning Gold","CHRISTINA PERRI",899
"This Is How We Do","KATY PERRY",882
"Unpack Your Heart","PHILLIP PHILLIPS",837
"Latch f/Sam Smith","DISCLOSURE",830
"In Your Arms","NICO & VINZ",777
"Bailando f/D.Bueno/S.Paul/GDZ","ENRIQUE IGLESIAS",753
"I Lived","ONEREPUBLIC",729
"Believer","AMERICAN AUTHORS",722
"Headphones f/LOLO","MATT NATHANSON",702
"Fire","GAVIN DEGRAW",697
"What Are You Waiting For","NICKELBACK",671
"Ghost","ELLA HENDERSON",657
"Take Me To Church","HOZIER",632
"Ugly Heart","G.R.L.",466
"Black Widow f/Rita Ora","IGGY AZALEA",448
"Summer","CALVIN HARRIS",383
"Amnesia","5 SECONDS OF SUMMER",372
"Dangerous f/Joywave","BIG DATA",357
"Shatter Me f/Lzzy Hale","LINDSEY STIRLING",322
"Centuries","FALL OUT BOY",289
"Blame f/John Newman","CALVIN HARRIS",236
"Jealous","NICK JONAS",220
"Afterlife","INGRID MICHAELSON",214
"Flaws","BASTILLE",211
"Only Love Can Hurt Like This","PALOMA FAITH",194
