"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","ADELE Rolling In The Deep",5473,"-12",-33,"-9",28.683,"+0.011",47,1,5540,342,29.393
2,"=","KATY PERRY E.T.",4135,"-54",-245,"-45",21.233,"-0.146",47,2,4417,523,23.302
3,"=","BRUNO MARS Lazy Song",3981,"+61",355,"+10",20.767,"+0.515",47,3,3981,564,20.767
4,"+1","MAROON 5 Never Gonna Leave This Bed",3771,"+6",2,"+3",18.468,"-0.004",47,4,3782,246,18.485
5,"-1","PINK F**kin' Perfect (Perfect)",3726,"-58",-299,"-44",20.226,"-0.516",47,2,4534,67,24.858
6,"=","ONEREPUBLIC Good Life",3693,"+34",195,"+4",16.474,"+0.200",47,6,3693,408,16.474
7,"=","THE SCRIPT For The First Time",3308,"-25",-89,"-13",16.931,"-0.028",47,3,4317,123,21.065
8,"=","ANDY GRAMMER Keep Your Head Up",3260,"+22",97,"-2",14.156,"+0.217",47,8,3260,291,14.156
9,"+2","LADY GAGA The Edge Of Glory",2704,"+94",564,"+46",14.534,"+0.668",39,9,2704,631,14.534
10,"-1","TRAIN Save Me San Francisco",2675,"+34",217,"+6",11.931,"+0.275",47,9,2675,355,11.931
11,"-1","CEE LO GREEN F**k You (Forget You)",2583,"-50",-330,"-4",13.881,"-0.360",47,4,3721,0,19.447
12,"=","JASON ALDEAN/KELLY CLARKSON Don't You Wa...",2304,"+34",190,"+17",12.413,"+0.245",47,11,2304,328,12.413
13,"=","BLACK EYED PEAS Just Can't Get Enough",1967,"+27",267,"+5",9.641,"+0.076",47,13,1967,292,9.641
14,"=","PARACHUTE Something To Believe In",1885,"+6",79,"-13",6.924,"+0.089",47,13,1885,189,6.924
15,"=","MY CHEMICAL ROMANCE Sing",1376,"-73",-527,"-17",6.057,"-0.395",47,10,2156,213,11.397
16,"+2","COLDPLAY Every Teardrop Is A Waterfall",1329,"+91",521,"+27",6.126,"+0.441",19,16,1329,521,6.126
