"Title","Artist","Spins"
"Shut Up And Dance","WALK THE MOON",6659
"Honey, I'm Good","ANDY GRAMMER",6409
"Bad Blood","TAYLOR SWIFT",6257
"Want To Want Me","JASON DERULO",6222
"See You Again f/Charlie Puth","WIZ KHALIFA",6086
"Fight Song","RACHEL PLATTEN",5610
"This Summer's Gonna Hurt...","MAROON 5",3909
"Bright","ECHOSMITH",3786
"Talking Body","TOVE LO",3783
"Sugar","MAROON 5",3680
"Photograph","ED SHEERAN",3458
"Invincible","KELLY CLARKSON",2394
"Uma Thurman","FALL OUT BOY",2238
"Hold Back The River","JAMES BAY",2174
"Take Your Time","SAM HUNT",2016
"Trust You","ROB THOMAS",1885
"Cheerleader","OMI",1764
"Ghost Town","ADAM LAMBERT",1688
"Can't Feel My Face","THE WEEKND",1346
"Brother f/Gavin DeGraw","NEEDTOBREATHE",1322
"Girl Crush","LITTLE BIG TOWN",1267
"Go Big Or Go Home","AMERICAN AUTHORS",1208
"Shots","IMAGINE DRAGONS",1192
"Earned It","THE WEEKND",1167
"Like I Can","SAM SMITH",1009
"Dear Future Husband","MEGHAN TRAINOR",1000
"Cecilia And The Satellite","ANDREW MCMAHON IN WILDERNESS",987
"Elastic Heart f/The Weeknd...","SIA",895
"Someone New","HOZIER",809
"Marvin Gaye f/Meghan Trainor","CHARLIE PUTH",779
"Worth It f/Kid Ink","FIFTH HARMONY",706
"Ex's and Oh's","ELLE KING",662
"Beautiful Life","NICK FRADIANI",629
"Renegades","X AMBASSADORS",578
"Whistle (While You Work)","KATY TIZ",560
"Freedom","ALLEN STONE",548
"Believe","MUMFORD & SONS",540
"Like I'm Gonna Lose You","MEGHAN TRAINOR",445
"Mess Is Mine","VANCE JOY",413
"You Know You Like It","DJ SNAKE & ALUNAGEORGE",403
"Hey Mama  f/Nicki Minaj","DAVID GUETTA",369
"Lean On f/MØ & DJ Snake","MAJOR LAZER",347
"Sparks","HILARY DUFF",317
"Couch Potato","JAKUBI",209
"Everything Is Easy","THIRD EYE BLIND",189
"Cool For The Summer","DEMI LOVATO",187
"Pause","PLAIN WHITE T'S",182
"Where Are U Now f/J. Bieber","SKRILLEX & DIPLO",179
"Love 3x","ZZ WARD",178
"In Love With A Boy","KAYA STEWART",175
