"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PINK","Blow Me (One Last Ki...",4856,"-9",5,"-35",34.998,"-0.221",93,"33",1,4893,1105,35.848
2,"+1","MAROON 5","One More Night",4520,"+78",502,"+18",32.656,"+0.620",80,"5",2,4520,752,32.656
3,"-1","FUN.","Some Nights",4518,"+43",262,"+15",31.016,"+0.563",112,"7",2,4518,497,31.016
4,"=","NEON TREES","Everybody Talks",3814,"-46",-161,"-46",25.788,"-0.422",204,"28",1,4580,466,32.967
5,"=","KATY PERRY","Wide Awake",3555,"-43",-223,"-39",26.235,"-0.167",136,"57",1,4614,654,33.813
6,"=","TRAIN","50 Ways To Say Goodb...",3546,"+23",118,"-9",22.146,"+0.319",126,"20",6,3546,401,22.146
7,"=","PHILLIP PHILLIPS","Home",3386,"+41",223,"+16",21.908,"+0.505",122,"15",7,3386,383,21.908
8,"=","TAYLOR SWIFT","We Are Never Ever Ge...",3069,"+19",122,"-4",22.102,"+0.016",53,"6",8,3069,1424,22.102
9,"+1","OWL CITY & CARLY RAE...","Good Time",2999,"+21",241,"-30",20.363,"+0.075",90,"21",9,2999,318,20.363
10,"-1","ELLIE GOULDING","Lights",2947,"-51",-280,"-10",22.486,"-0.186",300,"62",4,3932,480,29.217
11,"=","ALEX CLARE","Too Close",2914,"+53",348,"+33",19.318,"+0.515",128,"12",11,2914,348,19.318
12,"=","MATCHBOX TWENTY","She's So Mean",2513,"-123",-451,"-96",17.933,"-0.777",115,"70",6,3162,820,21.665
13,"=","ONEREPUBLIC","Feel Again",2198,"+12",180,"-23",13.179,"-0.006",43,"48",13,2198,508,13.185
14,"=","ED SHEERAN","The A Team",2118,"-6",17,"-19",15.718,"-0.195",188,"36",13,2125,180,15.913
15,"=","LINKIN PARK","Burn It Down",1385,"-10",144,"-40",6.319,"+0.158",119,"89",15,1395,203,6.319
16,"=","THE SCRIPT","Hall Of Fame f/will....",1360,"+34",170,"+5",5.71,"+0.115",65,"90",16,1360,310,5.71
17,"=","ANDY GRAMMER","Miss Me",1288,"+0",102,"-20",5.576,"-0.048",59,"--",17,1288,237,5.624
18,"=","OF MONSTERS AND MEN","Little Talks",1272,"+5",120,"-6",6.254,"+0.146",91,"60",18,1272,143,6.254
19,"=","IMAGINE DRAGONS","It's Time",969,"+21",125,"+29",3.07,"+0.152",109,"39",19,969,154,3.07
20,"+1","TRISTAN PRETTYMAN","My Oh My",879,"+21",48,"+16",3.282,"+0.151",64,"--",20,879,132,3.282
21,"-1","KELLY CLARKSON","Dark Side",872,"-11",-202,"+32",6.176,"-0.103",131,"144",8,3199,443,19.085
