"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","ADELE","Hello",6977,"-16",-98,"+18",47.435,"-0.148",55,"2",1,7165,3141,48.532
2,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",6476,"+19",117,"-26",44.261,"+0.113",176,"21",2,6476,728,44.599
3,"=","ELLE KING","Ex's and Oh's",6112,"-66",-264,"-8",42.194,"-0.606",194,"31",1,7112,645,45.436
4,"=","SHAWN MENDES","Stitches",6072,"-32",-43,"-61",40.01,"-0.296",122,"32",4,6151,799,40.403
5,"=","TAYLOR SWIFT","Wildest Dreams",5591,"-54",-282,"-22",41.142,"-0.269",114,"46",1,7176,1313,45.645
6,"=","ELLIE GOULDING","On My Mind",4998,"+70",551,"+4",28.562,"+0.408",81,"42",6,4998,643,28.562
7,"=","RACHEL PLATTEN","Stand By You",3835,"+53",382,"+15",22.313,"+0.432",94,"56",7,3835,625,22.313
8,"=","X AMBASSADORS","Renegades",3658,"-43",-215,"+5",23.858,"-0.102",184,"95",1,6751,707,39.317
9,"+1","COLDPLAY","Adventure Of A Lifetime",3315,"+35",393,"-33",19.722,"+0.224",41,"20",9,3315,1659,19.722
10,"-1","R. CITY","Locked Away f/Adam Levine",3212,"-76",-496,"-27",20.114,"-0.633",144,"102",3,6549,885,38.575
11,"=","JUSTIN BIEBER","What Do You Mean?",2634,"-124",-751,"-34",17.543,"-0.547",102,"23",8,3850,644,23.291
12,"=","GWEN STEFANI","Used To Love You",2587,"+21",249,"-16",12.27,"+0.040",53,"57",12,2587,554,12.27
13,"+1","ANDY GRAMMER","Good To Be Alive (Hallelujah)",2427,"+56",186,"+51",12.305,"+0.364",92,"29",13,2427,356,12.305
14,"+1","JESS GLYNNE","Hold My Hand",2377,"+20",170,"-20",13.484,"+0.174",121,"217",14,2377,309,13.484
15,"+1","JAMES BAY","Let It Go",2276,"+11",222,"-23",12.262,"+0.262",81,"87",15,2276,333,12.262
16,"-3","RUDIMENTAL","Lay It All On Me f/Ed Sheeran",2248,"-138",-603,"-89",13.576,"-0.616",79,"120",11,3011,537,18.109
17,"=","DEMI LOVATO","Confident",2019,"+47",269,"+15",11.35,"+0.167",57,"58",17,2019,302,11.35
18,"=","ALESSIA CARA","Here",2006,"+54",348,"+36",10.223,"+0.261",49,"25",18,2006,355,10.223
19,"=","JUSTIN BIEBER","Sorry",1910,"+99",735,"+0",12.014,"+0.452",29,"3",19,1910,735,12.014
20,"=","SELENA GOMEZ","Same Old Love",1885,"+98",414,"+32",9.866,"+0.327",50,"15",19,1885,493,9.866
21,"=","ROB THOMAS","Hold On Forever",1617,"+20",148,"+4",6.889,"+0.090",94,"606",19,1617,229,6.889
22,"=","ADELE","When We Were Young",1385,"+118",826,"+31",11.455,"+0.411",16,"14",22,1385,826,11.455
23,"=","FALL OUT BOY","Irresistible f/Demi Lovato",1147,"+15",72,"+15",6.452,"-0.010",55,"141",22,1147,298,6.462
24,"=","TWENTY ONE PILOTS","Stressed Out",1124,"+94",462,"+52",6.381,"+0.416",23,"10",24,1124,462,6.381
25,"=","CHARLIE PUTH","One Call Away",1030,"+27",176,"+1",3.51,"+0.068",46,"40",25,1030,214,3.51
26,"=","PENTATONIX","Can't  Sleep Love",980,"-8",72,"-24",3.559,"-0.089",85,"211",24,989,140,3.786
27,"=","ONE DIRECTION","Drag Me Down",894,"-24",-338,"+37",7.258,"-0.225",128,"62",16,1941,312,10.965
28,"=","SARA BAREILLES","She Used To Be Mine",773,"-20",-37,"-27",3.11,"-0.064",77,"313",25,813,285,3.355
29,"=","ADAM LAMBERT","Another Lonely Night",750,"+15",99,"+16",2.357,"+0.036",35,"--",27,750,155,2.426
30,"=","HALSEY","New Americana",652,"+12",54,"+8",3.447,"+0.037",67,"118",29,652,97,3.713
31,"=","KELLY CLARKSON","Piece By Piece",528,"+23",86,"+23",1.279,"+0.049",32,"--",31,528,148,1.279
32,"=","ZELLA DAY","Hypnotic",517,"+19",74,"+15",1.118,"+0.025",39,"--",32,517,166,1.118
33,"+1","THE WEEKND","In The Night",464,"+22",157,"-10",2.415,"+0.124",14,"11",33,464,167,2.415
34,"+2","THE BAND PERRY","Live Forever",430,"+11",58,"+0",2.064,"+0.007",19,"--",34,430,119,2.15
35,"=","SIA","Alive",429,"+2",2,"+7",2.022,"+0.045",73,"155",33,439,138,2.022
36,"-3","MICHAEL FRANTI & SPEARHEAD","Once A Day",429,"-29",-120,"-24",1.188,"-0.093",88,"--",29,589,132,1.752
37,"=","A GREAT BIG WORLD","Hold Each Other f/Futuristic",394,"-13",-178,"+9",2.562,"-0.090",141,"797",11,3210,463,15.635
38,"=","THE SCORE","Oh My Love",392,"+7",5,"+1",1.341,"+0.006",36,"--",36,396,139,1.343
39,"+1","DNCE","Cake By The Ocean",353,"+4",52,"-1",1.442,"+0.059",32,"30",39,353,60,1.442
40,"-1","MARIANAS TRENCH","One Love",351,"+1",23,"-12",0.633,"+0.027",25,"--",39,351,92,0.633
41,"=","FOR KING & COUNTRY","Fix My Eyes",342,"+6",24,"+16",0.659,"+0.021",84,"--",36,354,64,0.659
42,"=","ONE DIRECTION","Perfect",331,"+9",127,"-3",2.55,"-0.010",12,"28",42,331,130,2.56
43,"=","DAYA","Hide Away",286,"+4",64,"-5",1.497,"-0.006",26,"35",43,286,69,1.503
44,"=","THE RUA","Fight For What's Right",214,"-16",-51,"-25",0.266,"-0.058",67,"--",42,272,64,0.422
45,"=","COLEMAN HELL","2 Heads",195,"-2",-45,"+9",0.54,"+0.018",43,"203",41,277,77,0.698
46,"=","HALEY REINHART","Can't Help Falling In Love",189,"-3",-22,"+1",1.231,"-0.030",18,"169",46,226,95,1.496
47,"=","COLD WAR KIDS","First",178,"+1",24,"+2",0.733,"-0.030",15,"257",47,206,24,0.763
48,"=","JUSTIN TIMBERLAKE","Drink You Away",178,"+6",14,"+8",0.906,"-0.012",12,"117",48,178,51,0.958
49,"=","THOMAS RHETT","Die A Happy Man",161,"+6",65,"-4",1.118,"+0.027",3,"9",49,161,70,1.118
