"Title","Artist","Spins"
"Stand By You","RACHEL PLATTEN",6279
"Stressed Out","TWENTY ONE PILOTS",6114
"When We Were Young","ADELE",5252
"Sorry","JUSTIN BIEBER",5182
"Stitches","SHAWN MENDES",5165
"On My Mind","ELLIE GOULDING",4585
"Hello","ADELE",4578
"Adventure Of A Lifetime","COLDPLAY",4496
"Same Old Love","SELENA GOMEZ",4467
"Ex's and Oh's","ELLE KING",4314
"Love Yourself","JUSTIN BIEBER",3927
"Let It Go","JAMES BAY",3771
"Out Of The Woods","TAYLOR SWIFT",3691
"One Call Away","CHARLIE PUTH",3427
"Good To Be Alive (Hallelujah)","ANDY GRAMMER",3144
"7 Years","LUKAS GRAHAM",2905
"Here","ALESSIA CARA",2812
"In The Night","THE WEEKND",2498
"Cake By The Ocean","DNCE",2301
"Hide Away","DAYA",1808
"Something In The Way You Move","ELLIE GOULDING",1235
"Electric Love","BORNS",1157
"Oasis","A GREAT BIG WORLD",1038
"Brand New","BEN RECTOR",971
"Perfect","ONE DIRECTION",934
"Irresistible f/Demi Lovato","FALL OUT BOY",932
"America's Sweetheart","ELLE KING",898
"Hypnotic","ZELLA DAY",765
"Die A Happy Man","THOMAS RHETT",675
"Walking On A Dream","EMPIRE OF THE SUN",666
"I Know What You Did Last...","SHAWN MENDES & CAMILA CABELLO",649
"Roses f/Rozes","THE CHAINSMOKERS",619
"Can't Help Falling In Love","HALEY REINHART",588
"One Love","MARIANAS TRENCH",540
"Another Lonely Night","ADAM LAMBERT",537
"Confident","DEMI LOVATO",532
"Fire And The Flood","VANCE JOY",445
"First","COLD WAR KIDS",417
"Lost Boy","RUTH B.",402
"Make Me Like You","GWEN STEFANI",397
"Rise Up","ANDRA DAY",397
"Sugar f/Francesco Yates","ROBIN SCHULZ",375
"Burning House","CAM",343
"S.O.B","NATHANIEL RATELIFF/NIGHTSWEATS",233
"Hollow","TORI KELLY",227
"Hands To Myself","SELENA GOMEZ",222
"Radar","AUDIODAMN!",218
"Catch & Release","MATT SIMONS",210
"My House","FLO RIDA",189
"Over And Over Again f/A.Grande","NATHAN SYKES",176
