"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","FUN. We Are Young f/Janelle Monae",5132,9,140,-13,35.871,0.022,67,"--",1,5132,911,35.901
2,"=","KELLY CLARKSON Stronger (What Doesn't Ki...",4792,-38,-118,-34,34.461,-0.194,121,"--",1,5388,855,37.448
3,"=","TRAIN Drive By",4698,24,191,-3,30.466,0.206,115,"--",2,4698,795,30.466
4,"=","ADELE Rumour Has It",4683,41,309,9,32.074,0.286,180,"--",4,4683,765,32.074
5,"=","GOTYE Somebody That I Used To Know",4437,40,412,-69,30.153,0.506,97,"1",5,4437,658,30.153
6,"=","KATY PERRY Part Of Me",3643,-41,-286,-17,24.836,-0.397,80,"--",4,4132,895,26.693
7,"=","THE WANTED Glad You Came",3342,55,226,30,23.347,0.314,86,"--",7,3342,484,23.347
8,"=","JASON MRAZ I Won't Give Up",3025,-4,64,-14,18.301,0.028,110,"--",8,3029,462,18.301
9,"=","ADELE Set Fire To The Rain",2785,-57,-323,-16,20.913,-0.374,174,"--",1,4955,797,34.937
10,"=","ANDY GRAMMER Fine By Me",2666,5,233,-22,13.689,0,166,"--",10,2666,258,13.689
11,"=","MAROON 5 Payphone f/Wiz Khalifa",2648,52,666,-59,18.114,0.415,17,"--",11,2648,1497,18.114
12,"=","TAYLOR SWIFT Eyes Open",2480,-10,96,-38,14.215,-0.138,39,"--",11,2495,694,14.846
13,"=","JESSIE J Domino",2322,-31,-310,31,15.8,-0.328,145,"--",4,3870,485,23.269
14,"=","JOHN MAYER Shadow Days",1884,-4,128,-27,9.654,0.105,64,"--",13,1888,353,9.654
15,"=","NICKELBACK Lullaby",1726,-21,63,-44,6.793,-0.041,109,"--",14,1747,281,6.834
16,"=","ONE DIRECTION What Makes You Beautiful",1703,40,448,-26,11.366,0.346,46,"--",16,1703,529,11.366
17,"=","MATT NATHANSON Run f/Sugarland",1289,10,44,0,7.211,-0.025,137,"--",16,1289,146,7.236
18,"=","THE SCRIPT If You Ever Come Back",1133,11,121,2,4.135,0.033,86,"--",18,1133,140,4.135
19,"=","NEON TREES Everybody Talks",1103,27,205,-3,4.396,0.123,49,"--",19,1103,261,4.396
20,"=","COLBIE CAILLAT Favorite Song",977,19,86,12,3.521,0.024,52,"--",19,977,220,3.744
21,"=","ERIC HUTCHINSON Watching You Watch Him",855,5,59,4,2.977,0.061,96,"--",21,855,105,2.977
22,"=","CARLY RAE JEPSEN Call Me Maybe",843,34,259,-10,5.54,0.423,30,"--",22,843,298,5.54
23,"=","MAT KEARNEY Ships In The Night",827,18,79,33,3.356,0.171,99,"--",22,827,132,3.356
24,"=","GAVIN DEGRAW Sweeter",747,-1,29,-12,2.22,0.011,48,"--",23,748,159,2.262
25,"=","DEMI LOVATO Give Your Heart A Break",739,11,65,-5,3.585,0.031,82,"--",25,739,106,3.585
26,"=","SELENA GOMEZ & THE SCENE Love You Like A...",728,5,-6,11,6.248,0.086,155,"--",13,1790,320,8.109
27,"=","CALVIN HARRIS Feel So Close",657,2,65,-13,2.942,0.033,54,"--",27,657,131,2.942
28,"=","GRAFFITI6 Free",619,2,34,-14,2.47,0.032,61,"--",28,620,113,2.545
29,"+1","ALL-AMERICAN REJECTS Beekeeper's Daughte...",553,2,56,-4,1.004,0.019,74,"--",29,553,108,1.068
30,"+1","FRAY Run For Your Life",523,3,40,-7,2.118,0.062,47,"--",30,524,144,2.128
31,"-2","OUTASIGHT Tonight Is The Night",522,-56,-323,-41,1.799,-0.155,139,"--",18,958,140,3.089
32,"+1","CARRIE UNDERWOOD Good Girl",508,14,117,1,3.264,0.2,50,"--",32,508,122,3.264
33,"-1","DAVID GUETTA Turn Me On f/Nicki Minaj",500,-8,-15,-10,3.02,-0.063,103,"--",26,539,119,3.126
34,"=","DAUGHTRY Outta My Head",497,11,37,5,1.45,0.037,34,"--",33,497,161,1.45
35,"=","FLO RIDA Wild Ones f/Sia",485,14,44,8,3.131,0.225,30,"--",35,485,156,3.131
36,"=","ED SHEERAN The A Team",453,16,118,-4,2.018,0.064,33,"--",36,453,122,2.018
37,"=","JUSTIN BIEBER Boyfriend",405,0,57,-6,1.305,0.008,27,"--",36,407,120,1.318
38,"=","HALEY REINHART Free",365,11,107,4,0.864,0.056,20,"--",38,365,107,0.864
39,"=","GYM CLASS HEROES Ass Back Home f/Neon Hi...",347,11,24,21,1.934,0.056,34,"--",38,347,65,1.934
40,"=","KRIS ALLEN The Vision Of Love",290,2,41,-8,0.78,0.009,28,"--",40,290,67,0.781
41,"=","NEEDTOBREATHE Keep Your Eyes Open",263,12,42,13,0.353,0.019,47,"--",41,263,52,0.353
42,"+1","NICKI MINAJ Starships",249,13,84,3,0.734,0.055,9,"--",42,249,95,0.734
43,"-1","JUNIOR DOCTOR Uh Oh",245,1,15,2,0.255,0.001,18,"--",42,245,65,0.274
44,"+1","KARMIN Broken Hearted",233,17,55,12,1.046,0.12,11,"--",44,233,60,1.046
45,"-1","ADAM LAMBERT Better Than I Know Myself",218,-7,-190,32,1.269,-0.006,112,"--",17,1240,225,4.962
46,"=","DANIEL POWTER Cupid",199,-2,16,-8,0.797,0.044,12,"--",44,210,60,0.797
47,"=","JON MCLAUGHLIN Summer Is Over f/S. Barei...",196,0,8,2,0.41,0.022,35,"--",46,211,45,0.41
48,"+1","SEETHER Tonight",171,1,15,0,0.275,0.022,9,"--",48,173,22,0.279
49,"+1","ADAM LAMBERT Never Close Our Eyes",162,4,78,-11,1.203,0.009,5,"--",49,162,111,1.203
50,"-2","MIKEY WAX Counting On You",154,-25,-75,-23,0.156,-0.027,66,"--",40,261,56,0.374
