"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","KATY PERRY","Wide Awake",4498,0,216,0,32.804,0,80,"6",1,4498,654,32.804
2,"=","MAROON 5","Payphone f/Wiz Khali...",4380,0,-285,0,32.916,0,116,"25",1,5337,1497,36.256
3,"=","CARLY RAE JEPSEN","Call Me Maybe",4134,0,-261,0,29.827,0,129,"4",2,5022,723,35.369
4,"=","NEON TREES","Everybody Talks",3999,0,135,0,25.653,0,148,"16",4,4015,466,25.653
5,"=","GOTYE","Somebody That I Used...",3618,0,-371,0,28.396,0,196,"22",1,5383,658,36.712
6,"=","PINK","Blow Me (One Last Ki...",3518,0,448,0,26.643,0,37,"13/86",6,3518,1105,26.643
7,"=","ELLIE GOULDING","Lights",3408,0,455,0,24.767,0,244,"12",7,3408,480,24.767
8,"=","KELLY CLARKSON","Dark Side",3098,0,223,0,18.68,0,75,"34",8,3098,443,18.68
9,"=","FUN.","We Are Young f/Janel...",3005,0,-251,0,22.354,0,166,"37",1,5161,911,36.298
10,"=","MATCHBOX TWENTY","She's So Mean",2729,0,21,0,18.368,0,59,"39",10,2740,820,18.368
11,"=","ONE DIRECTION","What Makes You Beaut...",2713,0,-356,0,20.108,0,145,"35",5,4029,529,26.817
12,"=","KARMIN","Broken Hearted",2684,0,-73,0,17.349,0,110,"59",8,2797,464,17.522
13,"=","TRAIN","50 Ways To Say Goodb...",2356,0,108,0,12.275,0,70,"27",13,2356,401,12.289
14,"=","DEMI LOVATO","Give Your Heart A Br...",2346,0,5,0,16.481,0,181,"21",12,2415,313,16.481
15,"=","FUN.","Some Nights",2082,0,326,0,12.346,0,56,"3",15,2082,497,12.346
16,"=","NO DOUBT","Settle Down",1919,0,274,0,12.668,0,25,"64",16,1919,920,12.668
17,"=","ED SHEERAN","The A Team",1565,0,120,0,9.766,0,132,"77",17,1565,180,9.766
18,"=","PHILLIP PHILLIPS","Home",1541,0,308,0,7.753,0,66,"2",18,1541,308,7.753
19,"=","GROUPLOVE","Tongue Tied",1509,0,148,0,7.173,0,90,"47",18,1509,172,7.173
20,"=","RIHANNA","Where Have You Been",1261,0,50,0,6.28,0,91,"32",20,1292,206,6.52
21,"=","OWL CITY & CARLY RAE...","Good Time",1235,0,178,0,7.774,0,34,"9",21,1235,293,7.774
22,"=","MAROON 5","One More Night",1109,0,371,0,6.073,0,24,"5",22,1109,371,6.073
23,"=","ALEX CLARE","Too Close",1050,0,171,0,4.321,0,72,"14",22,1050,176,4.321
24,"=","LINKIN PARK","Burn It Down",741,0,63,0,2.969,0,63,"66",24,741,119,2.986
25,"=","JUNIOR DOCTOR","Uh Oh",701,0,58,0,1.962,0,117,"--",25,701,65,1.991
26,"=","FLO RIDA","Wild Ones f/Sia",650,0,-104,0,3.802,0,129,"44",16,1556,254,8.849
27,"=","CHRISTINA PERRI","Distance",638,0,77,0,3.102,0,36,"--",27,638,135,3.157
28,"=","OF MONSTERS AND MEN","Little Talks",614,0,74,0,2.678,0,35,"31",28,614,143,2.678
29,"=","NICKI MINAJ","Starships",612,0,50,0,6.112,0,108,"63/95",24,858,127,6.112
30,"=","USHER","Scream",599,0,-103,0,3.705,0,92,"29",24,801,134,4.592
31,"=","GYM CLASS HEROES","The Fighter f/Ryan T...",572,0,-29,0,1.707,0,76,"57",27,621,131,2.854
32,"=","ALANIS MORISSETTE","Guardian",563,0,-32,0,1.996,0,89,"--",28,696,189,3.121
33,"=","IMAGINE DRAGONS","It's Time",486,0,102,0,1.049,0,53,"70",33,486,102,1.049
34,"=","DAVID GUETTA","Titanium f/Sia",427,0,87,0,2.33,0,51,"15",34,428,104,2.33
35,"=","ONE DIRECTION","One Thing",405,0,5,0,1.699,0,43,"48",33,438,114,1.747
36,"=","CALVIN HARRIS","Let's Go f/Ne-Yo",403,0,131,0,1.376,0,29,"28",36,403,142,1.376
37,"=","CHER LLOYD","Want U Back",384,0,74,0,1.244,0,21,"10",37,384,119,1.261
38,"=","SNOW PATROL","In The End",380,0,-10,0,0.624,0,50,"--",33,420,84,0.715
39,"=","RYAN STAR","Stay Awhile",357,0,1,0,0.952,0,85,"--",34,400,74,1.326
40,"=","REBECCA FERGUSON","Nothing's Real But L...",338,0,-3,0,0.988,0,62,"--",37,351,77,1.295
41,"=","HEDLEY","Kiss You Inside Out",281,0,43,0,1.205,0,26,"--",41,281,51,1.22
42,"=","THE SCRIPT","Hall Of Fame f/will....",272,0,121,0,0.989,0,9,"--",42,272,121,0.989
43,"=","TRISTAN PRETTYMAN","My Oh My",257,0,132,0,1.145,0,8,"--",43,257,132,1.145
44,"=","FLO RIDA","Whistle",231,0,58,0,1.347,0,13,"1",42,231,70,1.347
45,"=","GREEN RIVER ORDINANC...","Heart Of Me",223,0,12,0,0.275,0,21,"--",42,224,52,0.275
46,"=","GREEN DAY","Oh Love",215,0,31,0,1.749,0,13,"196",45,215,59,1.749
47,"=","MIKE RUOCCO","Too Late",210,0,5,0,0.305,0,29,"--",43,214,33,0.312
48,"=","THE WANTED","Chasing The Sun",205,0,36,0,0.76,0,13,"42",48,205,58,0.76
49,"=","ANDY GRAMMER","Miss Me",180,0,109,0,0.5,0,3,"--",49,180,109,0.5
50,"=","VICCI MARTINEZ","Come Along f/CeeLo G...",168,0,-18,0,0.8,0,28,"--",45,198,80,0.824
