"Title","Artist","Spins"
"Stand By You","RACHEL PLATTEN",6213
"On My Mind","ELLIE GOULDING",5715
"Stressed Out","TWENTY ONE PILOTS",5566
"Stitches","SHAWN MENDES",5418
"Sorry","JUSTIN BIEBER",5210
"Hello","ADELE",4961
"When We Were Young","ADELE",4888
"Adventure Of A Lifetime","COLDPLAY",4785
"Ex's and Oh's","ELLE KING",4556
"Same Old Love","SELENA GOMEZ",4374
"Like I'm Gonna Lose You","MEGHAN TRAINOR",4232
"Out Of The Woods","TAYLOR SWIFT",3561
"Good To Be Alive (Hallelujah)","ANDY GRAMMER",3538
"Let It Go","JAMES BAY",3347
"One Call Away","CHARLIE PUTH",3144
"Love Yourself","JUSTIN BIEBER",3100
"Here","ALESSIA CARA",2783
"In The Night","THE WEEKND",2530
"7 Years","LUKAS GRAHAM",2173
"Cake By The Ocean","DNCE",1958
"Hide Away","DAYA",1660
"Irresistible f/Demi Lovato","FALL OUT BOY",1616
"Perfect","ONE DIRECTION",1184
"Another Lonely Night","ADAM LAMBERT",1051
"Electric Love","BORNS",947
"Oasis","A GREAT BIG WORLD",905
"Brand New","BEN RECTOR",812
"Hypnotic","ZELLA DAY",786
"Confident","DEMI LOVATO",623
"I Know What You Did Last...","SHAWN MENDES & CAMILA CABELLO",585
"Something In The Way You Move","ELLIE GOULDING",578
"One Love","MARIANAS TRENCH",521
"Can't Help Falling In Love","HALEY REINHART",489
"Roses f/Rozes","THE CHAINSMOKERS",477
"Die A Happy Man","THOMAS RHETT",469
"America's Sweetheart","ELLE KING",414
"Walking On A Dream","EMPIRE OF THE SUN",394
"First","COLD WAR KIDS",370
"Used To Love You","GWEN STEFANI",362
"Rise Up","ANDRA DAY",343
"Sugar f/Francesco Yates","ROBIN SCHULZ",325
"Drink You Away","JUSTIN TIMBERLAKE",325
"Burning House","CAM",318
"Lost Boy","RUTH B.",300
"Fire And The Flood","VANCE JOY",278
"Live Forever","THE BAND PERRY",264
"S.O.B","NATHANIEL RATELIFF/NIGHTSWEATS",237
"Radar","AUDIODAMN!",215
"Hollow","TORI KELLY",209
"My House","FLO RIDA",173
