"Title","Artist","Spins"
"Love Yourself","JUSTIN BIEBER",6901
"One Call Away","CHARLIE PUTH",6381
"Stressed Out","TWENTY ONE PILOTS",6050
"7 Years","LUKAS GRAHAM",6009
"Let It Go","JAMES BAY",5372
"Cake By The Ocean","DNCE",5297
"NO","MEGHAN TRAINOR",4378
"Stitches","SHAWN MENDES",4091
"When We Were Young","ADELE",4033
"New Romantics","TAYLOR SWIFT",3388
"Something In The Way You Move","ELLIE GOULDING",3218
"Piece By Piece","KELLY CLARKSON",2915
"Sorry","JUSTIN BIEBER",2726
"America's Sweetheart","ELLE KING",2573
"Make Me Like You","GWEN STEFANI",2337
"Brand New","BEN RECTOR",2068
"Electric Love","BORNS",1841
"I Took A Pill In Ibiza","MIKE POSNER",1837
"Hands To Myself","SELENA GOMEZ",1729
"My House","FLO RIDA",1437
"Hide Away","DAYA",1288
"Lost Boy","RUTH B.",1211
"Die A Happy Man","THOMAS RHETT",1167
"Fire And The Flood","VANCE JOY",1130
"Walking On A Dream","EMPIRE OF THE SUN",1093
"Pillowtalk","ZAYN",1078
"Rise Up","ANDRA DAY",974
"Roses f/Rozes","THE CHAINSMOKERS",812
"Pride","AMERICAN AUTHORS",747
"In The Night","THE WEEKND",667
"Victorious","PANIC! AT THE DISCO",663
"Never Forget You","ZARA LARSSON & MNEK",655
"Unsteady","X AMBASSADORS",642
"Sound Of Your Heart","SHAWN HOOK",619
"First","COLD WAR KIDS",533
"Work From Home","FIFTH HARMONY",448
"Torches","DAUGHTRY",413
"Can't Help Falling In Love","HALEY REINHART",381
"Dangerous Woman","ARIANA GRANDE",362
"Over And Over Again f/A.Grande","NATHAN SYKES",308
"Better Place","RACHEL PLATTEN",232
"Company","JUSTIN BIEBER",223
"Home","BLUE OCTOBER",215
"Work f/Drake","RIHANNA",189
"Vintage","HIGH DIVE HEART",185
"Colors","HALSEY",183
"Spirits","THE STRUMBELLAS",172
"Youth","TROYE SIVAN",158
"Me Myself And I f/Bebe Rexha","G-EAZY",152
"Close f/Tove Lo","NICK JONAS",146
