"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","PASSENGER","Let Her Go",5948,6,136,-17,39.658,0.071,221,"4",1,5948,579,40.437
2,"=","ONEREPUBLIC","Counting Stars",5829,-70,-283,-34,40.6,-0.573,238,"16",1,6255,573,43.972
3,"+1","A GREAT BIG WORLD","Say Something",5265,52,248,5,36.609,0.28,123,"8/80",3,5265,545,36.609
4,"-1","IMAGINE DRAGONS","Demons",5160,-92,-490,-67,34.78,-0.381,160,"23",1,6064,828,42.022
5,"=","AMERICAN AUTHORS","Best Day Of My Life",5091,5,77,-4,33.697,0.128,141,"26",4,5091,590,33.697
6,"+1","ONE DIRECTION","Story Of My Life",4044,83,626,-5,29.054,0.159,72,"19",6,4044,738,29.054
7,"-1","AVICII","Wake Me Up",4044,-48,-463,-2,28.83,-0.433,165,"38",1,6093,885,42.361
8,"=","FRAY","Love Don't Die",3410,-19,72,-34,20.208,-0.3,103,"89",7,3429,512,20.633
9,"=","NEIGHBOURHOOD","Sweater Weather",3313,-17,113,-31,20.908,-0.082,177,"47",9,3330,340,21.229
10,"=","BASTILLE","Pompeii",3288,40,320,-4,22.131,0.365,99,"7",10,3288,327,22.131
11,"=","LORDE","Team",3136,99,454,63,21.238,0.673,64,"12",11,3136,514,21.238
12,"=","DAUGHTRY","Waiting For Superman",2921,17,126,-8,17.419,0.239,126,"85",11,2921,370,17.419
13,"=","PITBULL","Timber f/Ke$ha",2688,56,330,-12,19.535,0.347,81,"11",13,2688,550,19.535
14,"=","COLBIE CAILLAT","Hold On",2625,-3,-40,-14,16.55,0.151,70,"145",13,2665,623,16.55
15,"=","JOHN NEWMAN","Love Me Again",2275,43,324,8,13.195,0.281,129,"41",15,2275,324,13.195
16,"+1","ELLIE GOULDING","Burn",2020,60,591,0,12.283,0.287,53,"27",16,2020,591,12.283
17,"-1","GOO GOO DOLLS","Come To Me",1976,-30,-92,-41,12.978,0,181,"174",16,2073,205,13.292
18,"=","KATY PERRY","Unconditionally",1736,-108,-848,3,12.583,-0.482,103,"61",6,3719,794,26.523
19,"=","CHRISTINA PERRI","Human",1573,20,57,14,7.648,0.158,70,"111",19,1573,237,7.648
20,"=","BRUNO MARS","Young Girls",1406,27,268,-4,7.564,0.168,49,"66",20,1406,286,7.564
21,"+1","KATY PERRY","Dark Horse",1366,93,597,36,11.192,0.933,25,"1",21,1366,597,11.192
22,"-1","MILEY CYRUS","Wrecking Ball",1250,-28,-248,17,9.44,-0.08,135,"54",6,3926,659,28.726
23,"=","LADY GAGA","Do What U Want f/R. Kelly",1248,6,69,-8,6.265,0.057,72,"60",22,1248,194,6.32
24,"=","ZEDD","Stay The Night f/H. Williams",1195,-15,8,-38,8.168,-0.039,81,"68",23,1210,186,8.207
25,"=","EMINEM","The Monster f/Rihanna",1039,8,75,8,8.557,0.091,76,"24/97",25,1039,148,8.557
26,"=","GAVIN DEGRAW","Make A Move",989,-22,-126,-1,3.675,-0.015,89,"--",24,1145,175,4.45
27,"=","JOHN LEGEND","All Of Me",868,52,251,35,4.724,0.372,67,"9",27,868,251,4.724
28,"=","NEON TREES","Sleeping With A Friend",800,45,384,6,2.941,0.167,14,"288",28,800,384,2.941
29,"=","PLAIN WHITE T'S","The Giving Tree",629,-10,0,-21,2.273,-0.056,109,"--",28,646,80,2.576
30,"=","AVICII","Hey Brother",465,4,72,1,1.345,-0.05,44,"28",30,465,129,1.623
31,"+1","THE 1975","Chocolate",449,30,125,15,1.89,0.079,20,"118",31,449,142,1.89
32,"+1","MARY LAMBERT","She Keeps Me Warm",410,20,70,15,1.9,0.044,25,"354",32,410,149,1.9
33,"-2","DRAKE F/MAJID JORDAN","Hold On We're Going Home",400,-22,-162,-7,2.776,-0.258,121,"83",18,1619,219,10.28
34,"=","MAROON 5","Lucky Strike",379,-2,-6,-2,2.788,-0.005,109,"--",32,403,80,3.188
35,"=","ALOE BLACC","The Man",362,14,203,-22,2.089,-0.023,8,"13",35,362,229,2.112
36,"+2","PHARRELL WILLIAMS","Happy",334,52,255,31,2.705,0.391,5,"2",36,334,255,2.705
37,"-1","FITZ & THE TANTRUMS","The Walker",330,12,102,-9,1.771,0.005,13,"109",36,330,142,1.774
38,"-1","MATT NATHANSON","Kinks Shirt",316,9,84,6,0.993,0.008,22,"--",37,316,84,0.993
39,"=","SHAKIRA F/RIHANNA","Can't Remember To Forget You",281,5,91,-12,1.443,0.045,11,"77",39,281,159,1.443
40,"=","IMAGINE DRAGONS","On Top Of The World",281,7,66,-4,2.379,0.081,21,"104",39,281,70,2.379
41,"+1","BEYONCE","XO",261,0,3,1,1.064,-0.025,18,"51",39,261,112,1.155
42,"+1","LEE DEWYZE","Fight",252,1,-6,-2,0.342,-0.006,67,"--",38,263,40,0.441
43,"-2","JAMES BLUNT","Bonfire Heart",238,-31,-189,-8,1.091,-0.108,122,"372",30,516,93,2.205
44,"+1","MILEY CYRUS","Adore You",225,21,90,18,1.086,0.038,7,"18",44,225,90,1.086
45,"-1","CAGE THE ELEPHANT","Come A Little Closer",208,0,43,-11,0.597,-0.001,11,"286",43,208,71,0.598
46,"=","NONONO","Pumpin Blood",163,2,24,2,0.477,0.018,22,"--",46,163,44,0.477
