"Title","Artist","Spins"
"Like I'm Gonna Lose You","MEGHAN TRAINOR",7069
"Hello","ADELE",6785
"Stitches","SHAWN MENDES",6220
"On My Mind","ELLIE GOULDING",5863
"Ex's and Oh's","ELLE KING",5736
"Stand By You","RACHEL PLATTEN",5082
"Wildest Dreams","TAYLOR SWIFT",4747
"Adventure Of A Lifetime","COLDPLAY",4415
"Sorry","JUSTIN BIEBER",3907
"When We Were Young","ADELE",3614
"Used To Love You","GWEN STEFANI",3164
"Renegades","X AMBASSADORS",3147
"Good To Be Alive (Hallelujah)","ANDY GRAMMER",3091
"Same Old Love","SELENA GOMEZ",3081
"Stressed Out","TWENTY ONE PILOTS",3063
"Let It Go","JAMES BAY",2900
"Hold My Hand","JESS GLYNNE",2626
"Confident","DEMI LOVATO",2379
"Here","ALESSIA CARA",2306
"One Call Away","CHARLIE PUTH",1794
"Hold On Forever","ROB THOMAS",1657
"What Do You Mean?","JUSTIN BIEBER",1571
"Out Of The Woods","TAYLOR SWIFT",1517
"In The Night","THE WEEKND",1433
"Irresistible f/Demi Lovato","FALL OUT BOY",1364
"Another Lonely Night","ADAM LAMBERT",1121
"Can't  Sleep Love","PENTATONIX",973
"Love Yourself","JUSTIN BIEBER",872
"Perfect","ONE DIRECTION",784
"Cake By The Ocean","DNCE",732
"New Americana","HALSEY",712
"Hide Away","DAYA",710
"Hypnotic","ZELLA DAY",665
"Piece By Piece","KELLY CLARKSON",638
"Live Forever","THE BAND PERRY",585
"Lay It All On Me f/Ed Sheeran","RUDIMENTAL",512
"Oh My Love","THE SCORE",469
"One Love","MARIANAS TRENCH",442
"Oasis","A GREAT BIG WORLD",401
"Electric Love","BORNS",394
"Fix My Eyes","FOR KING & COUNTRY",339
"Can't Help Falling In Love","HALEY REINHART",332
"7 Years","LUKAS GRAHAM",324
"Drink You Away","JUSTIN TIMBERLAKE",318
"Brand New","BEN RECTOR",293
"I Know What You Did Last...","SHAWN MENDES & CAMILA CABELLO",275
"First","COLD WAR KIDS",233
"Die A Happy Man","THOMAS RHETT",179
"(I Do) Like We Do","HARRY CONNICK, JR.",159
"Burning House","CAM",152
