"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","LUMINEERS","Ho Hey",4551,0,33,0,35.408,0,134,"3",1,4551,586,35.561
2,"=","PHILLIP PHILLIPS","Home",4268,0,-138,0,31.358,0,208,"9",1,4729,490,34.312
3,"=","BRUNO MARS","Locked Out Of Hea...",4113,0,67,0,30.592,0,90,"2",3,4113,735,30.592
4,"=","PINK","Try",3915,0,78,0,32.823,0,72,"14",4,3915,602,32.823
5,"=","MAROON 5","One More Night",3838,0,-192,0,33.598,0,166,"11",1,5047,752,39.595
6,"=","FUN.","Some Nights",3584,0,-242,0,29.417,0,198,"17",1,4967,497,37.711
7,"=","ED SHEERAN","The A Team",2916,0,95,0,25.102,0,274,"21",7,2916,355,25.102
8,"=","OF MONSTERS AND M...","Little Talks",2795,0,24,0,18.636,0,177,"26",8,2796,395,18.763
9,"=","ALEX CLARE","Too Close",2675,0,-242,0,20.886,0,214,"44",4,4216,461,28.264
10,"=","ONEREPUBLIC","Feel Again",2630,0,-171,0,17.469,0,129,"66",7,2843,508,19.177
11,"=","IMAGINE DRAGONS","It's Time",2616,0,85,0,17.564,0,195,"19",11,2616,236,17.596
12,"=","MUMFORD & SONS","I Will Wait",2423,0,92,0,17.473,0,108,"51",12,2423,272,17.473
13,"=","KELLY CLARKSON","Catch My Breath",2402,0,-34,0,18.252,0,77,"27",12,2449,561,19.028
14,"=","TAYLOR SWIFT","I Knew You Were T...",2118,0,160,0,16.369,0,40,"1",14,2118,617,16.397
15,"=","RIHANNA","Diamonds",1723,0,26,0,12.237,0,94,"8",15,1726,327,12.331
16,"=","HUNTER HAYES","Wanted",1594,0,85,0,10.675,0,66,"25",16,1594,264,10.675
17,"=","MAROON 5","Daylight",1470,0,127,0,11.306,0,46,"33",17,1470,417,11.306
18,"=","MATCHBOX TWENTY","Overjoyed",1297,0,101,0,7.948,0,66,"--",18,1297,241,7.948
19,"=","THE SCRIPT","Hall Of Fame f/wi...",1239,0,-160,0,9.95,0,151,"24",13,2078,310,12.161
20,"=","MUSE","Madness",1199,0,-11,0,6.357,0,64,"107",20,1221,245,6.371
21,"=","ANDY GRAMMER","Miss Me",1198,0,-186,0,5.447,0,145,"--",15,1658,237,8.698
22,"=","TAYLOR SWIFT","We Are Never Ever...",1025,0,-184,0,7.124,0,139,"15",7,3730,1424,26.849
23,"=","NE-YO","Let Me Love You",1000,0,29,0,5.968,0,57,"41",23,1000,211,5.968
24,"=","TRAIN","Mermaid",953,0,203,0,6.275,0,29,"--",24,953,307,6.275
25,"=","NEON TREES","Lessons In Love (...",872,0,69,0,3.305,0,62,"--",25,872,151,3.305
26,"=","LIFEHOUSE F/N. BE...","Between The Raind...",825,0,-48,0,2.485,0,99,"276",24,877,196,2.817
27,"=","KE$HA","Die Young",813,0,-126,0,5.677,0,91,"10",14,2169,410,13.863
28,"=","ADELE","Skyfall",709,0,-217,0,5.419,0,87,"40",14,2103,849,16.021
29,"=","JASON MRAZ","93 Million Miles",702,0,19,0,3.56,0,76,"--",29,702,96,3.56
30,"=","GAVIN DEGRAW","Soldier",696,0,-11,0,2.318,0,95,"--",28,720,113,2.867
31,"=","ALICIA KEYS","Girl On Fire",598,0,127,0,4.49,0,32,"22/58",31,598,184,4.49
32,"=","GRACE POTTER & TH...","Stars",518,0,8,0,2.8,0,96,"--",31,518,75,2.878
33,"=","VICCI MARTINEZ","Come Along f/CeeL...",492,0,1,0,2.162,0,85,"--",33,496,96,2.162
34,"=","CHRIS BROWN","Don't Wake Me Up",445,0,-64,0,2.583,0,103,"62",30,579,91,3.847
35,"=","PASSION PIT","Take A Walk",432,0,28,0,1.727,0,49,"209",35,432,77,1.727
36,"=","CARRIE UNDERWOOD","Blown Away",380,0,-45,0,1.747,0,92,"32",33,480,71,2.444
37,"=","FLO RIDA","I Cry",324,0,-3,0,1.452,0,43,"12",37,327,89,1.548
38,"=","C. AGUILERA & B. ...","Just A Fool",308,0,7,0,2.171,0,26,"--",38,308,91,2.177
39,"=","SWEDISH HOUSE MAF...","Don't You Worry C...",291,0,61,0,1.237,0,19,"13",39,291,84,1.237
40,"=","JUSTIN BIEBER","Beauty And A Beat...",266,0,9,0,0.947,0,27,"7",39,266,81,0.947
41,"=","DAVID GUETTA","Titanium f/Sia",220,0,-40,0,2.036,0,193,"34",21,877,194,4.358
42,"=","OWL CITY","Shooting Star",211,0,53,0,0.37,0,17,"--",42,211,54,0.37
43,"=","FUN.","Carry On",189,0,38,0,1.303,0,15,"218",43,189,50,1.303
44,"=","ALL-AMERICAN REJE...","Heartbeat Slowing...",159,0,-12,0,0.186,0,38,"--",42,178,68,0.389
45,"=","ELLIE GOULDING","Anything Could Ha...",150,0,4,0,1.445,0,52,"48",45,151,12,1.468
46,"=","PITBULL","Don't Stop The Pa...",134,0,37,0,0.566,0,4,"18",46,134,37,0.566
47,"=","CHRIS WALLACE","Remember When (Pu...",134,0,-20,0,0.339,0,43,"225",44,160,49,0.492
48,"=","CALVIN HARRIS","Sweet Nothing f/F...",129,0,28,0,1.021,0,3,"37",48,129,28,1.038
49,"=","CARO EMERALD","Back It Up",128,0,19,0,0.464,0,7,"--",48,128,35,0.502
50,"=","SEETHER","Here And Now",120,0,1,0,0.96,0,28,"--",47,121,23,1.23
