"Title","Artist","Spins"
"7 Years","LUKAS GRAHAM",6899
"Cake By The Ocean","DNCE",6264
"Love Yourself","JUSTIN BIEBER",6082
"One Call Away","CHARLIE PUTH",5713
"Stressed Out","TWENTY ONE PILOTS",5206
"NO","MEGHAN TRAINOR",4573
"Piece By Piece","KELLY CLARKSON",4395
"Something In The Way You Move","ELLIE GOULDING",3959
"Let It Go","JAMES BAY",3926
"Just Like Fire","PINK",3882
"I Took A Pill In Ibiza","MIKE POSNER",3397
"Brand New","BEN RECTOR",2820
"Hands To Myself","SELENA GOMEZ",2734
"Pillowtalk","ZAYN",2497
"Lost Boy","RUTH B.",2490
"My House","FLO RIDA",2431
"Never Forget You","ZARA LARSSON & MNEK",1714
"So Alive","GOO GOO DOLLS",1652
"Can't Stop The Feeling","JUSTIN TIMBERLAKE",1599
"Unsteady","X AMBASSADORS",1423
"Better Place","RACHEL PLATTEN",1335
"First","COLD WAR KIDS",1129
"Work From Home","FIFTH HARMONY",1094
"New Romantics","TAYLOR SWIFT",1015
"America's Sweetheart","ELLE KING",972
"Send My Love (To Your New...","ADELE",889
"Fire And The Flood","VANCE JOY",844
"Dangerous Woman","ARIANA GRANDE",748
"Rise Up","ANDRA DAY",733
"Sound Of Your Heart","SHAWN HOOK",730
"Ride","TWENTY ONE PILOTS",714
"Hide Away","DAYA",651
"Spirits","THE STRUMBELLAS",640
"Get You Home","NICK FRADIANI",521
"Make Me Like You","GWEN STEFANI",499
"Hell No","INGRID MICHAELSON",473
"Roses f/Rozes","THE CHAINSMOKERS",449
"Victorious","PANIC! AT THE DISCO",420
"If It Ain't Love","JASON DERULO",397
"Cheap Thrills","SIA",394
"Home","BLUE OCTOBER",378
"If I Ever Fall In..f/J. Derulo","PENTATONIX",376
"Pride","AMERICAN AUTHORS",353
"Hymn For The Weekend","COLDPLAY",343
"Close f/Tove Lo","NICK JONAS",313
"Lay You Down Easy f/Sean Paul","MAGIC!",299
"Singing In The Rain","SIMPLE PLAN",273
"The Sound Of Silence","DISTURBED",267
"Don't Let Me Down f/Daya","THE CHAINSMOKERS",260
"The Story Of Tonight","WE THE KINGS",236
