"Title","Artist","Spins"
"Cake By The Ocean","DNCE",6526
"7 Years","LUKAS GRAHAM",6131
"Love Yourself","JUSTIN BIEBER",5473
"Can't Stop The Feeling","JUSTIN TIMBERLAKE",4932
"Just Like Fire","PINK",4897
"One Call Away","CHARLIE PUTH",4646
"Piece By Piece","KELLY CLARKSON",4595
"Stressed Out","TWENTY ONE PILOTS",4286
"Something In The Way You Move","ELLIE GOULDING",4217
"I Took A Pill In Ibiza","MIKE POSNER",3842
"Brand New","BEN RECTOR",3161
"Lost Boy","RUTH B.",3096
"Pillowtalk","ZAYN",2991
"My House","FLO RIDA",2482
"Hands To Myself","SELENA GOMEZ",2326
"Wherever I Go","ONEREPUBLIC",2181
"Send My Love (To Your New...","ADELE",2084
"So Alive","GOO GOO DOLLS",2047
"Never Forget You","ZARA LARSSON & MNEK",2019
"Unsteady","X AMBASSADORS",1919
"NO","MEGHAN TRAINOR",1652
"Better Place","RACHEL PLATTEN",1465
"First","COLD WAR KIDS",1369
"Ride","TWENTY ONE PILOTS",1341
"Work From Home","FIFTH HARMONY",1319
"Hell No","INGRID MICHAELSON",935
"Dangerous Woman","ARIANA GRANDE",861
"Spirits","THE STRUMBELLAS",836
"Sound Of Your Heart","SHAWN HOOK",771
"Me Too","MEGHAN TRAINOR",667
"Hymn For The Weekend","COLDPLAY",618
"Don't Let Me Down f/Daya","THE CHAINSMOKERS",600
"Cheap Thrills","SIA",561
"Get You Home","NICK FRADIANI",479
"What We Live For","AMERICAN AUTHORS",468
"Home","BLUE OCTOBER",423
"Singing In The Rain","SIMPLE PLAN",400
"If I Ever Fall In..f/J. Derulo","PENTATONIX",375
"America's Sweetheart","ELLE KING",355
"New Romantics","TAYLOR SWIFT",349
"Lay You Down Easy f/Sean Paul","MAGIC!",345
"Wild Things","ALESSIA CARA",337
"This Is What You... f/Rihanna","CALVIN HARRIS",284
"The Sound Of Silence","DISTURBED",259
"One Dance f/Wizkid & Kyla","DRAKE",257
"If It Ain't Love","JASON DERULO",244
"Close f/Tove Lo","NICK JONAS",231
"The Story Of Tonight","WE THE KINGS",192
"Don't Call Me When It's Over","AUDIODAMN!",175
"I Hate U, I Love U","GNASH F/OLIVIA O'BRIEN",149
