"Title","Artist","Spins"
"Maps","MAROON 5",6538
"Stay With Me","SAM SMITH",6125
"Rude","MAGIC!",5603
"Love Runs Out","ONEREPUBLIC",5368
"A Sky Full Of Stars","COLDPLAY",5347
"Shake It Off","TAYLOR SWIFT",4975
"Am I Wrong","NICO & VINZ",4547
"All About That Bass","MEGHAN TRAINOR",4111
"Angel In Blue Jeans","TRAIN",3905
"Girls Chase Boys","INGRID MICHAELSON",3895
"Boom Clap","CHARLI XCX",3378
"Cool Kids","ECHOSMITH",3298
"Latch f/Sam Smith","DISCLOSURE",3239
"Believer","AMERICAN AUTHORS",2892
"Don't","ED SHEERAN",2575
"Secrets","MARY LAMBERT",2418
"Superheroes","THE SCRIPT",2053
"Problem f/Iggy Azalea","ARIANA GRANDE",1914
"Chandelier","SIA",1908
"Try","COLBIE CAILLAT",1795
"Rather Be f/Jess Glynne","CLEAN BANDIT",1599
"Back Home","ANDY GRAMMER",1170
"Bang Bang","JESSIE J/A. GRANDE/N. MINAJ",1166
"Come With Me Now","KONGOS",1035
"Battleships","DAUGHTRY",1016
"Really Don't Care f/Cher Lloyd","DEMI LOVATO",981
"Bailando f/D.Bueno/S.Paul/GDZ","ENRIQUE IGLESIAS",938
"Classic","MKTO",900
"This Is How We Do","KATY PERRY",879
"Be Okay","OH HONEY",776
"Summer","CALVIN HARRIS",766
"Burning Gold","CHRISTINA PERRI",736
"Ugly Heart","G.R.L.",683
"Headphones f/LOLO","MATT NATHANSON",594
"This Is How We Roll f/J.Derulo","FLORIDA-GEORGIA LINE",560
"Unpack Your Heart","PHILLIP PHILLIPS",544
"Break Free f/Zedd","ARIANA GRANDE",533
"Fire","GAVIN DEGRAW",479
"Habits (Stay High)","TOVE LO",431
"Fancy f/Charli XCX","IGGY AZALEA",422
"Riptide","VANCE JOY",366
"Stolen Dance","MILKY CHANCE",364
"Love Someone","JASON MRAZ",333
"Ghost","ELLA HENDERSON",288
"Scarecrow","ALEX & SIERRA",270
"Shatter Me f/Lzzy Hale","LINDSEY STIRLING",255
"Amnesia","5 SECONDS OF SUMMER",246
"Only Love Can Hurt Like This","PALOMA FAITH",195
"Black Widow f/Rita Ora","IGGY AZALEA",187
"When We Come Alive","SWITCHFOOT",184
