"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",5066,23,107,6,27.519,0.077,97,"5",1,5066,599,27.519
2,"=","ADELE Someone Like You",5038,49,324,12,27.141,0.305,83,"1",2,5038,683,27.141
3,"=","HOT CHELLE RAE Tonight Tonight",4267,-36,-210,-29,21.82,0.014,139,"30",2,4609,408,25.013
4,"=","FOSTER THE PEOPLE Pumped Up Kicks",3794,28,143,2,19.19,0.213,108,"3",4,3794,385,19.19
5,"=","ONEREPUBLIC Good Life",3708,-17,-141,10,21.015,-0.191,150,"37",1,4888,408,25.509
6,"+1","THE SCRIPT Nothing",3347,7,200,-44,14.126,-0.009,86,"36",6,3347,439,14.135
7,"-1","KATY PERRY Last Friday Night (T.G.I.F.)",3292,-68,-427,-23,16.749,-0.263,118,"44",1,4794,785,25.04
8,"=","KELLY CLARKSON Mr. Know It All",3212,52,349,-8,17.044,0.233,37,"26",8,3212,947,17.044
9,"=","THE BAND PERRY If I Die Young",2739,-22,-134,10,13.921,0.071,133,"35",3,3975,496,19.165
10,"=","LADY GAGA You And I",2723,62,314,28,13.767,0.298,53,"9",10,2723,543,13.767
11,"=","COLBIE CAILLAT Brighter Than The Sun",2669,14,311,-46,14.904,0.12,103,"74",11,2669,357,14.904
12,"=","GAVIN DEGRAW Not Over You",2249,42,208,9,9.752,0.174,116,"50",12,2249,348,9.752
13,"=","MATT NATHANSON Faster",2157,-9,26,-25,9.054,-0.01,150,"110",12,2166,181,9.125
14,"=","LADY ANTEBELLUM Just A Kiss",1864,50,244,23,8.825,0.468,81,"29",14,1864,252,8.825
15,"+1","DAUGHTRY Crawling Back To You",1810,64,737,-80,8.845,0.302,17,"20",15,1810,901,8.845
16,"-1","LMFAO Party Rock Anthem",1785,14,114,-2,9.844,0.088,106,"10",14,1785,181,9.844
17,"=","LADY GAGA The Edge Of Glory",1539,-41,-349,2,10.931,-0.146,142,"63",2,4442,631,24.134
18,"=","MAT KEARNEY Hey Mama",1378,-5,89,-18,4.454,-0.088,150,"309",18,1383,111,4.542
19,"+1","NICKELBACK When We Stand Together",1359,57,560,-37,6.441,0.362,14,"73",19,1359,725,6.441
20,"-1","COLDPLAY Every Teardrop Is A Waterfall",1239,-65,-442,14,5.1,-0.131,122,"177",7,2952,560,12.98
21,"=","RED HOT CHILI PEPPERS Adventures Of Rain...",1208,12,86,-2,3.849,-0.023,70,"93",21,1208,222,4.108
22,"=","MICHELLE BRANCH Loud Music",1152,-37,-107,-32,3.28,-0.097,104,"--",18,1314,154,3.734
23,"=","BRITNEY SPEARS I Wanna Go",1071,-8,-76,6,4.525,-0.097,87,"54",20,1242,228,6.438
24,"=","PITBULL Give Me Everything f/Ne-Yo",1065,2,-43,4,5.613,0.036,119,"38",17,1414,229,7.639
25,"=","O.A.R. Heaven",940,10,40,13,3.707,0.116,96,"--",23,940,110,3.793
26,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",928,23,142,7,4.564,0.096,62,"11",24,928,142,4.564
27,"=","PARACHUTE Kiss Me Slowly",728,16,73,3,1.996,0.097,43,"566",26,728,165,1.996
28,"=","SIMPLE PLAN Jet Lag f/Natasha Bedingfiel...",700,10,47,1,1.573,0.019,47,"--",26,700,118,1.623
29,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",638,10,78,-10,2.882,0.054,44,"6",29,638,166,2.882
30,"=","DEMI LOVATO Skyscraper",542,22,106,16,1.208,0.051,62,"53",30,542,106,1.208
31,"=","MARTIN SOLVEIG & DRAGONETTE Hello",498,-1,-3,8,2.668,0.016,50,"78",28,516,144,2.817
32,"=","THEORY OF A DEADMAN Out Of My Head",496,9,51,-3,0.64,0.011,42,"--",31,496,108,0.759
33,"=","DURAN DURAN Leave A Light On",486,9,55,-7,1.046,0.044,23,"--",32,486,232,1.046
34,"=","ELLIE GOULDING Lights",432,11,68,10,0.764,0.043,24,"132",34,432,180,0.764
35,"=","RIHANNA Cheers (Drink To That)",377,-8,-53,5,1.378,-0.006,50,"12",31,445,82,1.738
36,"=","NICKI MINAJ Super Bass",375,-4,-20,-3,1.338,-0.008,74,"23",33,409,91,1.366
37,"=","RACHEL PLATTEN 1000 Ships",373,2,29,-7,0.617,-0.009,73,"--",37,378,63,0.641
38,"=","DAVID GUETTA Without You f/Usher",363,17,133,5,1.578,0.09,15,"7",38,363,133,1.578
39,"+4","BRUNO MARS It Will Rain",340,30,217,-3,1.578,0.089,7,"64",39,340,239,1.578
40,"=","SARA BAREILLES Gonna Get Over You",337,16,104,0,0.625,0.038,11,"881",40,337,183,0.625
41,"=","THE CAB Bad",326,5,30,-8,0.406,0.008,53,"--",39,326,61,0.406
42,"-3","JESSIE J Price Tag f/B.O.B",324,-7,-64,-9,2.132,-0.063,150,"230",18,1280,162,6.478
43,"-1","CAROLINA LIAR Drown",319,-2,-19,3,0.363,-0.014,65,"--",36,357,84,0.478
44,"+1","KID ROCK Care f/Martina Mcbride",288,7,47,-1,0.767,-0.006,16,"--",44,288,111,0.827
45,"-1","GOO GOO DOLLS All That You Are",278,-9,-176,18,1.988,0.011,115,"539",15,1621,250,7.234
46,"+1","COLDPLAY Paradise",260,32,181,19,1.215,0.063,5,"62",46,260,181,1.215
47,"-1","SNOW PATROL Called Out In The Dark",255,7,33,-4,0.245,-0.005,21,"535",44,255,68,0.276
48,"=","BAD MEETS EVIL Lighters f/Bruno Mars",219,0,-28,-1,0.781,-0.028,34,"32",42,247,61,0.945
49,"=","JERAD FINCK Runaway",191,-1,13,1,0.149,-0.005,72,"--",44,194,28,0.164
50,"=","DEV In The Dark",152,3,12,4,0.361,0.009,19,"15",48,152,36,0.374
