"Title","Artist","Spins"
"Sugar","MAROON 5",6880
"Style","TAYLOR SWIFT",6707
"Love Me Like You Do","ELLIE GOULDING",6529
"Shut Up And Dance","WALK THE MOON",6052
"Uptown Funk f/Bruno Mars","MARK RONSON",5707
"Thinking Out Loud","ED SHEERAN",5571
"Heartbeat Song","KELLY CLARKSON",4802
"I Bet My Life","IMAGINE DRAGONS",4278
"Honey, I'm Good","ANDY GRAMMER",3948
"Budapest","GEORGE EZRA",3463
"Lay Me Down","SAM SMITH",2786
"Night Changes","ONE DIRECTION",2722
"Fight Song","RACHEL PLATTEN",2614
"Earned It","THE WEEKND",2477
"Nothing Without Love","NATE RUESS",2454
"Bright","ECHOSMITH",2327
"Want To Want Me","JASON DERULO",2003
"Believe","MUMFORD & SONS",1940
"FourFiveSeconds","RIHANNA/KANYE WEST/P MCCARTNEY",1779
"Dear Future Husband","MEGHAN TRAINOR",1775
"High","YOUNG RISING SONS",1231
"One Last Time","ARIANA GRANDE",1215
"Talking Body","TOVE LO",1178
"Overload","LIFE OF DILLON",1081
"Hold Back The River","JAMES BAY",1066
"Time Of Our Lives f/Ne-Yo","PITBULL",759
"Chains","NICK JONAS",693
"Beggin For Thread","BANKS",680
"Somebody f/Jeremih","NATALIE LA ROSE",673
"Hurricane","LIFEHOUSE",647
"Wrong Club","THE TING TINGS",602
"Nobody Love","TORI KELLY",568
"Prayer In C","LILLYWOOD & ROBIN SCHULZ",558
"Billion","MAT KEARNEY",507
"You Ruin Me","VERONICAS",463
"First Kiss","KID ROCK",456
"I Want You To Know f/S. Gomez","ZEDD",445
"Whistle (While You Work)","KATY TIZ",436
"Take Your Time","SAM HUNT",420
"Brother f/Gavin DeGraw","NEEDTOBREATHE",369
"Ghosttown","MADONNA",365
"See You Again f/Charlie Puth","WIZ KHALIFA",354
"Sun Daze","FLORIDA-GEORGIA LINE",308
"Elastic Heart f/The Weeknd...","SIA",306
"Uma Thurman","FALL OUT BOY",300
"Tears Fall","JACQUIE LEE",253
"I Think I'm In Love","KAT DAHLIA",217
"GDFR f/Sage The Gemini","FLO RIDA",204
"Ghost Town","ADAM LAMBERT",194
"Can It Be You?","NORTH OF NINE",187
