"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","RIHANNA We Found Love f/Calvin Harris",5893,20,146,-55,35.674,0.109,64,"3",1,5893,839,35.674
2,"=","DRAKE Headlines",5655,25,165,66,40.36,0.169,116,"29",1,5872,689,40.36
3,"=","JAY Z & KANYE WEST N***** In Paris",5576,13,158,-29,36.74,-0.017,87,"9",2,5576,668,36.757
4,"=","J. COLE Workout",5484,34,228,-16,35.519,0.562,129,"24",3,5484,777,35.519
5,"=","LMFAO Sexy And I Know It",4809,12,115,-40,27.434,0.128,75,"2",5,4815,738,27.923
6,"=","T-PAIN 5 O'clock f/Wiz Khalifa",4607,21,194,-35,26.812,0.054,69,"10",6,4607,700,26.812
7,"=","DAVID GUETTA Without You f/Usher",4091,-1,87,-50,20.638,0.001,87,"11",7,4099,544,20.638
8,"=","LIL WAYNE She Will f/Drake",4005,-78,-487,-7,27.522,-0.372,105,"83",2,5364,679,33.166
9,"=","BIG SEAN Dance (A$$)",3249,78,282,44,20.534,0.668,53,"27",9,3249,605,20.534
10,"=","FLO RIDA Good Feeling",3023,39,379,-53,16.902,0.313,64,"4",10,3023,533,16.902
11,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",2898,-17,-266,49,18.79,-0.037,111,"14",9,3271,373,21.12
12,"=","DRAKE Make Me Proud f/Nicki Minaj",2787,28,296,-27,17.854,0.302,38,"--",12,2787,605,17.854
13,"=","DEV In The Dark",2183,-28,-117,78,13.488,-0.193,186,"63",3,4584,573,26.046
14,"=","NICKI MINAJ Fly f/Rihanna",2118,-10,-126,90,10.852,0.118,98,"42",7,3598,526,17.841
15,"=","BRUNO MARS It Will Rain",2040,34,249,-1,10.687,0.232,50,"1",15,2040,353,10.687
16,"+1","BEYONCE Party f/Kanye & Andre",1993,28,198,-35,11.844,-0.181,57,"258",16,1993,395,13.046
17,"-1","MAROON 5 F/CHRISTINA AGUILERA Moves Like...",1975,-21,-175,6,13.747,-0.156,80,"5",12,2915,617,17.54
18,"=","JASON DERULO It Girl",1951,4,-56,16,9.609,-0.004,100,"39",16,2019,232,10.389
19,"=","ACE HOOD Body 2 Body f/Chris Brown",1840,-67,-221,-51,9.348,-0.406,109,"--",15,2146,251,12.948
20,"+1","RIHANNA You Da One",1807,66,531,-57,9.546,0.205,17,"--",20,1807,886,9.546
21,"-1","WALE That Way f/Jeremih & Rick Ross",1746,-35,-291,-33,12.661,-0.063,120,"--",16,2091,296,13.118
22,"=","B.O.B Strange Clouds f/Lil Wayne",1534,48,265,16,9.51,0.671,38,"71",22,1534,334,9.51
23,"=","ADELE Someone Like You",1453,-10,36,-16,11.149,-0.16,61,"7",21,1463,354,12.408
24,"=","BIG SEAN Marvin & Chardonnay",1425,2,-3,39,9.087,-0.256,134,"147",6,3620,589,19.661
25,"=","WALE Lotus Flower Bomb f/Miguel",1414,52,289,4,8.947,0.274,24,"--",25,1414,382,8.947
26,"=","PITBULL F/CHRIS BROWN International Love",1317,10,126,-4,5.404,-0.073,45,"62",25,1317,314,5.477
27,"=","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",1195,41,321,-11,7.485,0.317,24,"--",27,1195,332,7.485
28,"=","ROSCOE DASH Good Good Night",1154,22,80,15,5.357,0.2,38,"144",27,1154,223,5.357
29,"=","RICK ROSS You The Boss f/Nicki Minaj",1141,34,181,16,6.249,0.262,38,"169",29,1141,181,6.249
30,"=","COBRA STARSHIP You Make Me Feel... f/Sab...",1054,-8,-60,-3,8.332,-0.045,100,"23",19,1711,336,11.123
31,"=","BEYONCE Countdown",1015,-28,-187,13,4.58,-0.016,52,"92",23,1305,349,5.701
32,"+1","LIL WAYNE Mirror f/Bruno Mars",955,26,154,6,3.683,0.105,26,"222",32,955,323,3.683
33,"-1","BEI MAEJOR Trouble f/J. Cole",945,2,115,-23,3.416,0.04,66,"209",32,945,173,3.416
34,"=","DRAKE The Motto f/Lil Wayne",825,30,182,15,7.018,0.276,19,"15",34,825,266,7.018
35,"=","TIMBALAND Pass At Me f/Pitbull",772,9,63,-8,3.509,0.077,29,"259",34,772,162,3.509
36,"+1","KATY PERRY The One That Got Away",707,12,56,-9,4.708,-0.005,31,"6",36,707,144,4.828
37,"-1","TYGA Still Got It f/Drake",707,-4,31,-10,4.297,-0.071,18,"--",35,711,282,4.368
38,"=","J. COLE Can't Get Enough f/Trey Songz",631,28,215,18,5.254,0.242,10,"--",38,631,215,5.254
39,"=","CHRIS BROWN Wet The Bed",546,-4,-86,13,3.417,-0.161,93,"413",28,974,139,6.89
40,"=","TYGA Rack City",530,37,234,15,4.744,0.064,10,"66",40,530,234,4.744
41,"+1","MEEK MILL Ima Boss f/Rick Ross",476,-13,-33,-13,6.184,-0.117,94,"428",39,600,75,7.91
42,"-1","FUTURE Tony Montana",466,-24,-64,-23,2.731,-0.202,33,"--",39,538,90,4.444
43,"=","TAIO CRUZ Hangover f/Flo Rida",425,4,7,9,1.299,0.011,18,"308",43,427,109,1.605
44,"=","RED CAFE Fly Together f/Rick Ross",355,-10,-78,-11,3.976,-0.054,31,"560",42,487,103,5.961
45,"+1","LOVERANCE Up! f/IAMSU! & Skipper",337,15,-8,41,2.756,0.161,23,"--",45,455,114,3.691
46,"-1","WAKA FLOCKA FLAME Round Of Applause f/Dr...",327,-1,44,-5,2.744,0.072,10,"280",45,328,51,2.744
47,"=","MEEK MILL House Party f/Young Chris",250,-2,46,-13,3.643,0.071,6,"780",47,252,88,3.643
48,"+1","SELENA GOMEZ & THE SCENE Love You Like A...",246,9,59,4,2.324,0.071,3,"48",48,246,59,2.324
49,"-1","ROYALTY Brown Eyed Girl f/Carlitos",238,-2,13,-1,1.244,-0.027,10,"--",48,240,14,1.271
50,"=","CHRIS BROWN Strip f/Kevin McCall",236,8,48,6,3.145,-0.027,3,"79",50,236,48,3.232
