"Title","Artist","Spins"
"Hotline Bling","DRAKE",7539
"The Hills","THE WEEKND",6805
"679 f/Remy Boyz...","FETTY WAP",6321
"Downtown","MACKLEMORE & RYAN LEWIS",4545
"What Do You Mean?","JUSTIN BIEBER",4137
"Good For You f/A$AP Rocky","SELENA GOMEZ",3323
"Here","ALESSIA CARA",3317
"Nothing But Trouble","LIL WAYNE & CHARLIE PUTH",3245
"The Fix f/Jeremih","NELLY",3202
"White Iverson","POST MALONE",3014
"All Eyes On You f/Minaj/Brown","MEEK MILL",2998
"Comfortable","K CAMP",2997
"Can't Feel My Face","THE WEEKND",2899
"Locked Away f/Adam Levine","R. CITY",2856
"My Way f/Monty","FETTY WAP",2776
"Planes f/J. Cole","JEREMIH",2183
"Where Ya At f/Drake","FUTURE",2149
"About You","TREY SONGZ",2101
"Zero","CHRIS BROWN",1940
"Back Up f/Big Sean","DEJ LOAF",1471
"Hit The Quan","IHEARTMEMPHIS",1461
"Liquor","CHRIS BROWN",1380
"No Role Modelz","J. COLE",1371
"Play No Games","BIG SEAN",1300
"Wildest Dreams","TAYLOR SWIFT",1243
"Blase f/Future & Rae Sremmurd","TY DOLLA $IGN",1240
"Antidote","TRAVI$ SCOTT",1142
"Get Home f/Kid Ink & Migos","JR CASTRO",1034
"How Deep Is Your Love","CALVIN HARRIS + DISCIPLES",974
"Twist My Fingaz","YG",933
"Come Get Her","RAE SREMMURD",897
"Player f/Chris Brown","TINASHE",807
"No Doubt About It","EMPIRE CAST",773
"Levels","NICK JONAS",759
"I'm Up f/Kid Ink","OMARION",749
"Again","FETTY WAP",732
"On My Mind","ELLIE GOULDING",657
"Same Old Love","SELENA GOMEZ",575
"Runnin (Lose It All) f/Beyonce","NAUGHTY BOY",561
"El Perdon","NICKY JAM",557
"$ave Dat Money","LIL DICKY",540
"Stitches","SHAWN MENDES",524
"Dessert","DAWIN",511
"Growing Up f/Ed Sheeran","MACKLEMORE & RYAN LEWIS",506
"Like I'm Gonna Lose You","MEGHAN TRAINOR",494
"Back To Back","DRAKE",489
"Bring It Back f/Aleon Craft","SHY CARTER",446
"Powerful f/Ellie Goulding","MAJOR LAZER",434
"Energy","DRAKE",432
"Say It","TORY LANEZ",417
