"Title","Artist","Spins"
"Love Me Harder","ARIANA GRANDE & THE WEEKND",6031
"I Don't Mind f/Juicy J","USHER",5900
"Tuesday f/Drake","I LOVE MAKONNEN",5314
"I Don't F**k With You f/E-40","BIG SEAN",5228
"She Knows f/Juicy J","NE-YO",4065
"Only f/Drake, Lil Wayne","NICKI MINAJ",3347
"Uptown Funk f/Bruno Mars","MARK RONSON",3184
"Jealous","NICK JONAS",3134
"Beg For It f/MØ","IGGY AZALEA",3111
"7/11","BEYONCE",2982
"About The Money f/Young Thug","T.I.",2901
"Touchin, Lovin f/Nicki Minaj","TREY SONGZ",2835
"Body Language f/Usher/Tinashe","KID INK",2705
"Time Of Our Lives f/Ne-Yo","PITBULL",2679
"I'm Not The Only One","SAM SMITH",2473
"Try Me","DEJ LOAF",2403
"Not For Long f/Trey Songz","B.O.B",2107
"Waves","MR PROBZ",2029
"Hold You Down f/Chris Brown...","DJ KHALED",1936
"Blank Space","TAYLOR SWIFT",1926
"No Type","RAE SREMMURD",1780
"Apparently","J. COLE",1779
"Stuck On A Feeling f/Snoop...","PRINCE ROYCE",1461
"Ayo","CHRIS BROWN & TYGA",1246
"GDFR f/Sage The Gemini","FLO RIDA",1241
"Truffle Butter f/Drake...","NICKI MINAJ",1146
"CoCo","O.T. GENASIS",1074
"Habits (Stay High)","TOVE LO",1008
"Often","THE WEEKND",975
"Somebody f/Jeremih","NATALIE LA ROSE",973
"Blame f/John Newman","CALVIN HARRIS",928
"The Body f/Jeremih","WALE",855
"All About It f/Ed Sheeran","HOODIE ALLEN",791
"You And Your Friends","WIZ KHALIFA F/SNOOP & TY DOLLA",761
"Animals","MAROON 5",754
"Hot Boy","BOBBY SHMURDA",743
"Can't Trust Thots f/F. Montana","WASH",710
"Trumpets","JASON DERULO",670
"Heroes","ALESSO",661
"The Heart Wants What It Wants","SELENA GOMEZ",659
"Good Lovin f/Miguel","LUDACRIS",585
"Thinking Out Loud","ED SHEERAN",558
"Don't","ED SHEERAN",556
"Sober","CHILDISH GAMBINO",550
"How About Now","DRAKE",520
"Lips Are Movin","MEGHAN TRAINOR",486
"Prayer In C","LILLYWOOD & ROBIN SCHULZ",483
"Take Me To Church","HOZIER",443
"Only One f/Paul McCartney","KANYE WEST",442
"Hell Of A Night","SCHOOLBOY Q",441
