"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","LIL WAYNE How To Love",6474,-10,-173,47,37.156,-0.053,87,"9",1,6857,984,38.819
2,"=","DJ KHALED I'm On One f/Drake, Rick Ross",5759,-44,-81,-28,38.044,-0.341,99,"36",2,5875,821,38.385
3,"=","LMFAO Party Rock Anthem",5503,-52,-365,28,34.842,-0.201,107,"6",2,6094,1062,37.822
4,"=","BAD MEETS EVIL Lighters f/Bruno Mars",5326,32,339,-12,31.51,0.445,67,"7/89",4,5326,850,31.51
5,"=","NICKI MINAJ Super Bass",5098,-72,-127,-45,31.03,-0.467,107,"17",1,6438,904,36.328
6,"=","PITBULL Give Me Everything f/Ne-Yo",4040,5,-77,44,28.081,0.016,107,"22",1,6478,925,38.999
7,"=","KELLY ROWLAND Motivation f/Lil Wayne",3802,-38,-232,34,25.278,-0.52,107,"47",3,5903,628,34.391
8,"+1","BEYONCE Best Thing I Never Had",3603,38,363,-14,18.085,0.227,79,"35",8,3603,440,18.085
9,"-1","LUPE FIASCO Out Of My Head f/Trey Songz",3571,-96,-440,-91,19.81,-0.619,107,"166",7,4058,418,23.033
10,"=","KATY PERRY Last Friday Night (T.G.I.F.)",3446,-77,-181,-99,17.973,-0.413,75,"14",9,3627,507,18.775
11,"=","JAY Z & KANYE WEST Otis f/Otis Redding",2749,32,422,-50,18.328,0.44,33,"26",11,2749,689,18.328
12,"=","NEW BOYZ Better With the Lights Off",2571,23,108,-14,11.687,0.135,89,"55",12,2571,283,11.687
13,"=","BIG SEAN My Last f/Chris Brown",2486,-24,-279,29,20.843,-0.012,107,"226",4,4788,381,28.487
14,"=","BIG SEAN Marvin & Chardonnay",2445,26,355,-35,13.917,0.277,38,"57",14,2445,589,13.917
15,"=","TYGA Far Away f/Chris Richardson",2334,10,114,-12,11.031,0.048,71,"190",14,2334,380,11.031
16,"=","RIHANNA Cheers (Drink To That)",2275,74,459,40,11.608,0.466,26,"4",16,2275,697,11.608
17,"=","DRAKE Marvin's Room",2109,27,251,-5,12.496,0.314,45,"43",17,2109,456,12.496
18,"=","KREAYSHAWN Gucci Gucci",2045,8,93,-13,9.134,0.1,60,"60",16,2045,367,9.134
19,"=","DEV In The Dark",1960,45,134,26,10.842,0.408,90,"41",18,1960,210,10.842
20,"=","MIGUEL Sure Thing",1867,-31,-220,5,12.94,-0.155,107,"128",9,3423,446,19.52
21,"=","BRITNEY SPEARS I Wanna Go",1840,16,105,1,11.148,0.032,54,"19",21,1840,321,11.207
22,"=","DRAKE Headlines",1816,82,689,16,11.876,0.462,20,"21",22,1816,689,11.876
23,"=","CHRIS BROWN She Ain't You",1636,-73,-294,-57,8.456,-0.358,107,"64",5,4046,422,22.024
24,"=","WIZ KHALIFA No Sleep",1452,10,33,7,6.682,0.13,54,"133",23,1457,258,6.758
25,"=","MIGUEL Quickie",1343,26,193,-6,7.239,0.05,36,"189",25,1343,295,7.239
26,"=","PITBULL Rain Over Me",1254,-20,-121,-6,5.101,-0.112,66,"29",23,1397,279,6.152
27,"+1","LIL WAYNE She Will f/Drake",1140,77,614,-43,7.376,0.538,9,"5",27,1140,679,7.376
28,"+1","SEAN PAUL Got 2 Luv U f/Alexis Jordan",1074,20,218,-13,5.97,0.012,27,"446",28,1074,257,5.97
29,"-2","TINIE TEMPAH Till I'm Gone f/Wiz Khalifa",1002,-73,-351,-43,3.67,-0.218,61,"188",21,1424,252,5.964
30,"=","TREY SONGZ Unusual f/Drake",911,-28,-68,-35,6.077,-0.029,103,"1005",20,1574,280,10.765
31,"=","J. COLE Workout",791,17,119,11,4.555,0.2,33,"--",31,791,169,4.555
32,"+1","ACE HOOD Body 2 Body f/Chris Brown",759,20,226,-4,4.893,0.253,13,"--",32,759,250,4.893
33,"+2","KELLY ROWLAND Lay It On Me f/Big Sean",746,31,396,-23,3.407,0.217,7,"--",33,746,422,3.407
34,"=","AFROJACK Take Over Control f/Eva Simons",732,0,23,2,5.911,0.018,93,"53",33,762,164,6.67
35,"-3","GAME Pot Of Gold f/Chris Brown",715,-52,-142,-43,3.094,-0.068,42,"903",30,897,257,3.162
36,"+1","LLOYD Dedication To My Ex...",689,13,64,-6,2.674,0.006,22,"996",36,689,201,2.674
37,"+2","ALEXANDRA STAN Mr. Saxobeat",641,16,187,-15,5.207,0.169,13,"42",37,641,202,5.207
38,"-2","MANN The Mack",629,-67,-384,-38,2.805,-0.264,51,"--",26,1135,325,4.824
39,"-1","ADELE Rolling In The Deep",613,-24,-240,7,4.409,-0.194,105,"20",16,2377,450,13.832
40,"+2","YC Racks f/Future",599,-2,-77,-1,3.965,0.006,107,"--",10,3036,347,15.983
41,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",594,-13,-36,-21,3.378,-0.02,102,"40",24,1360,367,6.023
42,"+1","WIZ KHALIFA On My Level f/Too Short",586,17,72,23,4.097,-0.144,68,"--",37,630,167,6.724
43,"-3","RIHANNA Man Down",586,-23,-121,-23,4.587,-0.322,107,"--",14,2462,380,14.98
44,"+1","WALE That Way f/Jeremih & Rick Ross",526,16,44,11,2.796,0.128,24,"447",44,526,87,2.796
45,"-1","RAY J Bananas",506,-8,-25,-4,1.665,-0.086,29,"--",41,543,200,2.008
46,"=","GYM CLASS HEROES Stereo Hearts f/Adam Le...",485,19,63,17,2.845,0.288,15,"3",46,485,148,2.845
47,"=","IYAZ Pretty Girls f/Travie McCoy",466,20,83,4,1.643,0.07,10,"46",47,466,116,1.643
48,"=","JASON DERULO It Girl",445,20,198,-3,1.752,0.092,4,"68",48,445,201,1.752
49,"+1","NICKI MINAJ Fly f/Rihanna",409,24,226,2,1.462,0.057,2,"683",49,409,226,1.462
50,"-1","COBRA STARSHIP You Make Me Feel... f/Sab...",401,9,113,-2,2.293,0.005,4,"11",49,401,119,2.293
