"Title","Artist","Spins"
"Tuesday f/Drake","I LOVE MAKONNEN",6095
"Love Me Harder","ARIANA GRANDE & THE WEEKND",5998
"I Don't F**k With You f/E-40","BIG SEAN",5697
"I Don't Mind f/Juicy J","USHER",4814
"Beg For It f/MØ","IGGY AZALEA",4198
"Body Language f/Usher/Tinashe","KID INK",3669
"Touchin, Lovin f/Nicki Minaj","TREY SONGZ",3647
"She Knows f/Juicy J","NE-YO",3198
"About The Money f/Young Thug","T.I.",2713
"Only f/Drake, Lil Wayne","NICKI MINAJ",2698
"Jealous","NICK JONAS",2568
"Waves","MR PROBZ",2539
"Don't Tell 'Em f/YG","JEREMIH",2528
"7/11","BEYONCE",2480
"I'm Not The Only One","SAM SMITH",2401
"Try Me","DEJ LOAF",2294
"Hold You Down f/Chris Brown...","DJ KHALED",2267
"Blank Space","TAYLOR SWIFT",1998
"Time Of Our Lives f/Ne-Yo","PITBULL",1886
"Uptown Funk f/Bruno Mars","MARK RONSON",1855
"Not For Long f/Trey Songz","B.O.B",1774
"Habits (Stay High)","TOVE LO",1771
"No Type","RAE SREMMURD",1594
"Often","THE WEEKND",1499
"Apparently","J. COLE",1422
"You And Your Friends","WIZ KHALIFA F/SNOOP & TY DOLLA",1212
"Hot Boy","BOBBY SHMURDA",1185
"Stuck On A Feeling f/Snoop...","PRINCE ROYCE",1168
"Lifestyle f/Young Thug","RICH GANG",1121
"Closer","MIKE STUD",1081
"Blame f/John Newman","CALVIN HARRIS",1072
"GDFR f/Sage The Gemini","FLO RIDA",1065
"0 To 100/The Catch Up","DRAKE",1051
"Trumpets","JASON DERULO",1036
"Animals","MAROON 5",967
"All About It f/Ed Sheeran","HOODIE ALLEN",831
"Don't","ED SHEERAN",822
"CoCo","O.T. GENASIS",738
"No Love","AUGUST ALSINA",734
"The Body f/Jeremih","WALE",729
"Heroes","ALESSO",670
"Can't Trust Thots f/F. Montana","WASH",639
"Bed Of Lies","NICKI MINAJ",582
"Good Lovin f/Miguel","LUDACRIS",503
"Certified Freak","BABY BASH",479
"How About Now","DRAKE",466
"Lips Are Movin","MEGHAN TRAINOR",444
"The Heart Wants What It Wants","SELENA GOMEZ",434
"Hell Of A Night","SCHOOLBOY Q",415
"i","KENDRICK LAMAR",393
