"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","KID INK","Show Me f/Chris Brown",6307,0,269,0,40.154,0,117,"29",1,6351,758,40.204
2,"=","EMINEM","The Monster f/Rihanna",5939,0,-443,0,37.273,0,94,"24",1,6810,1739,44.928
3,"=","BEYONCE","Drunk In Love f/Jay Z",4877,0,773,0,32.608,0,44,"6",3,4877,1055,32.608
4,"=","PITBULL","Timber f/Ke$ha",4514,0,97,0,25.083,0,106,"5",3,4540,658,25.363
5,"=","KATY PERRY","Dark Horse",3895,0,585,0,23.008,0,74,"1",5,3895,595,23.008
6,"=","YG","My Hitta f/Jeezy,RichHomieQuan",3707,0,474,0,23.675,0,89,"--",6,3707,525,23.676
7,"=","DRAKE","Hold On We're Going Home",3611,0,-603,0,24.962,0,177,"81",1,7242,1341,51.389
8,"=","LADY GAGA","Do What U Want f/R. Kelly",2971,0,-72,0,14.731,0,91,"63",8,3042,459,15.944
9,"=","TY DOLLA $IGN","Paranoid",2777,0,351,0,18.016,0,119,"79",9,2777,351,18.016
10,"=","CHRIS BROWN","Love More f/Nicki Minaj",2638,0,-404,0,18.096,0,190,"165",2,5362,653,33.221
11,"=","J. COLE","She Knows",2574,0,118,0,12.35,0,73,"173",11,2574,397,12.892
12,"=","DRAKE","The Language",2555,0,5,0,12.217,0,83,"144",11,2571,494,14.514
13,"=","JASON DERULO","Talk Dirty f/2 Chainz",2547,0,676,0,13.165,0,28,"3",13,2547,677,13.165
14,"=","MACKLEMORE & RYAN LEWIS","White Walls f/ScHoolboy Q",2545,0,-534,0,13.518,0,168,"32",3,5111,689,26.937
15,"=","SOMO","Ride",2294,0,284,0,9.876,0,68,"76",15,2294,354,9.876
16,"=","SEVYN STREETER","It Won't Stop",2222,0,-177,0,13.766,0,120,"123",14,2563,250,15.119
17,"=","DRAKE","All Me f/2 Chainz & Big Sean",1983,0,16,0,14.425,0,144,"105",15,2008,263,14.829
18,"=","LORDE","Team",1853,0,432,0,9.812,0,47,"10",18,1853,432,9.812
19,"=","ZEDD","Stay The Night f/H. Williams",1840,0,0,0,9.646,0,108,"68",18,1890,247,11.046
20,"=","CHRIS BROWN","Loyal f/Lil' Wayne",1671,0,385,0,11.124,0,23,"195",20,1671,494,11.124
21,"=","LUPE FIASCO","Old School Love f/Ed Sheeran",1643,0,-1125,0,6.242,0,103,"--",6,3437,487,15.459
22,"=","T-PAIN","Up Down (Do This All Day)",1495,0,-52,0,9.556,0,125,"106",21,1569,195,9.847
23,"=","MIKE WILL MADE-IT","23 f/Miley Cyrus, Wiz Khalifa",1344,0,-438,0,6.174,0,131,"64",9,3211,365,14.34
