"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PITBULL Give Me Everything f/Ne-Yo",6206,25,253,-41,37.328,0.28,35,1,6206,925,37.328
2,"=","WIZ KHALIFA Roll Up",4869,-82,-384,-28,27.284,-0.836,35,2,5325,315,32.656
3,"=","LUPE FIASCO The Show Goes On",4530,-104,-678,-14,26.04,-0.467,35,1,5598,489,32.494
4,"=","KATY PERRY E.T.",4216,-61,-510,39,25.644,-0.45,35,2,5377,248,30.339
5,"+2","NICKI MINAJ Super Bass",4162,92,669,-20,21.681,0.485,35,5,4162,720,21.681
6,"-1","BLACK EYED PEAS Just Can't Get Enough",4127,-22,-66,-21,22.618,-0.174,35,5,4213,554,22.792
7,"+1","BIG SEAN My Last f/Chris Brown",4114,59,274,9,25.192,0.783,35,7,4114,381,25.192
8,"+1","KELLY ROWLAND Motivation f/Lil Wayne",4103,52,451,-37,23.23,0.34,35,8,4103,628,23.23
9,"-3","CHRIS BROWN Look At Me Now",4064,-45,-564,90,29.349,-0.324,35,1,6273,56,40.795
10,"=","CHRIS BROWN She Ain't You",3852,58,320,30,20.74,0.306,35,9,3852,422,20.74
11,"=","MIGUEL Sure Thing",3157,49,305,13,17.041,0.338,35,11,3157,446,17.041
12,"=","JEREMIH Down On Me f/50 Cent",2991,-53,-407,-7,21.643,-0.393,35,4,5155,0,34.731
13,"=","DJ KHALED I'm On One f/Drake, Rick Ross",2843,119,821,34,18.029,0.847,27,13,2843,821,18.029
14,"=","LMFAO Party Rock Anthem",2688,124,522,59,17.373,1.018,35,14,2688,522,17.373
15,"=","KANYE WEST All Of The Lights",2440,-22,-80,11,20.172,-0.153,35,6,4194,0,27.01
16,"+1","LIL WAYNE How To Love",2390,163,984,0,14.066,0.969,15,16,2390,984,14.066
17,"-1","YC Racks f/Future",2215,-113,-570,-81,12.144,-0.173,35,10,3036,347,15.983
18,"=","RIHANNA Man Down",2020,9,168,-41,13.846,0.075,35,18,2020,380,13.868
19,"=","BRUNO MARS Lazy Song",1985,-3,-39,11,10.929,0.143,35,16,2039,204,11.32
20,"=","ADELE Rolling In The Deep",1972,42,346,-19,11.373,0.116,33,20,1972,450,11.373
21,"+1","JASON DERULO Don't Wanna Go Home",1802,19,131,-1,8.366,0.055,32,21,1802,471,8.366
22,"-1","RIHANNA S&M",1761,-27,-220,23,8.653,-0.21,35,7,3766,0,20.609
23,"+1","BRITNEY SPEARS Till The World Ends",1752,-23,-100,39,10.203,-0.111,35,17,2345,361,13.18
24,"-1","JENNIFER LOPEZ F/PITBULL On The Floor",1744,-36,-237,30,11.504,-0.124,35,16,2302,134,13.81
25,"=","LUPE FIASCO Out Of My Head f/Trey Songz",1735,33,172,-23,12.331,-0.156,35,24,1735,316,12.749
26,"=","NEW BOYZ Back Seat f/Cataracs & Dev",1436,-43,-398,15,7.93,-0.421,35,8,3646,0,17.134
27,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1224,3,148,-27,4.7,-0.05,30,27,1224,367,4.75
28,"=","T-PAIN Best Love Song f/Chris Brown",1080,3,43,-14,6.151,0.095,35,27,1080,105,6.157
29,"=","TREY SONGZ Unusual f/Drake",1063,12,28,0,7.426,0.117,31,29,1063,280,8.979
30,"+1","FRANK OCEAN Novacane",1010,59,193,33,5.947,0.277,21,30,1010,276,5.947
31,"-1","LLOYD Cupid",990,16,95,-1,3.808,-0.014,35,30,990,212,3.873
32,"+1","JENNIFER LOPEZ I'm Into You f/Lil Wayne",812,-2,-46,-8,2.676,-0.04,35,32,858,160,3.179
33,"+1","ACE HOOD Hustle Hard",800,17,7,71,5.632,0.285,35,26,1088,210,6.734
34,"-2","TINIE TEMPAH Written In The Stars",792,-46,-216,14,5.876,-0.174,35,15,2441,115,10.477
35,"=","LADY GAGA The Edge Of Glory",776,12,119,-3,3.628,0.068,21,35,776,189,3.628
36,"=","KERI HILSON Lose Control (Let Me Down)",724,-9,74,-20,2.308,-0.148,27,36,733,172,2.456
37,"+4","BEYONCE Best Thing I Never Had",719,62,398,-2,3.339,0.236,7,37,719,400,3.339
38,"=","NEW BOYZ Better With the Lights Off",714,26,146,12,2.699,0.094,17,38,714,162,2.699
39,"=","DEV In The Dark",706,24,79,1,3.131,0.14,18,38,706,182,3.131
40,"-3","KE$HA Blow",683,-19,-117,-28,5.592,-0.242,35,27,1069,76,7.374
41,"-1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",666,-11,30,-32,2.909,-0.033,24,39,677,223,2.942
42,"=","NICOLE SCHERZINGER Right There",636,5,43,-8,2.203,-0.019,16,42,636,326,2.276
43,"=","JAMIE FOXX Best Night Of My Life",608,-6,-48,0,2.901,-0.012,35,37,661,139,3.085
44,"=","NICKI MINAJ Did It On'em",538,-24,-333,22,3.645,-0.235,35,18,2119,0,12.584
45,"=","BIG K.R.I.T. Country Sh**",514,18,131,2,2.995,0.133,9,45,514,131,2.995
46,"+1","KATY PERRY Last Friday Night (T.G.I.F.)",472,41,289,16,2.633,0.229,3,46,472,289,2.633
47,"-1","MARSHA AMBROSIUS Far Away",458,-7,1,-8,2.665,-0.055,14,46,471,89,2.743
48,"=","AFROJACK Take Over Control f/Eva Simons",424,16,59,18,5.119,0.293,21,46,444,124,5.132
49,"=","RICK ROSS 9 Piece f/Lil Wayne",343,-2,24,-6,4.123,0.097,3,49,345,30,4.123
50,"=","DJ FELLI FEL Boomerang f/Akon/Pitbull/Du...",336,5,-9,11,2.639,0.121,4,50,362,45,2.835
