"Title","Artist","Spins"
"Black Widow f/Rita Ora","IGGY AZALEA",6253
"Don't Tell 'Em f/YG","JEREMIH",5839
"New Flame f/Usher & Rick Ross","CHRIS BROWN",5696
"No Mediocre f/Iggy Azalea","T.I.",5151
"0 To 100/The Catch Up","DRAKE",4724
"Touchin, Lovin f/Nicki Minaj","TREY SONGZ",4526
"i","KENDRICK LAMAR",3733
"All About That Bass","MEGHAN TRAINOR",2872
"You And Your Friends","WIZ KHALIFA F/SNOOP & TY DOLLA",2835
"Studio f/BJ The Chicago Kid","SCHOOLBOY Q",2794
"Lifestyle f/Young Thug","RICH GANG",2435
"Anaconda","NICKI MINAJ",2368
"Flawless","BEYONCE",2196
"Trumpets","JASON DERULO",2092
"That's Me Right There","JASMINE V",1992
"Hold You Down f/C. Brown...","DJ KHALED",1981
"Body Language f/Usher/Tinashe","KID INK",1885
"Love Me Harder","ARIANA GRANDE & THE WEEKND",1678
"Stay With Me","SAM SMITH",1635
"I Don't F**k With You f/E-40","BIG SEAN",1587
"Shake It Off","TAYLOR SWIFT",1493
"Hot Boy","BOBBY SHMURDA",1466
"Habits (Stay High)","TOVE LO",1459
"Tuesday f/Drake","I LOVE MAKONNEN",1368
"L.A.LOVE (la la)","FERGIE",1314
"Rather Be f/Jess Glynne","CLEAN BANDIT",1122
"Certified Freak","BABY BASH",1081
"Rich f/August Alsina","KIRKO BANGZ",1061
"Blame f/John Newman","CALVIN HARRIS",1029
"Bang Bang","JESSIE J/A. GRANDE/N. MINAJ",997
"About The Money f/Young Thug","T.I.",980
"Pretend f/A$AP Rocky","TINASHE",926
"Break Free f/Zedd","ARIANA GRANDE",787
"She Knows f/Juicy J","NE-YO",773
"Bend Ova f/Tyga","LIL JON",746
"Waves","MR PROBZ",683
"Often","THE WEEKND",632
"Don't","ED SHEERAN",614
"Fireball f/John Ryan","PITBULL",599
"Closer","MIKE STUD",577
"Boom Clap","CHARLI XCX",553
"Handsome And Wealthy","MIGOS",545
"Don't Panic","FRENCH MONTANA",495
"Love Robbery","KALIN & MYLES",468
"No Love","AUGUST ALSINA",467
"Red Cup f/T-Pain/Kid Ink/B.o.B","E-40",463
"I'm Not The Only One","SAM SMITH",448
"Bailando f/D.Bueno/S.Paul/GDZ","ENRIQUE IGLESIAS",429
"Errrbody","YO GOTTI",408
"Animals","MAROON 5",394
