"Title","Artist","Spins"
"Power Trip f/Migu...","J. COLE",5985
"Can't Hold Us f/R...","MACKLEMORE & RYAN...",5871
"Mirrors","JUSTIN TIMBERLAKE",5609
"Stay f/Mikky Ekko","RIHANNA",4245
"Bad f/Tiara Thoma...","WALE",4091
"Fine China","CHRIS BROWN",4090
"Started From The ...","DRAKE",3379
"The Way f/Mac Mil...","ARIANA GRANDE",3362
"B**ch, Don't Kill...","KENDRICK LAMAR",2933
"Love Me f/Drake &...","LIL WAYNE",2735
"Blurred Lines f/P...","ROBIN THICKE",2608
"Get Lucky","DAFT PUNK",2551
"#Beautiful f/Migu...","MARIAH CAREY",2463
"Beat It f/Chris B...","SEAN KINGSTON",2420
"Suit & Tie f/JAY ...","JUSTIN TIMBERLAKE",2305
"We Still In This ...","B.O.B",1926
"Leggo f/2 Chainz","B. SMYTH",1899
"When I Was Your M...","BRUNO MARS",1845
"Treasure","BRUNO MARS",1789
"Feel This Moment","PITBULL",1751
"No New Friends","DJ KHALED F/DRAKE...",1599
"Rich As F**k f/2 ...","LIL WAYNE",1574
"Bugatti f/Future ...","ACE HOOD",1509
"Body Party","CIARA",1459
"#thatpower","WILL.I.AM F/JUSTI...",1451
"High School","NICKI MINAJ",1401
"The Other Side","JASON DERULO",1375
"I Love It f/Charl...","ICONA POP",1170
"Crickets f/Jeremi...","DROP CITY YACHT C...",1146
"Same Love f/Mary ...","MACKLEMORE & RYAN...",1123
"How Many Drinks?","MIGUEL",949
"Wild For The Nigh...","A$AP ROCKY",754
"Loveeeeeee Song f...","RIHANNA",748
"Gangsta","KAT DAHLIA",687
"Alive","KREWELLA",645
"Tapout f/Birdman,...","RICH GANG",623
"Kisses Down Low","KELLY ROWLAND",553
"Freaks f/Nicki Mi...","FRENCH MONTANA",535
"Right Now f/David...","RIHANNA",499
"Reason To Hate f/...","DJ FELLI FEL",461
"Live It Up","JENNIFER LOPEZ F/...",456
"Come & Get It","SELENA GOMEZ",432
"Just Give Me A Re...","PINK",430
"Ready f/Chris Bro...","FABOLOUS",388
"Like Whaaat f/Bad...","PROBLEM",382
"Play Hard f/Ne-Yo...","DAVID GUETTA",369
"I Need Your Love","CALVIN HARRIS F/E...",368
"Do Me Now f/Hit-b...","K. ROOSEVELT",360
"Clarity f/Foxes","ZEDD",351
"For The Road f/Ch...","TYGA",324
