"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","NICKI MINAJ Super Bass",6372,-28,230,-62,35.032,-0.087,65,1,6403,904,35.431
2,"=","PITBULL Give Me Everything f/Ne-Yo",6064,-1,-96,12,37.34,0.064,65,1,6478,925,38.999
3,"=","KELLY ROWLAND Motivation f/Lil Wayne",5894,-9,486,-99,34.391,0.434,65,3,5903,628,34.391
4,"=","LMFAO Party Rock Anthem",5581,62,327,36,34.544,0.545,65,4,5581,1062,34.544
5,"=","LIL WAYNE How To Love",5550,130,855,40,30.995,0.795,45,5,5550,984,30.995
6,"+1","DJ KHALED I'm On One f/Drake, Rick Ross",4668,58,433,10,32.19,0.401,57,6,4668,821,32.19
7,"-1","BIG SEAN My Last f/Chris Brown",4603,-53,-119,-41,28.03,0.092,65,4,4788,381,28.487
8,"=","CHRIS BROWN She Ain't You",3346,-62,-200,5,17.082,-0.124,65,5,4046,422,22.024
9,"=","MIGUEL Sure Thing",3246,-50,-140,-42,19.245,-0.249,65,9,3423,446,19.52
10,"=","LUPE FIASCO Out Of My Head f/Trey Songz",3117,33,404,-14,20.014,0.226,65,10,3117,418,20.014
11,"=","LUPE FIASCO The Show Goes On",2670,-42,-244,10,16.232,-0.269,65,1,5598,489,32.494
12,"+1","KATY PERRY E.T.",2633,-23,-141,-1,17.864,-0.207,65,2,5377,248,30.339
13,"-1","CHRIS BROWN Look At Me Now",2626,-75,-249,-64,22.102,-0.999,65,1,6273,56,40.795
14,"=","JASON DERULO Don't Wanna Go Home",2357,9,88,-1,11.382,0.059,62,14,2357,471,11.382
15,"+3","BAD MEETS EVIL Lighters f/Bruno Mars",2320,165,850,94,11.765,0.705,25,15,2320,850,11.765
16,"=","BLACK EYED PEAS Just Can't Get Enough",2201,-30,-247,31,14.359,-0.262,65,5,4213,554,22.792
17,"-2","RIHANNA Man Down",2190,-61,-264,-50,11.488,-0.1,65,14,2462,380,14.98
18,"+1","BEYONCE Best Thing I Never Had",2161,18,356,-36,9.705,0.076,37,18,2161,440,9.705
19,"+1","KATY PERRY Last Friday Night (T.G.I.F.)",2083,45,407,-21,12.208,0.214,33,19,2083,507,12.208
20,"-3","WIZ KHALIFA Roll Up",2075,-87,-492,-36,13.594,-0.572,65,2,5325,315,32.656
21,"=","ADELE Rolling In The Deep",1916,-56,-204,-12,12.253,-0.446,63,16,2377,450,13.832
22,"=","FRANK OCEAN Novacane",1901,3,51,-24,10.825,-0.124,51,19,1907,309,11.147
