"Title","Artist","Spins"
"Fancy","IGGY AZALEA",6683
"Problem f/Iggy Azalea","ARIANA GRANDE",5695
"Turn Down For What","DJ SNAKE & LIL JON",4614
"Wiggle f/Snoop Dogg","JASON DERULO",4079
"2 On f/Schoolboy Q","TINASHE",3999
"Not A Bad Thing","JUSTIN TIMBERLAKE",3800
"Na Na","TREY SONGZ",3737
"Loyal f/Lil' Wayne","CHRIS BROWN",3646
"Who Do You Love f/Drake","YG",3611
"Main Chick f/Chris Brown","KID INK",3292
"V. 3005","CHILDISH GAMBINO",2894
"Good Kisser","USHER",2819
"Believe Me f/Drake","LIL WAYNE",2746
"Summer","CALVIN HARRIS",2400
"Pills N Potions","NICKI MINAJ",2378
"Move That Doh f/Pharrell","FUTURE",2185
"Rude","MAGIC!",1784
"Cut Her Off","K CAMP",1721
"Partition","BEYONCE",1698
"2AM","ADRIAN MARCEL",1656
"Come Get It Bae","PHARRELL WILLIAMS",1617
"Am I Wrong","NICO & VINZ",1395
"Numb f/B.o.B. & Yo Gotti","AUGUST ALSINA",1256
"The Worst","JHENE AIKO",1206
"Crazy","KAT DAHLIA",1196
"Trophies f/Drake","YOUNG MONEY",1196
"Latch f/Sam Smith","DISCLOSURE",1182
"Fragile","TECH N9NE",1133
"Studio f/BJ The Chicago Kid","SCHOOLBOY Q",1036
"Sing","ED SHEERAN",970
"Birthday","KATY PERRY",959
"She Twerkin","CA$H OUT",947
"24 Hours","TEEFLII",940
"College Drop","SAGE THE GEMINI",933
"We Dem Boyz","WIZ KHALIFA",818
"Don't Tell 'Em f/YG","JEREMIH",729
"Wake Up In It","MALLY MALL & TYGA",656
"Foreign","TREY SONGZ",573
"I Know f/Rich Homie Quan","YO GOTTI",524
"La La La f/Sam Smith","NAUGHTY BOY",510
"Shower","BECKY G",459
"Walk Thru f/Problem","RICH HOMIE QUAN",415
"Pretty Hurts","BEYONCE",406
"Stay With Me","SAM SMITH",374
"Or Nah f/Wiz Khalifa","TY DOLLA $IGN",354
"Fight Night","MIGOS",343
"First Love","JENNIFER LOPEZ",331
"They Don't Love You No More","DJ KHALED",298
"Bailando f/D.Bueno/S.Paul/GDZ","ENRIQUE IGLESIAS",278
"No Flex Zone","RAE SREMMURD",275
