"Title","Artist","Spins"
"Ayo","CHRIS BROWN & TYGA",6567
"Somebody f/Jeremih","NATALIE LA ROSE",6176
"Truffle Butter f/Drake...","NICKI MINAJ",6146
"Time Of Our Lives f/Ne-Yo","PITBULL",5171
"Earned It","THE WEEKND",4781
"FourFiveSeconds","RIHANNA/KANYE WEST/P MCCARTNEY",4511
"Uptown Funk f/Bruno Mars","MARK RONSON",4397
"GDFR f/Sage The Gemini","FLO RIDA",3692
"Tho Sum Mo f/Nicki Minaj","RAE SREMMURD",3072
"I Don't Mind f/Juicy J","USHER",2677
"Blessings f/Drake","BIG SEAN",2387
"One Last Time","ARIANA GRANDE",2365
"Trap Queen","FETTY WAP",2201
"All Day f/A.Kingd./P.McCartney","KANYE WEST F/T.LONDON",2128
"Hotel f/Chris Brown","KID INK",2113
"Apparently","J. COLE",1986
"Want To Want Me","JASON DERULO",1876
"Good Lovin f/Miguel","LUDACRIS",1869
"Trampoline","KALIN & MYLES",1817
"Only f/Drake, Lil Wayne","NICKI MINAJ",1629
"Sugar","MAROON 5",1413
"7/11","BEYONCE",1399
"Thinking Out Loud","ED SHEERAN",1295
"Open Wide f/Big Sean","CALVIN HARRIS",1291
"All Hands On Deck","TINASHE",1266
"Not For Long f/Trey Songz","B.O.B",1263
"Chains","NICK JONAS",1230
"Jealous","NICK JONAS",1158
"Slow Motion","TREY SONGZ",1113
"Private Show f/Chris Brown","T.I.",1016
"Style","TAYLOR SWIFT",1011
"Post To Be f/Chris Brown&Jhene","OMARION",1002
"Peaches & Cream","SNOOP DOGG",896
"I Bet","CIARA",891
"Worth It f/Kid Ink","FIFTH HARMONY",806
"Love Me Like You Do","ELLIE GOULDING",788
"Schemin' Up f/Drake & P. Reign","OB O'BRIEN",692
"Hood Go Crazy f/B.o.B","TECH N9NE",691
"Mind Right","TK N CASH",656
"Outside f/Ellie Goulding","CALVIN HARRIS",615
"How About Now","DRAKE",607
"Classic Man","JIDENNA",568
"Double Tap f/2 Chainz","JORDIN SPARKS",566
"I Want You To Know f/S. Gomez","ZEDD",527
"You Know You Like It","DJ SNAKE & ALUNAGEORGE",517
"I Need Your Love","SHAGGY F/MOHOMBI/FAYDEE/COSTI",498
"Drop That Kitty f/Charli XCX..","TY DOLLA $IGN",459
"Backflip f/YG & IAMSU","CASEY VEGGIES",441
"F*ck Up Some Commas","FUTURE",420
"That's My S**t","THE-DREAM",411
