"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","PkPos","PkSpins","PkBllt","PkAud"
1,"=","PITBULL Give Me Everything f/Ne-Yo",5885,"+57",430,"-36",34.786,"+0.249",27,1,5885,925,34.786
2,"+1","WIZ KHALIFA Roll Up",5307,"-12",53,"+8",31.909,"+0.297",27,2,5325,315,32.656
3,"-1","LUPE FIASCO The Show Goes On",5297,"-60",-298,"-60",30.151,"-0.410",27,1,5598,489,32.494
4,"=","KATY PERRY E.T.",4824,"-48",-93,"-14",29.234,"-0.056",27,2,5377,248,30.339
5,"=","CHRIS BROWN Look At Me Now",4762,"-79",-269,"-38",33.105,"-0.107",27,1,6273,56,40.795
6,"=","BLACK EYED PEAS Just Can't Get Enough",4192,"-21",97,"-56",22.196,"+0.025",27,6,4213,554,22.196
7,"=","BIG SEAN My Last f/Chris Brown",3789,"+27",365,"-14",21.483,"+0.187",27,7,3789,379,21.483
8,"+1","KELLY ROWLAND Motivation f/Lil Wayne",3562,"+65",414,"+35",19.816,"+0.180",27,8,3562,628,19.816
9,"+1","CHRIS BROWN She Ain't You",3502,"+17",205,"-30",19.098,"+0.118",27,9,3502,422,19.098
10,"-2","JEREMIH Down On Me f/50 Cent",3441,"-60",-172,"-31",24.344,"-0.164",27,4,5155,0,34.731
11,"=","NICKI MINAJ Super Bass",3381,"+104",558,"+46",17.642,"+0.580",27,11,3381,642,17.642
12,"=","YC Racks f/Future",2817,"-51",-177,"-42",14.814,"-0.428",27,10,3036,347,15.983
13,"=","MIGUEL Sure Thing",2815,"+62",356,"+38",15.181,"+0.494",27,13,2815,446,15.181
14,"=","KANYE WEST All Of The Lights",2553,"-64",-191,"-45",20.375,"-0.334",27,6,4194,0,27.01
15,"+2","LMFAO Party Rock Anthem",2101,"+38",359,"-14",12.837,"+0.225",27,15,2101,378,12.837
16,"=","JENNIFER LOPEZ F/PITBULL On The Floor",2047,"-44",-190,"-25",12.074,"-0.351",27,16,2302,134,13.81
17,"+1","BRUNO MARS Lazy Song",2038,"-1",55,"+6",10.566,"-0.097",27,17,2039,204,11.32
18,"-3","RIHANNA S&M",2030,"-72",-267,"-36",10.126,"-0.645",27,7,3766,0,20.609
19,"+2","DJ KHALED I'm On One f/Drake, Rick Ross",1937,"+82",621,"-10",12.587,"+0.311",19,19,1937,642,12.587
20,"-1","BRITNEY SPEARS Till The World Ends",1912,"-47",-195,"-24",10.716,"-0.066",27,17,2345,361,13.18
21,"-1","NEW BOYZ Back Seat f/Cataracs & Dev",1892,"-46",-156,"-15",10.708,"-0.139",27,8,3646,0,17.134
22,"=","RIHANNA Man Down",1800,"+35",188,"+1",12.696,"+0.273",27,21,1800,380,12.696
23,"=","JASON DERULO Don't Wanna Go Home",1648,"+11",335,"-71",7.693,"-0.045",24,23,1648,471,7.738
24,"=","ADELE Rolling In The Deep",1565,"+68",375,"+11",10.149,"+0.436",25,24,1565,450,10.149
25,"=","LUPE FIASCO Out Of My Head f/Trey Songz",1507,"+26",281,"-18",12.376,"+0.298",27,24,1507,316,12.376
26,"+1","LIL WAYNE How To Love",1240,"+137",876,"+56",7.773,"+0.727",7,26,1240,876,7.773
27,"-1","TINIE TEMPAH Written In The Stars",1068,"-74",-435,"-1",6.82,"-0.326",27,15,2441,115,10.477
28,"=","DAVID GUETTA/FLO RIDA/NICKI M. Where The...",1044,"+4",130,"-39",4.131,"+0.014",22,27,1044,367,4.131
29,"+1","TREY SONGZ Unusual f/Drake",1023,"+33",186,"+20",8.979,"+0.373",23,29,1023,280,8.979
30,"-1","T-PAIN Best Love Song f/Chris Brown",1020,"-2",48,"-22",5.968,"-0.020",27,27,1022,105,6.064
31,"=","NICKI MINAJ Did It On'em",916,"-48",-128,"-28",5.741,"-0.262",27,18,2119,0,12.584
32,"+2","LLOYD Cupid",878,"+29",165,"+31",3.759,"+0.033",27,32,878,212,3.873
33,"=","JENNIFER LOPEZ I'm Into You f/Lil Wayne",852,"+2",87,"-10",3.179,"+0.024",27,33,852,160,3.179
34,"-2","ACE HOOD Hustle Hard",846,"-24",-116,"-7",5.402,"-0.138",27,26,1088,210,6.734
35,"+1","FRANK OCEAN Novacane",791,"+47",275,"+29",5.712,"+0.178",13,35,791,275,5.712
36,"-1","KE$HA Blow",791,"+10",58,"+18",7.282,"+0.109",27,27,1069,58,7.282
37,"+1","JAMIE FOXX Best Night Of My Life",661,"+12",41,"+8",2.963,"+0.151",27,37,661,139,2.963
38,"+2","LADY GAGA The Edge Of Glory",642,"+27",156,"+5",3.265,"+0.147",13,38,642,189,3.265
39,"-2","KERI HILSON Lose Control (Let Me Down)",639,"-12",18,"-52",2.067,"-0.019",19,37,651,172,2.086
40,"+1","ENRIQUE IGLESIAS Dirty Dancer f/Usher/Li...",615,"+0",102,"-24",2.588,"-0.068",16,40,615,223,2.656
41,"+2","DEV In The Dark",604,"+11",104,"-32",2.505,"-0.112",10,41,604,182,2.617
42,"=","TRAVIS PORTER Bring It Back",591,"-22",-153,"-13",3.373,"-0.095",27,31,882,0,4.442
43,"+3","NICOLE SCHERZINGER Right There",579,"+16",192,"-35",2.066,"+0.046",8,43,579,326,2.066
44,"=","GORILLA ZOE Twisted f/Lil Jon",576,"-13",-72,"+2",1.723,"-0.025",27,35,740,89,2.186
45,"-6","LIL WAYNE John f/Rick Ross",570,"-55",-192,"-60",5.271,"-0.293",27,29,960,0,7.432
46,"+1","NEW BOYZ Better With the Lights Off",554,"+4",90,"-35",1.885,"-0.006",9,46,554,162,1.891
47,"-2","BEYONCE Run The World (Girls)",490,"-87",-529,"-25",3.11,"-0.515",27,22,1699,281,7.421
48,"=","MARSHA AMBROSIUS Far Away",456,"+19",89,"+20",2.453,"+0.142",6,48,456,89,2.453
49,"--","BIG K.R.I.T. Country Sh**",367,"--",69,"--",2.429,"--",1,49,367,69,2.429
50,"-1","AFROJACK Take Over Control f/Eva Simons",367,"-5",-30,"+8",3.674,"-0.056",13,46,444,124,5.132
