"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","DRAKE & FUTURE","Jumpman",5579,"-76",-339,"-52",29.691,"-0.409",96,"43",1,5941,1001,33.433
2,"=","THE WEEKND","In The Night",5229,"+27",257,"-11",21.732,"-0.090",71,"36",2,5229,1125,21.822
3,"+1","TORY LANEZ","Say It",5113,"+75",591,"-23",27.843,"-0.006",102,"72",3,5113,614,27.849
4,"-1","TRAVI$ SCOTT","Antidote",5073,"-69",-562,"-16",26.76,"-0.159",131,"45",1,6094,1043,33.21
5,"=","JUSTIN BIEBER","Sorry",4640,"-109",-907,"-37",24.877,"-0.312",94,"9",2,5760,1054,29.991
6,"=","FETTY WAP","Again",3724,"+50",265,"+42",20.45,"+0.108",136,"89",6,3724,508,20.45
7,"=","SELENA GOMEZ","Same Old Love",3690,"+27",221,"+2",13.951,"+0.215",115,"20",6,3690,534,13.951
8,"+1","G-EAZY","Me Myself And I f/Bebe Rexha",3262,"+71",504,"-14",15.075,"+0.307",79,"7",8,3262,599,15.075
9,"+2","JUSTIN BIEBER","Love Yourself",3156,"+82",599,"-22",13.921,"+0.405",49,"3/98",9,3156,621,13.921
10,"-2","ALESSIA CARA","Here",3148,"-86",-792,"-34",15.835,"-0.751",169,"25",1,6401,834,32.037
11,"-1","POST MALONE","White Iverson",3026,"-53",-535,"+48",16.482,"-0.166",157,"29",1,6014,641,29.326
12,"=","YO GOTTI","Down In The DM",2988,"+60",319,"+23",15.05,"+0.204",61,"23",12,2988,578,15.05
13,"=","BRYSON TILLER","Don't",2948,"+41",273,"-1",17.09,"+0.041",88,"54",12,2948,469,17.182
14,"=","THE CHAINSMOKERS","Roses f/Rozes",2798,"+34",270,"-18",9.448,"+0.047",73,"8",14,2798,467,9.448
15,"=","FLO RIDA","My House",2762,"+37",330,"-14",12.056,"+0.264",93,"4",15,2762,348,12.056
16,"=","CHRIS BROWN","Back To Sleep",2530,"+38",331,"+1",16.974,"+0.100",59,"76",16,2530,547,16.974
17,"+1","COLONEL LOUD","California f/Young Dolph",2113,"+2",44,"+6",10.654,"+0.064",81,"390",17,2119,434,10.82
18,"-1","MISSY ELLIOTT","WTF (Where They From)",2096,"-49",-247,"-13",7.643,"-0.383",73,"106",13,2392,642,10.739
19,"+1","JASON DERULO","Get Ugly",1971,"+25",142,"+11",6.67,"+0.104",53,"60",19,1971,427,6.67
20,"-1","JR CASTRO","Get Home f/Kid Ink & Migos",1854,"-168",-928,"-76",7.342,"-0.583",123,"880",11,2890,313,13.158
21,"=","JEREMIH","Oui",1769,"+18",184,"-11",10.472,"-0.017",69,"149",21,1769,292,10.489
22,"=","KID INK","Promise f/Fetty Wap",1544,"+57",371,"+18",7.695,"+0.112",20,"109",22,1544,620,7.695
23,"+1","MAJID JORDAN","Something About You",1246,"+8",98,"+10",5.249,"+0.015",49,"654",23,1246,406,5.631
24,"-1","ADELE","Hello",1244,"-46",-342,"+0",7.475,"-0.329",89,"6",10,3265,569,14.981
25,"=","TY DOLLA $IGN","Saved f/E-40",1223,"+51",338,"+9",6.247,"+0.173",35,"285",25,1223,338,6.247
26,"=","BELLY","Might Not f/The Weeknd",1166,"+33",284,"-30",7.479,"+0.027",19,"134",26,1166,531,7.479
27,"=","LIL DICKY","$ave Dat Money",1142,"+17",-99,"+67",5.945,"+0.161",109,"139",23,1516,223,6.912
28,"=","CURREN$Y","Bottom Of The Bottle",1093,"+36",187,"+31",6.34,"+0.084",45,"78",28,1093,251,6.34
29,"=","TORI KELLY","Hollow",996,"-7",102,"-17",2.636,"-0.107",56,"131",29,1003,218,2.743
30,"=","YOUNG THUG","Best Friend",758,"-4",130,"-38",4.481,"-0.044",18,"97",30,762,345,4.525
31,"=","ADRIAN MARCEL","Take Your Time",683,"-29",-205,"-3",2.97,"-0.092",70,"--",30,984,151,3.768
32,"+1","DJ LUKE NASTYY","Might Be",598,"+34",211,"+13",3.638,"+0.114",17,"--",32,598,211,3.638
33,"-1","BIG SEAN","Play No Games",567,"-17",-54,"-18",4.156,"+0.047",127,"471",13,2466,392,12.214
34,"=","DIPLO & SLEEPY TOM","Be Right There",519,"+4",10,"-11",1.636,"-0.005",60,"181",33,530,80,1.655
35,"--","RIHANNA","Work f/Drake",511,"--",511,"--",4.825,"--",1,"1/38",35,511,511,4.825
36,"-1","ERIC BELLINGER","Valet f/Fetty Wap & 2 Chainz",500,"+22",223,"+6",2.725,"+0.038",24,"--",35,500,223,2.951
37,"-1","FABOLOUS","Doin' It Well f/Nicki Minaj",469,"+5",2,"-7",3.24,"+0.039",25,"--",35,469,118,3.611
38,"-1","PITBULL","El Taxi f/Sensato & O. Garcia",459,"+5",90,"-13",2.39,"+0.022",13,"286",37,459,199,2.39
39,"=","R. CITY","Make Up f/Chloe Angelides",389,"-2",-41,"-17",1.181,"-0.016",47,"130",39,430,165,1.266
40,"+1","KANYE WEST","Real Friends f/Ty Dolla $ign",371,"+3",117,"-28",3.861,"+0.018",8,"--",40,371,163,3.861
41,"-3","DOUGIE F","On Purpose f/Pitbull",365,"-28",-131,"-11",1.845,"-0.086",54,"1203",37,578,105,2.623
42,"=","MEGHAN TRAINOR","Like I'm Gonna Lose You",359,"-3",-145,"+4",1.035,"-0.002",103,"28",31,936,187,3.385
43,"=","SELENA GOMEZ","Hands To Myself",353,"+13",173,"-14",0.823,"+0.049",5,"5",43,353,187,0.823
44,"-4","RICK ROSS","Sorry f/Chris Brown",349,"-32",-239,"-3",1.582,"-0.185",79,"564",34,711,127,4.815
45,"-1","KEVIN GATES","2 Phones",339,"+25",132,"+9",1.57,"+0.139",4,"41",44,339,132,1.57
46,"+1","THE INTERNET","Girl f/Kaytranada",317,"+24",246,"+3",1.397,"+0.135",3,"927",46,317,246,1.397
47,"-1","DJ SNAKE","Middle f/Bipolar Sunshine",311,"+15",156,"-6",1.346,"+0.099",4,"79",46,311,162,1.346
48,"+1","TAYLOR SWIFT","Out Of The Woods",298,"+10",223,"-35",0.627,"+0.010",3,"53",48,298,258,0.627
49,"-1","DAYA","Hide Away",294,"+2",23,"-14",0.548,"-0.002",15,"16",45,294,72,0.632
50,"=","TWENTY ONE PILOTS","Stressed Out",286,"+18",152,"-21",0.543,"+0.025",2,"2",50,286,173,0.543
