"Title","Artist","Spins"
"Classic Man","JIDENNA",5717
"Hey Mama  f/Nicki Minaj","DAVID GUETTA",5539
"Can't Feel My Face","THE WEEKND",5441
"Be Real f/Dej Loaf","KID INK",4580
"Post To Be f/Chris Brown&Jhene","OMARION",4567
"Cheerleader","OMI",4490
"You Know You Like It","DJ SNAKE & ALUNAGEORGE",4265
"See You Again f/Charlie Puth","WIZ KHALIFA",4012
"Watch Me","SILENTO",3829
"Bad Blood","TAYLOR SWIFT",3658
"Trap Queen","FETTY WAP",3352
"Hood Go Crazy f/B.o.B","TECH N9NE",3147
"Bitch Better Have My Money","RIHANNA",2609
"Good Thing f/Nick Jonas","SAGE THE GEMINI",2543
"Lean On f/MØ & DJ Snake","MAJOR LAZER",2528
"Flex","RICH HOMIE QUAN",2298
"My Way f/Monty","FETTY WAP",2289
"Fun f/Chris Brown","PITBULL",2284
"Want To Want Me","JASON DERULO",2132
"Worth It f/Kid Ink","FIFTH HARMONY",1982
"Around The World f/Fetty Wap","NATALIE LA ROSE",1879
"Do It Again f/Chris Brown","PIA MIA",1849
"Slow Motion","TREY SONGZ",1829
"Where Are U Now f/J. Bieber","SKRILLEX & DIPLO",1760
"How Many Times f/Lil Wayne","DJ KHALED F/C. BROWN/BIG SEAN",1340
"One Man Can Change The World","BIG SEAN",1280
"Nasty Freestyle","T-WAYNE",1174
"Wet Dreamz","J. COLE",1036
"All Hands On Deck","TINASHE",991
"Cheyenne","JASON DERULO",990
"League Of My Own","SAMANTHA J.",862
"The Matrimony f/Usher","WALE",826
"Planes f/J. Cole","JEREMIH",822
"All Eyes On You f/Minaj/Brown","MEEK MILL",669
"This Could Be Us","RAE SREMMURD",666
"The Night Is Still Young","NICKI MINAJ",659
"Alright","KENDRICK LAMAR",657
"Choices","E-40",646
"Good For You f/A$AP Rocky","SELENA GOMEZ",631
"Talking Body","TOVE LO",549
"I Don't Like It, I Love It","FLO RIDA",484
"About You","TREY SONGZ",469
"Should've Been Us","TORI KELLY",464
"Coffee","MIGUEL",439
"Feel Right f/Mystikal","MARK RONSON",436
"Yoga","JANELLE MONAE & JIDENNA",419
"Million","TINK",397
"Five More Hours","DEORRO X CHRIS BROWN",378
"Tied Up f/DeJ Loaf","CASEY VEGGIES",370
"Cha Cha","D.R.A.M",364
