"Title","Artist","Spins"
"Adorn","MIGUEL",5322
"Let Me Love You","NE-YO",4982
"Diamonds","RIHANNA",4898
"Clique f/Big Sean & ...","KANYE WEST",4410
"Don't Wake Me Up","CHRIS BROWN",4034
"2 Reasons /T.I.","TREY SONGZ",3982
"Pop That f/Rick Ross","FRENCH MONTANA",3795
"As Long As You Love ...","JUSTIN BIEBER",3512
"I Cry","FLO RIDA",2969
"Swimming Pools (Dran...","KENDRICK LAMAR",2683
"Turn On The Lights","FUTURE",2635
"Bands A Make Her Dan...","JUICY J",2278
"Thinkin Bout You","FRANK OCEAN",2037
"One More Night","MAROON 5",1976
"Va Va Voom","NICKI MINAJ",1715
"I Can Only Imagine f...","DAVID GUETTA",1658
"Celebration f/Chris ...","GAME",1644
"Locked Out Of Heaven","BRUNO MARS",1599
"Who Booty f/iamSU","JONN HART",1594
"R.I.P. f/Tinie Tempa...","RITA ORA",1577
"Die Young","KE$HA",1537
"Birthday Song f/Kany...","2 CHAINZ",1422
"My Moment f/2 Chainz","DJ DRAMA",1407
"Put It Down f/Chris ...","BRANDY",1395
"Whistle","FLO RIDA",1388
"No Worries f/Detail","LIL WAYNE",1327
"Young And Gettin It ...","MEEK MILL",1269
"Wicked Games","THE WEEKND",1168
"Don't Stop The Party","PITBULL",1111
"Beauty And A Beat f/...","JUSTIN BIEBER",1082
"Gangnam Style","PSY",1038
"Pound The Alarm","NICKI MINAJ",1012
"Girl On Fire","ALICIA KEYS",913
"Ice f/Lil Wayne","KELLY ROWLAND",830
"Lights","ELLIE GOULDING",799
"Dive In","TREY SONGZ",786
"Ball f/Lil Wayne","T.I.",753
"Too Close","ALEX CLARE",721
"Finally Found You f/...","ENRIQUE IGLESIAS",712
"Dance For You","BEYONCE",639
"Diced Pineapples f/D...","RICK ROSS",603
"Guap","BIG SEAN",562
"Remember You f/The W...","WIZ KHALIFA",548
"Battle Scars f/Guy S...","LUPE FIASCO",520
"Numb","USHER",438
"We Are Never Ever Ge...","TAYLOR SWIFT",425
"Hold Up f/Wale","CA$H OUT",417
"Rest Of My Life","LUDACRIS F/USHER/DAV...",374
"I'm Different","2 CHAINZ",352
"Stereo f/Alex Fitts","MGK",330
