"Pos","Pos+","Artist and Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","DRAKE The Motto f/Lil Wayne",5651,"-20",-96,"-22",38.401,"-0.225",126,"16",1,5769,748,38.966
2,"+1","DRAKE Take Care f/Rihanna",5467,"+41",446,"-34",36.956,"+0.290",105,"14",2,5467,749,36.956
3,"-1","WIZ KHALIFA/SNOOP DOGG Young, Wild & Fre...",5437,"-8",-34,"-18",32.659,"+0.129",131,"13",2,5471,585,32.659
4,"=","TYGA Rack City",5039,"-20",-245,"+9",29.073,"+0.001",117,"19",3,5313,712,30.029
5,"=","DAVID GUETTA Turn Me On f/Nicki Minaj",4309,"+9",278,"-50",23.768,"+0.254",98,"17",5,4309,539,23.768
6,"=","J. COLE Can't Get Enough f/Trey Songz",3477,"+3",100,"+0",18.925,"+0.116",117,"117",6,3477,483,19.591
7,"=","FLO RIDA Good Feeling",3403,"-17",-369,"+56",20.376,"-0.165",171,"29",1,5291,533,32.79
8,"=","RIHANNA Talk That Talk f/Jay-Z",3238,"-11",130,"-87",18.371,"-0.277",93,"44",8,3249,593,18.678
9,"=","PITBULL F/CHRIS BROWN International Love",3218,"-15",7,"-40",18.468,"-0.077",152,"23",8,3233,314,18.564
10,"=","CHRIS BROWN Strip f/Kevin McCall",3069,"-17",-107,"-36",17.701,"+0.070",110,"67",9,3187,605,18.236
11,"=","JAY Z & KANYE WEST N***** In Paris",2920,"-59",-206,"-11",19.567,"-0.143",194,"43",1,6195,668,41.081
12,"=","RIHANNA We Found Love f/Calvin Harris",2530,"-62",-401,"+3",17.076,"-0.377",171,"41",1,5953,839,35.674
13,"=","J. COLE Workout",2486,"-60",-363,"-3",17.577,"-0.285",236,"93",1,6176,777,39.536
14,"=","CHRIS BROWN Turn Up The Music",2193,"+45",206,"+9",12.303,"+0.166",38,"22",14,2193,518,12.303
15,"=","BIG SEAN Dance (A$$)",2120,"-8",-256,"+60",13.332,"-0.072",160,"92",2,5285,615,33.392
16,"+1","NICKI MINAJ Starships",2040,"+47",266,"+4",10.611,"+0.236",27,"5/63",16,2040,669,10.611
17,"+1","LOVERANCE Up! f/IAMSU! & Skipper",2027,"+36",204,"+4",13.208,"+0.255",123,"78",17,2027,244,13.208
18,"+1","KIRKO BANGZ Drank In My Cup",2004,"+34",183,"-18",10.138,"+0.057",58,"71",18,2004,404,10.138
19,"-3","DRAKE Make Me Proud f/Nicki Minaj",1983,"-63",-497,"-22",13.545,"-0.526",145,"114",6,4140,605,26.004
20,"+1","USHER Climax",1724,"+94",493,"+31",10.064,"+0.332",15,"37",20,1724,732,10.064
21,"-1","ADELE Set Fire To The Rain",1646,"-23",47,"-36",12.997,"-0.023",64,"11",19,1706,395,13.484
22,"=","GYM CLASS HEROES Ass Back Home f/Neon Hi...",1614,"+18",291,"-20",9.329,"+0.068",61,"21",22,1614,331,9.329
23,"+1","BEYONCE Love On Top",1498,"+13",3,"+11",8.19,"+0.173",50,"115",23,1509,305,8.208
24,"-1","DIGGY Do It Like You f/Jeremih",1463,"-25",7,"-64",7.23,"-0.283",66,"156",22,1492,252,7.62
25,"+1","WALE Lotus Flower Bomb f/Miguel",1453,"-14",-94,"+8",9.92,"+0.099",131,"221",8,3754,573,23.242
26,"-1","BRUNO MARS It Will Rain",1426,"-43",-431,"+29",7.473,"-0.216",157,"65",7,4001,486,23.199
27,"=","FLO RIDA Wild Ones f/Sia",1411,"+41",334,"-28",7.297,"+0.179",22,"4",27,1411,385,7.297
28,"=","RIHANNA Birthday Cake",1405,"+52",296,"+10",11.662,"+0.272",19,"46",28,1405,586,11.662
29,"=","CALVIN HARRIS Feel So Close",1303,"+16",235,"-45",6.722,"-0.001",18,"12",29,1303,456,6.723
30,"=","FAT JOE Another Round f/Chris Brown",1300,"+35",257,"+25",8.459,"+0.326",55,"110",28,1300,270,8.459
31,"=","THE WANTED Glad You Came",1080,"+45",243,"+12",7.789,"+0.271",22,"2",31,1080,252,7.789
32,"=","FUTURE Magic f/T.I.",1035,"+0",84,"-4",6.179,"+0.017",34,"80",29,1035,213,6.179
33,"=","KATY PERRY Part Of Me",1004,"+16",141,"+3",5.938,"+0.146",26,"9",33,1004,446,5.938
34,"=","YOUNG JEEZY I Do f/JAY Z & Andre 3000",962,"-17",-387,"+56",6.835,"+0.132",101,"302",18,2077,314,11.56
35,"=","SEAN PAUL She Doesn't Mind",945,"+4",86,"-8",3.448,"+0.044",54,"240",30,945,163,3.448
36,"=","DEV & ENRIQUE IGLESIAS Naked",893,"-4",45,"-17",3.565,"+0.087",46,"152",30,897,247,3.565
37,"=","B.O.B So Good",885,"+46",264,"+3",4.013,"+0.220",12,"25",37,885,377,4.013
38,"=","T. MILLS Vans On",830,"+11",55,"+10",3.498,"+0.086",49,"--",32,830,195,3.498
39,"=","JAY Z & KANYE WEST Gotta Have It",758,"-33",-385,"+31",6.215,"-0.079",76,"138",19,2008,480,13.51
40,"=","TRAVIS PORTER Ayy Ladies f/Tyga",752,"+3",126,"-15",5.105,"+0.072",26,"32",40,752,153,5.105
41,"=","JESSIE J Domino",660,"-18",-133,"-12",5.001,"-0.025",58,"27",35,799,146,6.171
42,"=","TREY SONGZ Sex Ain't Better Than Love",613,"-15",1,"-23",4.192,"-0.058",35,"303",42,628,107,4.345
43,"=","MELANIE FIONA 4 AM",608,"+10",43,"+8",3.877,"-0.024",16,"155",43,608,120,4.16
44,"+1","JOHN WEST Already There f/Big Sean",538,"+19",0,"+31",1.284,"+0.086",19,"--",44,550,90,1.673
45,"-1","WALE Sabotage f/Lloyd",522,"+1",46,"-16",2.944,"-0.067",11,"901",44,522,105,3.053
46,"=","MARY J. BLIGE Mr. Wrong",505,"-14",-85,"-9",2.998,"-0.044",54,"--",39,605,188,3.598
47,"=","TYGA Faded f/Lil Wayne",479,"+17",107,"-9",3.709,"+0.026",7,"85",47,479,147,3.709
48,"+1","YOUNG JEEZY Leave You Alone f/Ne-Yo",428,"+32",165,"+12",6.569,"+0.084",2,"150",48,428,165,6.569
49,"--","E-40 Function f/YG, iamSU, Problem",424,"--",36,"--",3.22,"--",1,"522",49,424,36,3.22
50,"-2","KELLY CLARKSON Stronger (What Doesn't Ki...",424,"+4",35,"+0",3.125,"-0.072",5,"6",48,424,56,3.266
