"Title","Artist","Spins"
"All Of Me","JOHN LEGEND",5977
"Loyal f/Lil' Wayne","CHRIS BROWN",5833
"Happy","PHARRELL WILLIAMS",5345
"Talk Dirty f/2 Chainz","JASON DERULO",5323
"Na Na","TREY SONGZ",5182
"Partition","BEYONCE",4202
"Turn Down For What","DJ SNAKE & LIL JON",3823
"Dark Horse","KATY PERRY",3545
"Show Me f/Chris Brown","KID INK",3110
"Fancy","IGGY AZALEA",3041
"The Worst","JHENE AIKO",2779
"Trophies f/Drake","YOUNG MONEY",2770
"Team","LORDE",2476
"Drunk In Love f/Jay Z","BEYONCE",2348
"Not A Bad Thing","JUSTIN TIMBERLAKE",2045
"Part II (On The Run) f/Beyonce","JAY Z",2006
"Fragile","TECH N9NE",1776
"Headlights","EMINEM",1651
"The Man","ALOE BLACC",1634
"Feelin' Myself f/Miley Cyrus","WILL.I.AM",1559
"Who Do You Love f/Drake","YG",1498
"John Doe f/Priscilla","B.O.B",1379
"Stoner","YOUNG THUG",1300
"Move That Doh f/Pharrell","FUTURE",1203
"Main Chick f/Chris Brown","KID INK",1128
"2 On f/Schoolboy Q","TINASHE",1079
"2AM","ADRIAN MARCEL",949
"Crazy","KAT DAHLIA",906
"V. 3005","CHILDISH GAMBINO",898
"Counting Stars","ONEREPUBLIC",759
"Red Nose (Pitbull)","SAGE THE GEMINI",715
"Summer","CALVIN HARRIS",707
"Numb f/B.o.B. & Yo Gotti","AUGUST ALSINA",642
"Wild Wild Love f/GRL","PITBULL",628
"Money Baby f/Kwony Cash","K CAMP",588
"I Luh Ya Papi f/French Montana","JENNIFER LOPEZ",580
"Kiss It f/Sage The Gemini","DEV",577
"Man Of The Year","SCHOOLBOY Q",554
"Party Girls f/Wiz & Jeremih","LUDACRIS",545
"Sing","ED SHEERAN",519
"Animals","MARTIN GARRIX",498
"Show Off","SOMO",485
"Sex You","BANDO JONEZ",456
"Thug Cry f/Lil Wayne","RICK ROSS",455
"#SELFIE","THE CHAINSMOKERS",436
"Show Da World f/Kiara","BOOSIE & WEBBIE",428
"Cut Her Off","K CAMP",409
"Smoke f/Trey Songz","50 CENT",353
"Can't Raise A Man","K. MICHELLE",348
"Drop That #NaeNae","WE ARE TOONZ",346
