"Title","Artist","Spins"
"Fancy","IGGY AZALEA",6529
"Turn Down For What","DJ SNAKE & LIL JON",5971
"Na Na","TREY SONGZ",4725
"Loyal f/Lil' Wayne","CHRIS BROWN",4556
"Problem f/Iggy Azalea","ARIANA GRANDE",4536
"Not A Bad Thing","JUSTIN TIMBERLAKE",3756
"All Of Me","JOHN LEGEND",3384
"Who Do You Love f/Drake","YG",3265
"Partition","BEYONCE",3131
"2 On f/Schoolboy Q","TINASHE",3091
"Talk Dirty f/2 Chainz","JASON DERULO",2835
"Wiggle f/Snoop Dogg","JASON DERULO",2822
"Main Chick f/Chris Brown","KID INK",2673
"Fragile","TECH N9NE",2480
"Good Kisser","USHER",2431
"V. 3005","CHILDISH GAMBINO",2414
"Move That Doh f/Pharrell","FUTURE",2083
"Believe Me f/Drake","LIL WAYNE",2014
"Trophies f/Drake","YOUNG MONEY",1869
"Summer","CALVIN HARRIS",1844
"The Worst","JHENE AIKO",1796
"Happy","PHARRELL WILLIAMS",1632
"Cut Her Off","K CAMP",1456
"2AM","ADRIAN MARCEL",1432
"Crazy","KAT DAHLIA",1393
"Sing","ED SHEERAN",1275
"Come Get It Bae","PHARRELL WILLIAMS",1209
"Pills N Potions","NICKI MINAJ",1190
"Numb f/B.o.B. & Yo Gotti","AUGUST ALSINA",1135
"Birthday","KATY PERRY",998
"Rude","MAGIC!",985
"College Drop","SAGE THE GEMINI",739
"Am I Wrong","NICO & VINZ",680
"Latch f/Sam Smith","DISCLOSURE",678
"Part II (On The Run) f/Beyonce","JAY Z",655
"24 Hours","TEEFLII",634
"La La La f/Sam Smith","NAUGHTY BOY",626
"Wake Up In It","MALLY MALL & TYGA",623
"She Twerkin","CA$H OUT",613
"Studio f/BJ The Chicago Kid","SCHOOLBOY Q",603
"Wild Wild Love f/GRL","PITBULL",554
"We Dem Boyz","WIZ KHALIFA",425
"Thug Cry f/Lil Wayne","RICK ROSS",421
"Shower","BECKY G",383
"They Don't Love You No More","DJ KHALED",357
"I Know f/Rich Homie Quan","YO GOTTI",345
"Next","SEVYN STREETER",342
"Smoke f/Trey Songz","50 CENT",336
"Walk Thru f/Problem","RICH HOMIE QUAN",330
"Or Nah f/Wiz Khalifa","TY DOLLA $IGN",314
