"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","JUSTIN BIEBER","As Long As You Love ...",4975,0,-93,0,32.607,0,107,"20",1,5066,631,34.084
2,"=","NE-YO","Let Me Love You",4896,0,412,0,34.852,0,81,"16",2,4896,736,34.852
3,"=","TREY SONGZ","2 Reasons /T.I.",4836,0,-89,0,31.015,0,120,"110",1,4927,655,33.263
4,"=","CHRIS BROWN","Don't Wake Me Up",4338,0,233,0,28.673,0,130,"23",4,4338,399,28.673
5,"=","MIGUEL","Adorn",4126,0,351,0,29.448,0,91,"90",5,4126,514,29.448
6,"=","FRENCH MONTANA","Pop That f/Rick Ross",3375,0,268,0,27.666,0,98,"66",6,3375,362,27.666
7,"=","KANYE WEST","Clique f/Big Sean & ...",3309,0,376,0,23.894,0,43,"21",7,3309,803,23.894
8,"=","RIHANNA","Diamonds",3279,0,420,0,21.232,0,28,"6",8,3279,1194,21.232
9,"=","KANYE WEST","Mercy f/Big Sean/Pus...",2995,0,-555,0,22.716,0,194,"70",1,5092,421,37.966
10,"=","2 CHAINZ","No Lie f/Drake",2720,0,-401,0,22.319,0,154,"107",2,4727,517,33.987
11,"=","DAVID GUETTA","I Can Only Imagine f...",2678,0,-46,0,17.369,0,96,"79",11,2751,374,17.638
12,"=","FUTURE","Turn On The Lights",2624,0,42,0,17.195,0,82,"78",12,2632,302,17.608
13,"=","NICKI MINAJ","Pound The Alarm",2183,0,-924,0,13.256,0,100,"98",4,4059,582,25.809
14,"=","FLO RIDA","Whistle",2148,0,-588,0,12.827,0,124,"36",1,4800,726,30.176
15,"=","FLO RIDA","I Cry",2103,0,324,0,13.522,0,36,"7",15,2103,482,13.522
16,"=","KENDRICK LAMAR","Swimming Pools (Dran...",1793,0,223,0,11.858,0,62,"44",16,1793,310,11.858
17,"=","2 CHAINZ","Birthday Song f/Kany...",1775,0,111,0,12.223,0,61,"58",16,1775,295,12.223
18,"=","PSY","Gangnam Style",1690,0,34,0,8.513,0,37,"1",16,1699,561,8.642
19,"=","JUICY J","Bands A Make Her Dan...",1637,0,263,0,10.305,0,45,"52",19,1637,307,10.305
20,"=","ELLIE GOULDING","Lights",1463,0,-66,0,10.345,0,111,"74",12,2403,511,16.712
21,"=","MAROON 5","One More Night",1378,0,206,0,11.433,0,47,"5",21,1378,208,11.433
22,"=","GAME","Celebration f/Chris ...",1299,0,117,0,7.168,0,40,"121",22,1313,251,7.351
23,"=","RITA ORA","R.I.P. f/Tinie Tempa...",1289,0,157,0,6.257,0,54,"127",23,1289,284,6.257
24,"=","BRANDY","Put It Down f/Chris ...",1233,0,157,0,8.076,0,65,"177",24,1233,164,8.076
25,"=","DJ DRAMA","My Moment f/2 Chainz",1200,0,19,0,6.858,0,54,"131",22,1203,274,7.29
26,"=","KE$HA","Die Young",1140,0,199,0,6.162,0,25,"3",26,1143,376,6.162
27,"=","USHER","Numb",1054,0,136,0,5.52,0,46,"68",27,1054,282,5.52
28,"=","FRANK OCEAN","Thinkin Bout You",1039,0,325,0,8.058,0,19,"84",28,1039,340,8.058
29,"=","TREY SONGZ","Dive In",974,0,90,0,6.505,0,49,"256",28,974,195,6.505
30,"=","LIL WAYNE","No Worries f/Detail",969,0,129,0,6.62,0,37,"71",29,969,331,6.62
31,"=","BRUNO MARS","Locked Out Of Heaven",942,0,283,0,5.04,0,13,"2",31,942,474,5.04
32,"=","BEYONCE","Dance For You",905,0,43,0,6.495,0,96,"--",30,928,178,6.858
33,"=","ALICIA KEYS","Girl On Fire",834,0,54,0,4.907,0,33,"33",33,837,218,4.907
34,"=","MEEK MILL","Amen f/Drake & Jerem...",833,0,-325,0,8.469,0,131,"267",9,2724,328,16.797
35,"=","PITBULL","Don't Stop The Party",799,0,87,0,4.988,0,26,"170",35,799,242,5.181
36,"=","PINK","Blow Me (One Last Ki...",777,0,-192,0,5.042,0,89,"55",23,1104,214,6.807
37,"=","JONN HART","Who Booty f/iamSU",773,0,160,0,5.384,0,25,"--",37,773,166,5.384
38,"=","THE WEEKND","Wicked Games",740,0,117,0,4.135,0,19,"119",38,740,342,4.135
39,"=","CLYDE CARSON","Slow Down f/The Team",740,0,-320,0,6.139,0,110,"--",23,1108,122,7.58
40,"=","MEEK MILL","Young And Gettin It ...",717,0,179,0,4.459,0,14,"--",40,717,236,4.459
41,"=","ENRIQUE IGLESIAS","Finally Found You f/...",705,0,124,0,3.603,0,33,"41",40,705,146,3.603
42,"=","KELLY ROWLAND","Ice f/Lil Wayne",684,0,184,0,4.055,0,21,"156",42,684,197,4.055
43,"=","ALEX CLARE","Too Close",594,0,84,0,4.666,0,29,"18",43,594,84,4.666
44,"=","RICK ROSS","Diced Pineapples f/D...",590,0,108,0,5.377,0,20,"117",43,597,143,5.504
45,"=","TAYLOR SWIFT","We Are Never Ever Ge...",550,0,-3,0,2.697,0,44,"13",40,565,106,3.213
46,"=","MYKKO MONTANA","Do It f/K-Camp",415,0,-15,0,2.487,0,14,"--",46,431,103,2.601
47,"=","WIZ KHALIFA","Remember You f/The W...",391,0,116,0,2.841,0,5,"206",47,391,116,2.841
48,"=","FUN.","Some Nights",368,0,43,0,2.596,0,5,"9",47,368,43,2.596
49,"=","OWL CITY & CARLY RAE...","Good Time",326,0,-25,0,1.491,0,16,"29",48,358,65,1.833
50,"=","LUPE FIASCO","Battle Scars f/Guy S...",303,0,104,0,1.175,0,5,"--",50,303,104,1.175
