"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","PkPos","PkSpins","PkBllt","PkAud"
1,"=","NE-YO","Let Me Love You",5132,0,77,0,38.343,0,96,"16",1,5176,736,38.776
2,"=","MIGUEL","Adorn",5107,0,461,0,39.37,0,106,"86",2,5107,553,39.37
3,"=","RIHANNA","Diamonds",4488,0,774,0,31.732,0,43,"3",3,4488,1194,31.732
4,"=","CHRIS BROWN","Don't Wake Me Up",4276,0,-120,0,28.467,0,145,"25",3,4435,399,30.284
5,"=","TREY SONGZ","2 Reasons /T.I.",4245,0,-255,0,28.584,0,135,"132",1,4927,655,33.263
6,"=","KANYE WEST","Clique f/Big Sean & ...",4200,0,441,0,30.096,0,58,"15",6,4200,803,30.096
7,"=","JUSTIN BIEBER","As Long As You Love ...",4002,0,-547,0,27.414,0,122,"23",1,5066,631,34.084
8,"=","FRENCH MONTANA","Pop That f/Rick Ross",3777,0,61,0,28.953,0,113,"76",6,3800,369,28.953
9,"=","FUTURE","Turn On The Lights",2857,0,-53,0,18.258,0,97,"99",9,2955,302,19.255
10,"=","FLO RIDA","I Cry",2798,0,324,0,19.149,0,51,"7",10,2798,482,19.149
11,"=","KANYE WEST","Mercy f/Big Sean/Pus...",2439,0,-277,0,21.453,0,209,"87",1,5092,421,37.966
12,"=","KENDRICK LAMAR","Swimming Pools (Dran...",2422,0,273,0,17.329,0,77,"35",12,2444,368,17.329
13,"=","JUICY J","Bands A Make Her Dan...",2100,0,210,0,14.041,0,60,"46",13,2100,307,14.041
14,"=","DAVID GUETTA","I Can Only Imagine f...",1873,0,-395,0,13.11,0,111,"127",11,2751,374,17.638
15,"=","MAROON 5","One More Night",1827,0,233,0,13.668,0,62,"5",15,1827,267,13.668
16,"=","FRANK OCEAN","Thinkin Bout You",1807,0,328,0,13.347,0,34,"85",16,1807,409,13.347
17,"=","2 CHAINZ","Birthday Song f/Kany...",1716,0,-178,0,11.971,0,76,"65",15,1929,295,13.494
18,"=","FLO RIDA","Whistle",1593,0,-226,0,9.997,0,139,"40",1,4800,726,30.176
19,"=","GAME","Celebration f/Chris ...",1519,0,161,0,9.272,0,55,"111",19,1519,251,9.272
20,"=","BRANDY","Put It Down f/Chris ...",1483,0,-11,0,9.293,0,80,"202",19,1521,277,9.88
21,"=","RITA ORA","R.I.P. f/Tinie Tempa...",1482,0,43,0,7.607,0,69,"103",21,1487,284,7.607
22,"=","NICKI MINAJ","Va Va Voom",1377,0,677,0,9.105,0,15,"42",22,1377,694,9.105
23,"=","JONN HART","Who Booty f/iamSU",1374,0,307,0,9.272,0,40,"--",23,1374,357,9.594
24,"=","BRUNO MARS","Locked Out Of Heaven",1369,0,252,0,8.224,0,28,"2",24,1369,474,8.224
25,"=","DJ DRAMA","My Moment f/2 Chainz",1363,0,76,0,7.695,0,69,"147",22,1363,274,7.982
26,"=","KE$HA","Die Young",1354,0,121,0,7.678,0,40,"4",24,1354,376,7.678
27,"=","PSY","Gangnam Style",1301,0,-331,0,6.769,0,52,"1",16,1699,561,8.642
28,"=","LIL WAYNE","No Worries f/Detail",1233,0,114,0,8.746,0,52,"53",27,1251,331,8.746
29,"=","MEEK MILL","Young And Gettin It ...",1139,0,132,0,7.694,0,29,"--",29,1139,277,7.845
30,"=","NICKI MINAJ","Pound The Alarm",1132,0,-302,0,7.294,0,115,"136",4,4059,582,25.809
31,"=","THE WEEKND","Wicked Games",1069,0,195,0,7.802,0,34,"172",31,1069,342,7.802
32,"=","PITBULL","Don't Stop The Party",992,0,71,0,6.101,0,41,"92",32,992,242,6.15
33,"=","ELLIE GOULDING","Lights",873,0,-251,0,5.957,0,126,"88",12,2403,511,16.712
34,"=","ALICIA KEYS","Girl On Fire",852,0,27,0,5.161,0,48,"44",33,852,218,5.381
35,"=","USHER","Numb",809,0,-261,0,3.979,0,61,"108",27,1117,282,5.52
36,"=","TREY SONGZ","Dive In",787,0,-26,0,5.961,0,64,"232",28,974,195,6.65
37,"=","KELLY ROWLAND","Ice f/Lil Wayne",759,0,65,0,4.342,0,36,"157",37,759,197,4.362
38,"=","BEYONCE","Dance For You",742,0,-138,0,5.466,0,111,"--",30,928,178,6.858
39,"=","JUSTIN BIEBER","Beauty And A Beat f/...",724,0,313,0,3.576,0,13,"26",39,724,313,3.576
40,"=","ENRIQUE IGLESIAS","Finally Found You f/...",715,0,39,0,3.669,0,48,"56",39,715,146,3.705
41,"=","ALEX CLARE","Too Close",630,0,102,0,4.631,0,44,"21",41,630,102,4.666
42,"=","MEEK MILL","Amen f/Drake & Jerem...",622,0,-56,0,7.511,0,146,"--",9,2724,328,16.797
43,"=","RICK ROSS","Diced Pineapples f/D...",568,0,-1,0,4.907,0,35,"129",42,597,143,5.54
44,"=","T.I.","Ball f/Lil Wayne",563,0,147,0,5.285,0,14,"73",44,563,164,5.285
45,"=","PINK","Blow Me (One Last Ki...",518,0,-134,0,2.835,0,104,"49",23,1104,214,6.807
46,"=","WIZ KHALIFA","Remember You f/The W...",499,0,50,0,2.953,0,20,"257",45,499,116,3.144
47,"=","LUPE FIASCO","Battle Scars f/Guy S...",463,0,75,0,2.127,0,20,"168",47,463,113,2.127
48,"=","TAYLOR SWIFT","We Are Never Ever Ge...",423,0,5,0,2.48,0,59,"12",40,565,106,3.213
49,"=","BIG SEAN","Guap",401,0,232,0,2.787,0,4,"126",49,401,232,2.853
50,"=","CA$H OUT","Hold Up f/Wale",356,0,133,0,1.835,0,5,"346",50,356,142,1.835
