"Pos","Pos+","Artist","Title","Spins","Spins+","Bullet","Bullet+","Aud","Aud+","Days","iTunes","Pk","PkSp","PkBl","PkAu"
1,"=","BEYONCE","Drunk In Love f/Jay Z",6335,55,227,17,41.368,0.529,63,"11",1,6335,1055,41.368
2,"=","KID INK","Show Me f/Chris Brown",5837,-14,-183,-9,38.139,0.007,136,"25",1,6351,758,40.204
3,"=","KATY PERRY","Dark Horse",5417,38,520,-65,31.114,0.378,93,"2",3,5417,639,31.114
4,"+1","JASON DERULO","Talk Dirty f/2 Chainz",4328,91,682,-16,22.73,0.499,47,"4",4,4328,884,22.73
5,"-1","YG","My Hitta f/Jeezy,RichHomieQuan",4268,14,23,11,25.045,-0.451,108,"--",4,4284,525,27.895
6,"=","EMINEM","The Monster f/Rihanna",4031,-105,-798,24,29.073,-0.127,113,"31",1,6810,1739,44.928
7,"=","TY DOLLA $IGN","Paranoid",3961,-2,281,-92,25.575,0.043,138,"58",6,3963,556,25.575
8,"=","PHARRELL WILLIAMS","Happy",3515,103,739,-60,24.233,0.51,29,"1",8,3515,1153,24.233
9,"=","LORDE","Team",3054,31,305,-15,16.321,0.324,66,"9",9,3054,655,16.321
10,"=","PITBULL","Timber f/Ke$ha",2862,-91,-740,-19,15.213,-0.551,125,"10",3,4540,658,25.363
11,"=","CHRIS BROWN","Loyal f/Lil' Wayne",2847,49,384,-14,17.992,0.321,42,"179",11,2847,494,17.992
12,"=","SOMO","Ride",2570,18,103,-9,10.129,0.041,87,"67",12,2570,354,10.29
13,"=","DRAKE","All Me f/2 Chainz & Big Sean",2197,-21,-49,-80,11.293,-0.379,163,"115",13,2287,263,14.829
14,"+1","SAGE THE GEMINI","Red Nose (Pitbull)",2182,51,337,32,12.122,0.239,128,"--",14,2182,441,12.122
15,"-1","DRAKE","The Language",2160,-48,-377,11,10.198,-0.439,102,"150",9,2765,494,14.514
16,"=","TREY SONGZ","Na Na",2058,62,467,-5,12.92,0.118,37,"75",16,2058,485,12.92
17,"=","JOHN LEGEND","All Of Me",2022,74,349,75,9.321,0.211,80,"3",17,2022,361,9.321
18,"=","ALOE BLACC","The Man",1800,63,370,20,8.979,0.058,26,"6",18,1800,527,8.979
19,"=","SEVYN STREETER","It Won't Stop",1681,-2,-244,41,13.086,0.129,139,"126",14,2563,250,15.119
20,"=","RICO LOVE","They Don't Know",1668,27,189,-5,10.101,0.172,62,"359",20,1668,351,10.101
21,"=","BRUNO MARS","Young Girls",1580,-8,-4,-18,5.598,0.093,64,"45",20,1594,334,5.615
22,"=","J. COLE","She Knows",1426,-109,-925,-42,5.861,-0.212,92,"265",11,2601,397,12.892
23,"=","ELLIE GOULDING","Burn",1298,3,72,9,7.021,0.08,54,"26",23,1298,321,7.485
24,"=","LADY GAGA","Do What U Want f/R. Kelly",1245,-24,-601,149,5.973,-0.139,110,"114",8,3042,459,15.944
25,"=","T-PAIN","Up Down (Do This All Day)",1203,-7,-68,-4,8.952,-0.068,144,"108",20,1569,195,9.847
26,"=","JAY Z","Part II (On The Run) f/Beyonce",1180,21,294,-24,8.281,0.161,24,"271",26,1180,323,8.281
27,"=","DJ SNAKE & LIL JON","Turn Down For What",1170,29,141,11,4.465,-0.042,32,"14",26,1170,287,4.861
28,"=","CALVIN HARRIS","Thinking About You",1133,19,95,9,5.53,0.225,66,"188",27,1133,191,5.53
29,"=","ONEREPUBLIC","Counting Stars",997,-19,-83,-24,7.016,-0.17,80,"13",26,1202,230,9.228
30,"=","ZEDD","Stay The Night f/H. Williams",838,-26,-327,52,4.794,-0.339,127,"89",18,1890,247,11.046
31,"=","JHENE AIKO","The Worst",835,33,120,22,4.163,0.191,31,"120",31,835,215,4.163
32,"=","FAR EAST MOVEMENT","The Illest f/Riff Raff",692,33,158,22,4.849,0.249,38,"319",32,692,158,4.849
33,"=","MARTIN GARRIX","Animals",641,2,197,-36,4.816,0.036,50,"34",33,641,233,4.816
34,"=","QUE","O.G. Bobby Johnson",629,10,-18,4,4.255,0.149,30,"200",32,647,196,4.451
35,"=","MIKE WILL MADE-IT","23 f/Miley Cyrus, Wiz Khalifa",583,0,-108,53,2.881,0.052,150,"78",9,3211,365,14.34
36,"=","SHAKIRA F/RIHANNA","Can't Remember To Forget You",498,4,66,-2,1.788,-0.023,23,"49",36,498,202,1.811
37,"=","TECH N9NE","Fragile",487,29,231,-8,1.778,0.071,7,"--",37,487,239,1.778
38,"=","SCHOOLBOY Q","Man Of The Year",468,20,113,-1,3.102,0.156,10,"85",38,468,175,3.102
39,"+3","WILL.I.AM","Feelin' Myself f/Miley Cyrus",450,31,278,6,2.002,0.116,4,"349",39,450,278,2.002
40,"+3","B.O.B","John Doe f/Priscilla",444,25,124,19,0.917,0.102,37,"--",40,444,124,0.978
41,"=","NAUGHTY BOY","La La La f/Sam Smith",444,7,71,-4,0.912,-0.007,17,"169",40,444,148,0.919
42,"-2","ERIC BELLINGER","I Don't Want Her f/Problem",441,1,12,-5,4.361,-0.156,25,"--",39,441,72,4.688
43,"-4","LUPE FIASCO","Old School Love f/Ed Sheeran",438,-10,-91,40,2.907,-0.035,122,"--",6,3437,487,15.459
44,"=","BEYONCE","Partition",423,15,74,9,4.635,0.131,24,"101",42,423,99,6.705
45,"=","KAT DAHLIA","Crazy",406,13,76,9,1.229,-0.001,14,"301",45,406,183,1.23
46,"=","RICK ROSS","The Devil Is A Lie f/Jay Z",373,-14,-19,-19,2.538,-0.011,18,"195",41,407,135,2.745
47,"=","SEAN PAUL","Want Dem All",359,-27,-231,-9,2.154,-0.062,46,"--",33,684,110,3.966
48,"=","DJ INFAMOUS","Double Cup f/Jeezy, Ludacris",348,4,46,-16,1.487,0.08,10,"--",48,348,96,1.672
49,"+1","K. MICHELLE","Can't Raise A Man",290,19,116,16,2.896,0.258,2,"223",49,290,116,2.896
50,"-1","MIKE POSNER","Top Of The World f/Big Sean",276,-3,6,-2,0.782,-0.003,4,"--",49,279,13,0.785
