"Title","Artist","Spins"
"Oui","JEREMIH",5312
"Might Not f/The Weeknd","BELLY",5277
"Work f/Drake","RIHANNA",4710
"Saved f/E-40","TY DOLLA $IGN",4429
"I Took A Pill In Ibiza","MIKE POSNER",4053
"Work From Home","FIFTH HARMONY",3915
"2 Phones","KEVIN GATES",3732
"Promise f/Fetty Wap","KID INK",3580
"Panda","DESIIGNER",3392
"Me Myself And I f/Bebe Rexha","G-EAZY",3390
"One Dance f/Wizkid & Kyla","DRAKE",3337
"Back To Sleep","CHRIS BROWN",2968
"Pillowtalk","ZAYN",2962
"Acquainted","THE WEEKND",2700
"Middle f/Bipolar Sunshine","DJ SNAKE",2477
"Exchange","BRYSON TILLER",2402
"Dangerous Woman","ARIANA GRANDE",1886
"Low Life f/The Weeknd","FUTURE",1867
"NO","MEGHAN TRAINOR",1769
"Company","JUSTIN BIEBER",1765
"All The Way Up","FAT JOE & REMY MA",1573
"Don't Let Me Down f/Daya","THE CHAINSMOKERS",1534
"Moolah","YOUNG GREATNESS",1489
"Body f/Jeremih","DREEZY",1354
"Might Be","DJ LUKE NASTYY",1305
"Down In The DM","YO GOTTI",1246
"If It Ain't Love","JASON DERULO",1238
"Needed Me","RIHANNA",1181
"Love Yourself","JUSTIN BIEBER",1164
"LA Confidential","TORY LANEZ",1108
"Cut It f/Young Dolph","O.T. GENASIS",1097
"Never Forget You","ZARA LARSSON & MNEK",983
"Famous","KANYE WEST",875
"Law","YO GOTTI",810
"What A Night","KAT DELUNA",722
"Close f/Tove Lo","NICK JONAS",692
"Team","IGGY AZALEA",676
"7 Years","LUKAS GRAHAM",670
"Formation","BEYONCE",660
"Kiss It Better","RIHANNA",484
"New Level","A$AP FERG",460
"Don't Mind","KENT JONES",433
"Permission","RO JAMES",433
"Pop Style f/The Throne","DRAKE",418
"Cake By The Ocean","DNCE",386
"Do It Like Me","DLOW",368
"4 Real f/Ty$ & ILovemakonnen","DESTRUCTO",305
"Messin' Around","PITBULL F/ENRIQUE IGLESIAS",283
"Right Away","JR CASTRO",268
"Slappin","E-40",239
