"Title","Artist","Spins"
"Mess Around","CAGE THE ELEPHANT",3024
"Stressed Out","TWENTY ONE PILOTS",2797
"Adventure Of A Lifetime","COLDPLAY",2758
"Fire And The Flood","VANCE JOY",2329
"First","COLD WAR KIDS",2220
"Mountain At My Gates","FOALS",2133
"Trip Switch","NOTHING BUT THIEVES",2061
"Unsteady","X AMBASSADORS",1841
"Roots","IMAGINE DRAGONS",1701
"Nightlight","SILVERSUN PICKUPS",1683
"Thank God For Girls","WEEZER",1572
"Magnets f/Lorde","DISCLOSURE",1356
"Saint Cecilia","FOO FIGHTERS",1295
"Ditmas","MUMFORD & SONS",1259
"Victorious","PANIC! AT THE DISCO",944
"High Dive","ANDREW MCMAHON IN WILDERNESS",924
"Gone","JR JR",904
"Kiss This","THE STRUTS",824
"Ride","TWENTY ONE PILOTS",799
"Under The Influence","ELLE KING",795
"Genghis Khan","MIIKE SNOW",745
"Spirits","THE STRUMBELLAS",671
"Love Me","THE 1975",670
"Give Me A Try","WOMBATS",611
"Nearly Forgot My Broken Heart","CHRIS CORNELL",605
"Cold Cold Man","SAINT MOTEL",574
"Woman Woman","AWOLNATION",571
"10,000 Emerald Pools","BORNS",527
"Wolves Without Teeth","OF MONSTERS AND MEN",406
"State Of My Head","SHINEDOWN",387
"Return To The Moon","EL VY",358
"Cry Baby","NEIGHBOURHOOD",334
"Girl Crush","NEW POLITICS",219
"Dancing On Glass","ST. LUCIA",218
"Brazil","DECLAN MCKENNA",214
"Destruction","JOYWAVE",211
"Delilah","FLORENCE + THE MACHINE",205
"Sister Of Pearl","BAIO",199
"Walking On A Dream","EMPIRE OF THE SUN",198
"Sikka Takin' The Hard Way","NEW BEAT FUND",196
"7 Years","LUKAS GRAHAM",184
"Let It Go","JAMES BAY",169
"Ways To Get High","POP EVIL",165
"Bloodfeather","HIGHLY SUSPECT",163
"In Your Arms","CHEF'SPECIAL",156
"Born Again Teen","LUCIUS",145
"New Bohemia","TRANSVIOLET",134
"Next Storm","FRANK TURNER",133
"Outcast","MAINLAND",131
"Lights On","BIG GRAMS",131
